FIPS,2013 MR
01001,2.2
01003,11.25
01005,1.29
01007,11.42
01009,22.46
01011,0.0
01013,0.0
01015,19.75
01017,3.32
01019,21.34
01021,7.08
01023,7.88
01025,7.54
01027,0.0
01029,11.87
01031,0.0
01033,31.71
01035,11.41
01037,7.98
01039,0.0
01041,0.0
01043,19.8
01045,5.48
01047,2.54
01049,32.39
01051,4.56
01053,34.23
01055,20.21
01057,27.92
01059,31.71
01061,4.74
01063,12.86
01065,9.28
01067,6.43
01069,19.29
01071,19.83
01073,14.56
01075,19.83
01077,30.81
01079,25.71
01081,6.63
01083,14.25
01085,0.0
01087,3.74
01089,6.63
01091,5.94
01093,32.33
01095,16.88
01097,15.46
01099,11.38
01101,4.41
01103,15.03
01105,0.0
01107,14.3
01109,1.14
01111,0.0
01113,3.07
01115,25.49
01117,14.69
01119,6.62
01121,13.56
01123,3.75
01125,16.43
01127,39.4
01129,11.42
01131,0.0
01133,30.3
02013,0.0
02016,0.0
02020,16.28
02050,0.0
02060,0.0
02063,9.63
02066,7.61
02068,8.19
02070,0.0
02090,11.95
02100,0.0
02105,0.0
02110,0.0
02122,6.42
02130,0.0
02150,0.0
02158,0.0
02164,0.0
02170,12.61
02180,0.0
02185,0.0
02188,0.0
02195,0.0
02198,0.0
02220,0.0
02230,0.0
02240,8.19
02275,0.0
02282,0.0
02290,0.0
04001,11.8
04003,10.04
04005,21.97
04007,22.62
04009,15.77
04011,0.0
04012,18.08
04013,17.58
04015,30.54
04017,27.02
04019,21.57
04021,13.36
04023,15.8
04025,30.21
04027,11.43
05001,0.0
05003,0.91
05005,4.22
05007,9.27
05009,9.24
05011,0.0
05013,0.0
05015,11.87
05017,0.0
05019,1.66
05021,10.08
05023,12.83
05025,0.0
05027,1.45
05029,0.0
05031,18.72
05033,19.47
05035,4.76
05037,2.38
05039,0.0
05041,0.0
05043,0.0
05045,11.65
05047,14.44
05049,0.0
05051,22.64
05053,6.55
05055,9.36
05057,0.0
05059,8.28
05061,0.0
05063,9.64
05065,3.99
05067,9.02
05069,6.49
05071,13.54
05073,4.35
05075,9.36
05077,0.0
05079,0.0
05081,0.0
05083,11.7
05085,18.37
05087,12.64
05089,5.83
05091,4.47
05093,10.46
05095,2.7
05097,0.0
