FIPS,2014 EPL_POV,2015 EPL_POV,2016 EPL_POV,2017 EPL_POV,2018 EPL_POV,2019 EPL_POV,2020 EPL_POV
01001,28.33,28.28,28.24,41.12,54.01,50.12,46.24
01003,35.31,34.24,33.17,27.78,22.39,20.04,17.7
01005,87.36,89.98,92.61,94.46,96.31,96.08,95.86
01007,55.65,55.5,55.36,49.83,44.3,56.25,68.2
01009,57.82,56.59,55.36,51.3,47.23,48.67,50.1
01011,75.61,84.48,93.35,95.56,97.77,97.36,96.94
01013,90.99,91.23,91.47,90.04,88.6,84.9,81.19
01015,79.59,76.54,73.48,73.35,73.22,70.11,67.0
01017,86.98,81.71,76.44,69.51,62.58,66.42,70.27
01019,77.27,65.96,54.66,52.96,51.27,56.08,60.88
01021,66.7,71.57,76.44,74.83,73.22,70.9,68.59
01023,78.89,79.14,79.4,82.54,85.67,80.89,76.1
01025,92.87,91.14,89.4,90.99,92.58,90.94,89.31
01027,66.19,61.42,56.64,64.5,72.36,71.52,70.69
01029,62.4,67.94,73.48,73.1,72.71,69.86,67.0
01031,66.7,60.68,54.66,53.48,52.29,53.94,55.6
01033,63.8,59.58,55.36,57.84,60.32,54.47,48.63
01035,97.96,97.78,97.61,91.64,85.67,87.24,88.8
01037,73.32,60.44,47.56,45.93,44.3,48.14,51.97
01039,73.77,72.1,70.42,71.1,71.78,70.88,69.99
01041,57.12,61.58,66.03,61.02,56.02,61.0,65.98
01043,61.67,60.46,59.25,58.0,56.75,48.88,41.02
01045,66.19,71.6,77.01,74.68,72.36,74.94,77.53
01047,98.76,98.55,98.34,97.98,97.61,96.98,96.34
01049,73.77,74.04,74.31,79.86,85.41,87.55,89.69
01051,29.19,35.07,40.94,37.02,33.09,27.86,22.63
01053,91.24,90.86,90.48,90.16,89.84,91.24,92.65
01055,71.28,69.16,67.05,67.06,67.07,65.1,63.14
01057,76.66,68.58,60.49,69.69,78.89,81.32,83.74
01059,87.93,85.78,83.64,81.66,79.68,82.42,85.17
01061,83.09,84.11,85.13,87.48,89.84,88.1,86.35
01063,99.04,99.1,99.17,99.26,99.36,99.4,99.43
01065,94.33,93.0,91.66,92.48,93.31,93.04,92.78
01067,41.29,44.42,47.56,44.36,41.15,51.02,60.88
01069,64.31,67.11,69.91,70.84,71.78,71.24,70.69
01071,63.13,66.28,69.44,74.56,79.68,78.75,77.82
01073,66.19,65.89,65.58,65.26,64.94,60.27,55.6
01075,83.09,85.37,87.65,85.22,82.8,73.88,64.96
01077,66.19,66.35,66.51,59.69,52.87,53.7,54.52
01079,56.29,61.4,66.51,65.23,63.95,66.71,69.48
01081,86.15,86.0,85.86,84.57,83.28,76.77,70.27
01083,37.15,38.48,39.8,41.04,42.29,38.65,35.01
01085,95.45,95.46,95.48,95.51,95.54,96.08,96.63
01087,92.1,91.6,91.09,92.02,92.96,92.24,91.53
01089,32.35,33.59,34.83,36.96,39.08,32.62,26.16
01091,89.37,92.0,94.62,89.54,84.46,83.93,83.39
01093,70.23,69.2,68.16,68.16,68.15,72.98,77.82
01095,72.62,74.82,77.01,80.64,84.27,78.13,71.99
01097,72.62,72.78,72.94,74.43,75.92,74.04,72.15
01099,95.35,96.4,97.45,97.52,97.58,94.22,90.87
01101,80.83,80.54,80.26,80.75,81.24,78.33,75.43
01103,43.27,48.57,53.87,53.74,53.6,54.6,55.6
01105,99.17,99.34,99.52,99.62,99.71,99.76,99.81
01107,90.58,89.12,87.65,88.12,88.6,90.79,92.97
01109,93.06,92.26,91.47,92.8,94.14,89.42,84.69
01111,85.93,81.66,77.4,73.27,69.14,64.57,59.99
01113,81.12,81.04,80.96,80.08,79.2,80.19,81.19
01115,50.05,43.78,37.5,38.29,39.08,32.34,25.59
01117,7.32,7.61,7.9,8.94,9.97,7.48,5.0
01119,99.36,99.16,98.95,98.33,97.71,97.8,97.9
01121,85.61,82.14,78.67,78.54,78.41,78.66,78.9
01123,77.49,82.09,86.69,83.42,80.16,74.5,68.84
01125,64.31,64.55,64.79,66.12,67.45,65.1,62.76
01127,84.53,83.38,82.23,80.0,77.77,74.96,72.15
