FIPS,2014 EPL_GROUPQ,2015 EPL_GROUPQ,2016 EPL_GROUPQ,2017 EPL_GROUPQ,2018 EPL_GROUPQ,2019 EPL_GROUPQ,2020 EPL_GROUPQ
01001,8.63,10.57,12.51,13.88,15.25,15.47,15.69
01003,28.65,31.51,34.38,32.28,30.18,30.87,31.57
01005,94.14,94.21,94.27,94.38,94.49,94.81,95.13
01007,87.81,89.68,91.56,91.85,92.14,90.44,88.73
01009,14.07,14.61,15.15,13.4,11.65,13.67,15.69
01011,82.59,79.82,77.05,76.97,76.89,77.28,77.66
01013,26.55,30.78,35.02,36.47,37.92,38.32,38.73
01015,57.66,59.46,61.25,61.88,62.5,61.95,61.39
01017,26.17,29.34,32.51,33.54,34.57,38.28,41.98
01019,35.05,31.4,27.76,23.13,18.5,18.81,19.13
01021,10.09,11.21,12.32,11.99,11.65,13.67,15.69
01023,29.04,29.39,29.74,29.96,30.18,28.52,26.86
01025,20.98,26.06,31.14,32.86,34.57,34.87,35.17
01027,51.1,50.45,49.79,48.54,47.28,45.95,44.62
01029,18.05,18.86,19.68,19.09,18.5,20.74,22.98
01031,22.45,22.92,23.4,22.62,21.84,20.48,19.13
01033,11.33,10.57,9.81,9.59,9.36,9.56,9.77
01035,3.12,3.28,3.44,3.42,3.41,3.52,3.63
01037,61.48,65.25,69.02,70.82,72.62,73.1,73.58
01039,35.91,38.07,40.24,42.36,44.48,46.14,47.8
01041,19.33,19.0,18.66,20.25,21.84,26.7,31.57
01043,29.96,31.52,33.08,33.83,34.57,34.87,35.17
01045,59.54,59.35,59.15,59.87,60.59,63.22,65.85
01047,28.33,31.39,34.45,34.51,34.57,34.87,35.17
01049,21.97,24.36,26.74,26.28,25.82,28.69,31.57
01051,86.79,85.36,83.92,83.27,82.62,83.13,83.64
01053,87.52,87.09,86.66,87.84,89.02,89.84,90.67
01055,33.27,31.6,29.93,27.88,25.82,26.34,26.86
01057,48.17,48.79,49.41,49.68,49.95,48.88,47.8
01059,15.19,14.26,13.34,11.35,9.36,8.67,7.99
01061,11.4,12.92,14.45,13.05,11.65,12.12,12.6
01063,4.93,6.16,7.39,7.34,7.29,17.08,26.86
01065,48.52,43.62,38.71,32.26,25.82,26.34,26.86
01067,21.62,29.88,38.14,41.31,44.48,46.14,47.8
01069,14.36,14.08,13.79,12.72,11.65,13.67,15.69
01071,20.22,23.08,25.95,25.88,25.82,24.4,22.98
01073,57.75,58.26,58.77,58.23,57.69,57.87,58.05
