FIPS,2014 EPL_MOBILE,2015 EPL_MOBILE,2016 EPL_MOBILE,2017 EPL_MOBILE,2018 EPL_MOBILE,2019 EPL_MOBILE,2020 EPL_MOBILE
01001,77.01,74.84,72.68,73.38,74.08,74.47,74.86
01003,51.83,52.85,53.87,53.63,53.39,51.12,48.85
01005,90.64,92.17,93.7,93.25,92.8,93.54,94.27
01007,90.19,91.34,92.49,92.28,92.07,93.8,95.54
01009,84.88,84.76,84.65,86.4,88.16,88.1,88.03
01011,95.77,95.88,95.99,96.18,96.37,97.76,99.14
01013,86.5,87.42,88.35,88.88,89.4,87.56,85.71
01015,60.68,61.89,63.1,63.53,63.96,65.94,67.92
01017,72.56,69.95,67.34,64.63,61.92,61.64,61.36
01019,94.56,92.71,90.86,91.83,92.8,90.82,88.83
01021,95.32,95.3,95.29,95.42,95.54,95.68,95.83
01023,93.89,94.46,95.03,94.9,94.78,95.68,96.59
01025,89.97,90.55,91.12,90.48,89.84,90.22,90.61
01027,91.75,89.22,86.69,83.46,80.23,82.18,84.12
01029,92.01,91.77,91.53,92.55,93.57,93.35,93.13
01031,59.41,57.77,56.13,58.39,60.65,61.71,62.76
01033,42.34,43.01,43.68,43.62,43.55,43.76,43.98
01035,93.89,93.95,94.01,93.22,92.42,93.44,94.46
01037,95.77,95.2,94.62,94.18,93.73,94.48,95.23
01039,73.0,73.94,74.88,78.36,81.85,82.35,82.85
01041,92.93,92.46,91.98,91.34,90.7,91.26,91.82
01043,77.75,79.56,81.38,82.9,84.43,84.45,84.47
01045,73.93,72.82,71.7,72.7,73.7,76.65,79.6
01047,75.9,77.57,79.24,79.31,79.37,78.64,77.91
01049,84.88,85.78,86.69,86.38,86.06,85.74,85.42
01051,71.28,70.46,69.63,67.46,65.3,65.75,66.2
01053,80.32,76.5,72.68,72.27,71.86,72.9,73.93
01055,50.97,51.78,52.59,51.43,50.27,50.74,51.21
01057,79.72,80.3,80.87,82.14,83.41,79.69,75.97
01059,68.42,68.74,69.05,70.3,71.54,68.44,65.34
01061,92.74,92.88,93.03,92.49,91.95,90.26,88.57
01063,99.11,99.11,99.11,98.86,98.6,98.57,98.54
01065,96.53,97.1,97.68,97.58,97.48,98.28,99.08
01067,87.71,87.92,88.12,88.58,89.05,89.45,89.85
01069,63.42,63.46,63.51,62.27,61.03,59.28,57.54
01071,85.67,81.98,78.29,77.81,77.33,79.97,82.62
01073,13.69,13.32,12.96,12.24,11.52,11.7,11.87
01075,71.6,71.17,70.74,72.41,74.08,77.16,80.24
01077,41.77,43.3,44.83,43.79,42.76,41.72,40.67
01079,85.2,85.2,85.2,84.46,83.73,86.72,89.72
01081,73.93,71.86,69.79,68.78,67.78,68.74,69.7
01083,55.68,55.54,55.4,56.1,56.8,54.0,51.21
01085,96.28,96.82,97.36,97.5,97.64,98.01,98.38
01087,81.34,78.67,75.99,75.78,75.58,78.44,81.29
01089,21.68,20.66,19.64,19.71,19.77,19.46,19.16
01091,84.75,85.08,85.42,86.28,87.14,89.53,91.92
01093,79.24,79.82,80.39,81.9,83.41,85.53,87.65
01095,66.51,65.14,63.77,64.1,64.44,61.47,58.5
01097,38.65,38.44,38.24,37.32,36.39,36.16,35.93
01099,86.18,85.06,83.95,83.97,83.99,84.06,84.12
01101,17.22,17.07,16.91,17.5,18.08,18.89,19.7
01103,49.35,51.39,53.42,51.94,50.46,51.68,52.9
01105,86.02,87.12,88.22,83.9,79.59,85.23,90.87
01107,81.73,80.64,79.56,82.71,85.86,87.72,89.59
01109,87.3,86.26,85.23,84.1,82.97,83.83,84.69
