FIPS,2014 EPL_NOVEH,2015 EPL_NOVEH,2016 EPL_NOVEH,2017 EPL_NOVEH,2018 EPL_NOVEH,2019 EPL_NOVEH,2020 EPL_NOVEH
01001,38.2,35.59,32.98,40.72,48.46,48.05,47.64
01003,8.44,8.58,8.72,11.0,13.28,12.92,12.57
01005,83.41,85.78,88.16,87.51,86.85,90.7,94.56
01007,20.73,38.59,56.45,55.43,54.41,59.98,65.56
01009,17.13,18.1,19.07,21.64,24.2,33.5,42.81
01011,98.98,98.78,98.57,96.78,95.0,95.54,96.09
01013,81.12,74.09,67.05,71.95,76.85,62.24,47.64
01015,44.51,50.48,56.45,53.94,51.42,47.11,42.81
01017,83.86,80.63,77.4,74.82,72.24,73.78,75.33
01019,7.7,10.15,12.61,17.54,22.48,18.05,13.62
01021,34.8,40.08,45.37,40.54,35.72,29.18,22.63
01023,80.32,85.62,90.93,90.94,90.96,80.22,69.48
01025,94.46,94.46,94.46,92.93,91.4,88.38,85.36
01027,47.63,34.01,20.38,22.29,24.2,37.37,50.54
01029,36.52,44.22,51.93,36.54,21.14,39.63,58.12
01031,38.2,43.48,48.77,51.59,54.41,49.31,44.21
01033,54.6,54.78,54.95,55.6,56.26,47.8,39.34
01035,89.49,77.68,65.87,65.76,65.65,77.42,89.18
01037,58.87,61.56,64.25,45.61,26.97,15.73,4.49
01039,42.38,41.12,39.86,40.34,40.82,49.47,58.12
01041,31.36,47.16,62.97,63.1,63.23,68.55,73.87
01043,27.98,24.18,20.38,22.29,24.2,17.79,11.39
01045,45.88,51.94,58.01,52.39,46.77,44.79,42.81
01047,97.99,97.84,97.68,97.56,97.45,97.56,97.68
01049,22.03,23.49,24.96,33.6,42.25,41.64,41.02
01051,22.03,24.16,26.3,29.15,32.0,33.06,34.12
01053,57.15,50.36,43.58,39.65,35.72,49.91,64.1
01055,65.97,61.99,58.01,58.54,59.06,56.34,53.63
01057,94.3,92.1,89.91,79.1,68.29,74.09,79.89
01059,52.98,46.42,39.86,39.38,38.9,45.56,52.23
01061,47.63,52.82,58.01,52.39,46.77,56.98,67.19
01063,95.16,96.64,98.12,98.2,98.28,98.49,98.7
01065,97.8,97.16,96.53,96.36,96.18,90.77,85.36
01067,65.97,64.47,62.97,54.87,46.77,63.0,79.22
01069,57.15,56.8,56.45,57.16,57.88,58.65,59.42
01071,38.2,37.23,36.26,33.19,30.12,24.99,19.86
01073,77.17,77.76,78.35,77.1,75.84,77.1,78.36
01075,60.17,56.05,51.93,60.97,70.01,65.43,60.85
01077,67.53,70.18,72.84,70.56,68.29,66.92,65.56
01079,27.98,25.69,23.4,35.08,46.77,48.66,50.54
01081,38.2,38.17,38.14,34.13,30.12,30.34,30.55
01083,19.33,22.82,26.3,21.02,15.73,19.85,23.97
01085,95.38,95.73,96.08,96.7,97.33,95.85,94.37
01087,97.29,97.4,97.52,97.17,96.82,94.18,91.53
01089,34.8,34.76,34.73,35.22,35.72,30.74,25.75
01091,94.91,95.3,95.7,93.84,91.98,91.92,91.85
01093,47.63,45.6,43.58,37.79,32.0,36.51,41.02
01095,45.88,42.87,39.86,36.84,33.81,37.42,41.02
01097,67.53,65.89,64.25,64.25,64.25,67.94,71.64
01099,93.7,94.7,95.7,94.64,93.57,90.86,88.16
01101,78.83,79.77,80.71,81.77,82.84,80.6,78.36
01103,40.18,36.58,32.98,37.61,42.25,35.67,29.09
01105,97.9,97.46,97.01,97.43,97.84,96.76,95.67
01107,89.78,91.28,92.77,91.08,89.4,87.72,86.03
