FIPS,2014 RPL_THEMES,2015 RPL_THEMES,2016 RPL_THEMES,2017 RPL_THEMES,2018 RPL_THEMES,2019 RPL_THEMES,2020 RPL_THEMES
01001,46.96,42.34,37.73,40.64,43.54,47.42,51.3
01003,34.32,30.94,27.57,24.6,21.62,26.32,31.03
01005,97.42,97.94,98.47,99.03,99.59,99.43,99.27
01007,62.78,60.08,57.37,58.7,60.03,70.4,80.78
01009,55.81,52.84,49.86,46.14,42.42,46.9,51.37
01011,99.14,96.38,93.63,91.3,88.98,86.04,83.1
01013,90.16,90.91,91.66,89.09,86.53,77.48,68.43
01015,77.08,79.34,81.6,82.06,82.52,78.0,73.49
01017,91.31,87.7,84.08,78.95,73.82,77.28,80.74
01019,56.61,49.26,41.9,43.53,45.16,38.92,32.69
01021,75.36,74.88,74.4,75.21,76.02,74.12,72.22
01023,83.09,83.03,82.97,85.22,87.48,79.32,71.16
01025,86.6,84.46,82.33,83.52,84.71,85.12,85.52
01027,85.96,72.59,59.22,57.81,56.4,54.74,53.09
01029,60.08,61.5,62.91,58.54,54.17,49.8,45.42
01031,52.21,52.43,52.66,53.37,54.08,59.48,64.89
01033,54.0,48.67,43.33,43.04,42.74,38.74,34.75
01035,91.47,88.88,86.28,83.57,80.86,73.3,65.75
01037,79.62,78.41,77.2,64.9,52.61,48.1,43.6
01039,75.68,72.59,69.5,73.36,77.23,73.99,70.75
01041,69.53,69.84,70.14,69.44,68.73,64.49,60.25
01043,58.42,53.76,49.09,50.46,51.82,51.69,51.56
01045,70.52,72.58,74.63,75.31,75.99,78.32,80.65
01047,96.59,96.22,95.86,95.38,94.9,93.24,91.57
01049,76.38,75.74,75.1,77.66,80.22,77.04,73.87
01051,45.53,49.84,54.15,54.08,54.01,49.82,45.64
01053,88.73,87.55,86.37,85.97,85.57,86.32,87.08
01055,76.89,75.12,73.35,69.49,65.64,65.24,64.83
01057,80.83,76.5,72.17,71.28,70.38,68.82,67.25
01059,92.2,92.07,91.95,88.06,84.17,78.57,72.98
01061,80.74,81.24,81.73,80.64,79.55,68.23,56.91
01063,98.92,98.87,98.82,98.68,98.54,96.84,95.13
01065,97.36,97.65,97.93,96.96,95.99,94.75,93.51
01067,63.77,61.68,59.6,57.4,55.19,55.82,56.46
01069,62.66,65.42,68.19,68.28,68.38,69.3,70.21
01071,61.48,59.68,57.88,57.57,57.26,56.27,55.28
01073,65.33,64.71,64.09,65.15,66.21,70.91,75.62
01075,82.23,75.13,68.04,65.34,62.64,58.91,55.19
01077,49.57,51.76,53.96,49.32,44.68,46.06,47.45
01079,47.85,48.22,48.58,49.05,49.52,45.96,42.39
01081,59.38,59.63,59.89,62.96,66.02,66.98,67.95
01083,46.04,49.36,52.69,52.82,52.96,49.49,46.02
01085,92.9,90.99,89.08,90.48,91.88,90.92,89.97
01087,96.24,93.24,90.23,89.97,89.71,89.34,88.96
01089,33.33,31.84,30.34,30.55,30.76,33.36,35.96
01091,84.37,86.87,89.37,82.79,76.21,78.67,81.13
01093,72.14,67.35,62.56,64.83,67.1,67.72,68.33
01095,82.08,80.42,78.76,75.68,72.61,67.42,62.22
01097,79.75,79.22,78.7,77.01,75.32,77.4,79.47
01099,82.39,78.65,74.91,74.86,74.81,73.61,72.41
01101,78.73,79.83,80.93,82.6,84.27,87.3,90.32
01103,69.15,70.54,71.92,70.44,68.95,66.54,64.13
01105,100.0,100.0,100.0,99.74,99.49,95.43,91.37
01107,94.59,94.19,93.79,92.93,92.07,92.93,93.79
01109,86.18,88.85,91.53,90.84,90.16,85.38,80.59
01111,86.98,83.64,80.29,76.1,71.91,62.69,53.47
01113,89.4,89.16,88.92,90.04,91.15,90.16,89.18
01115,49.0,40.94,32.89,34.72,36.56,34.4,32.24
01117,12.48,11.6,10.73,11.21,11.69,11.62,11.55
01119,99.36,98.42,97.48,96.52,95.57,96.05,96.53
01121,92.26,90.34,88.41,87.88,87.36,87.52,87.68
01123,86.66,88.8,90.93,89.78,88.63,88.95,89.27
01125,61.99,62.26,62.53,62.54,62.55,65.38,68.2
01127,76.22,77.11,78.0,76.26,74.52,71.64,68.75
01129,50.21,61.93,73.64,73.33,73.03,59.51,45.99
01131,92.36,89.74,87.11,89.96,92.8,92.44,92.08
01133,71.28,72.74,74.21,72.23,70.25,69.39,68.52
02013,60.78,56.92,53.07,55.55,58.03,61.22,64.42
02016,48.17,46.77,45.37,47.32,49.27,49.43,49.59
02020,41.29,40.67,40.05,43.04,46.02,51.82,57.61
02050,93.57,94.92,96.28,96.88,97.48,96.45,95.42
02060,25.44,27.7,29.96,32.6,35.25,29.2,23.14
02063,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02066,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02068,11.97,7.14,2.32,6.21,10.1,15.82,21.55
02070,85.74,85.28,84.81,85.82,86.82,90.22,93.63
02090,34.77,34.82,34.86,34.66,34.46,43.55,52.64
02100,14.55,15.16,15.76,18.23,20.7,36.59,52.48
02105,44.95,44.65,44.35,43.06,41.78,46.53,51.27
02110,34.13,30.96,27.79,28.83,29.87,32.56,35.26
02122,26.46,31.46,36.45,38.59,40.73,46.54,52.36
02130,39.48,45.06,50.65,53.06,55.48,60.33,65.18
02150,55.97,53.5,51.03,60.54,70.06,73.37,76.67
02158,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02164,77.78,78.92,80.07,79.92,79.78,82.49,85.2
02170,22.51,23.94,25.37,28.54,31.72,40.81,49.9
02180,91.44,91.79,92.14,92.56,92.99,93.33,93.67
02185,70.84,71.82,72.81,73.12,73.44,79.5,85.55
02188,90.8,92.26,93.73,93.64,93.54,92.54,91.53
02195,20.47,30.52,40.56,53.53,66.5,66.03,65.56
02198,69.25,70.21,71.16,73.89,76.62,80.0,83.39
02220,38.65,42.36,46.07,43.14,40.22,44.16,48.09
02230,11.37,10.65,9.93,13.39,16.85,26.08,35.3
02240,44.38,52.53,60.68,59.53,58.38,63.58,68.78
02275,50.97,61.36,71.76,63.97,56.18,52.64,49.11
02282,49.19,51.64,54.09,56.41,58.73,51.7,44.68
02290,84.69,85.82,86.95,87.54,88.12,87.34,86.57
04001,99.11,98.98,98.85,98.85,98.85,97.68,96.5
04003,90.58,91.8,93.03,91.84,90.64,91.54,92.43
04005,81.69,79.04,76.38,73.84,71.31,76.95,82.59
04007,88.16,89.66,91.15,90.52,89.9,85.98,82.05
04009,95.22,95.88,96.53,96.46,96.4,92.29,88.19
04011,69.6,66.24,62.88,62.38,61.88,48.8,35.71
04012,85.61,88.65,91.69,92.02,92.36,93.58,94.81
04013,66.89,65.79,64.69,64.11,63.54,68.76,73.97
04015,87.71,89.36,91.02,88.63,86.24,86.6,86.95
04017,99.55,99.5,99.46,99.5,99.55,99.28,99.01
04019,84.02,85.6,87.17,87.72,88.28,89.73,91.18
04021,84.81,85.37,85.93,85.92,85.92,84.84,83.77
04023,91.28,91.39,91.5,92.34,93.18,93.84,94.49
04025,59.85,57.21,54.57,53.34,52.1,56.98,61.87
04027,99.3,99.14,98.98,98.96,98.95,99.16,99.36
05001,61.16,69.44,77.71,77.79,77.87,73.77,69.67
05003,80.52,78.72,76.92,81.34,85.76,76.41,67.06
05005,36.36,33.48,30.6,29.26,27.93,29.44,30.94
05007,27.54,27.15,26.77,26.92,27.07,30.04,33.0
05009,56.06,56.69,57.31,50.55,43.79,36.44,29.09
05011,96.69,97.96,99.24,98.64,98.03,94.38,90.74
05013,50.18,53.5,56.83,55.82,54.81,54.78,54.74
05015,59.54,63.9,68.26,63.89,59.52,61.82,64.13
05017,99.9,99.82,99.75,99.72,99.68,99.68,99.68
05019,80.61,83.88,87.14,83.03,78.92,82.48,86.03
05021,68.48,66.77,65.07,65.18,65.29,55.76,46.24
05023,40.37,38.71,37.06,28.94,20.83,23.84,26.86
05025,52.34,57.78,63.23,59.83,56.43,41.3,26.16
05027,91.6,91.98,92.36,93.17,93.98,90.04,86.09
05029,75.42,76.6,77.78,76.84,75.89,75.38,74.86
05031,74.05,74.99,75.93,78.17,80.41,79.6,78.8
05033,67.88,66.97,66.06,63.56,61.05,62.37,63.69
05035,90.04,91.1,92.17,92.79,93.41,92.96,92.52
05037,72.94,73.51,74.08,72.1,70.13,77.46,84.79
05039,79.31,82.86,86.41,87.09,87.77,80.66,73.55
05041,91.95,93.03,94.11,95.04,95.96,94.34,92.71
05043,94.49,89.86,85.23,82.66,80.1,71.67,63.24
05045,43.52,43.34,43.17,45.46,47.74,49.8,51.85
05047,54.28,59.74,65.2,62.32,59.43,58.04,56.65
05049,51.1,58.92,66.73,66.81,66.88,65.34,63.81
05051,82.2,82.79,83.38,83.09,82.8,85.91,89.02
05053,27.09,25.66,24.23,29.82,35.41,26.14,16.87
05055,42.31,42.39,42.47,50.4,58.34,61.64,64.93
05057,96.4,96.96,97.52,96.1,94.68,92.85,91.02
05059,60.71,61.76,62.81,72.34,81.88,72.99,64.1
05061,92.33,91.14,89.94,90.2,90.45,89.48,88.51
05063,80.58,78.38,76.19,75.72,75.25,71.74,68.24
05065,60.52,62.14,63.77,60.37,56.97,56.3,55.63
05067,82.49,84.15,85.8,81.15,76.5,72.56,68.62
05069,88.54,91.31,94.08,94.22,94.36,94.38,94.4
05071,79.91,80.02,80.13,83.9,87.68,86.02,84.37
