2014 SVI Aged 17 or Younger Encoding,2015 SVI Aged 17 or Younger Encoding,2016 SVI Aged 17 or Younger Encoding,2017 SVI Aged 17 or Younger Encoding,2018 SVI Aged 17 or Younger Encoding,2019 SVI Aged 17 or Younger Encoding,2020 SVI Aged 17 or Younger Encoding
8.101286,8.267004,8.431958,8.264748,8.095456,7.9530625,7.809603
62.720493,63.257584,63.795574,63.173687,62.553173,63.76674,64.98158
-17.903898,-18.364552,-18.826977,-18.86189,-18.898249,-19.220097,-19.542265
54.686142,54.427322,54.16982,53.599075,53.029854,52.253723,51.47731
-47.999996,-47.589268,-47.178867,-46.960766,-46.743534,-47.03736,-47.330635
-0.60454607,-0.091327175,0.4210706,0.19563581,-0.031307206,-0.34013316,-0.6482868
-4.0352325,-3.9911606,-3.9460552,-4.488352,-5.028934,-4.614316,-4.2001133
-72.3895,-72.55063,-72.71005,-72.46995,-72.23025,-71.69247,-71.155624
-96.448204,-96.11283,-95.77697,-95.33843,-94.899414,-94.55659,-94.21624
0.93065834,0.8944062,0.85943556,1.1248498,1.3906183,1.8253431,2.2602396
-21.507788,-21.504444,-21.500498,-21.237137,-20.973965,-20.818174,-20.661938
4.926992,5.4517016,5.9773455,6.064652,6.1530447,6.6591716,7.1657786
-26.828785,-26.77769,-26.727148,-27.830748,-28.932913,-29.61091,-30.288736
107.39928,108.096436,108.79425,107.89227,106.9903,106.90939,106.83012
-19.837957,-18.929522,-18.021345,-17.585888,-17.150997,-17.539305,-17.929205
3.777178,4.2616315,4.7445073,4.0700097,3.3957226,3.5255883,3.656708
57.46734,57.49269,57.51919,58.08853,58.65791,59.68406,60.711895
-56.917515,-57.24805,-57.57964,-57.41483,-57.249184,-58.008373,-58.76824
24.627352,24.391663,24.1559,23.325151,22.494911,21.997608,21.50115
-98.80225,-98.494255,-98.18649,-97.77625,-97.365295,-96.89196,-96.418724
23.37125,23.722795,24.074436,23.483656,22.893518,22.750273,22.60745
-18.920885,-18.875824,-18.83236,-18.504341,-18.17691,-18.238941,-18.30092
6.183442,6.841305,7.4995155,8.097723,8.695309,9.719056,10.741464
-61.593838,-61.226723,-60.858482,-60.156235,-59.455376,-59.340107,-59.225166
57.269745,58.2041,59.138588,58.954258,58.768364,58.824318,58.882576
-34.552544,-34.804043,-35.053753,-34.370655,-33.686512,-34.318558,-34.9502
50.560093,50.78896,51.01753,50.461727,49.906,50.031857,50.159885
-91.90053,-92.3196,-92.74241,-93.050865,-93.362785,-93.771965,-94.18191
-23.65735,-24.497513,-25.33735,-25.045706,-24.75315,-24.59781,-24.442856
-28.308323,-28.354193,-28.40053,-28.340757,-28.281973,-28.189453,-28.098085
82.58664,82.43217,82.278885,81.84361,81.40928,81.2094,81.009964
0.88149077,1.37255,1.8640847,1.7203836,1.5749106,1.6945658,1.8128257
30.307535,30.774555,31.242405,31.296938,31.350666,31.562864,31.774063
12.857707,12.623064,12.388478,12.145054,11.900471,11.877595,11.855629
-7.914432,-7.771217,-7.6292853,-7.2943125,-6.959349,-6.1943817,-5.4282155
56.94119,56.743153,56.54679,55.784122,55.02034,54.43568,53.85073
-21.368767,-22.030052,-22.692783,-22.585367,-22.478241,-22.58631,-22.693916
-38.167034,-38.202717,-38.23712,-37.655373,-37.07312,-37.346558,-37.622726
30.30763,29.956213,29.604214,29.105604,28.607529,28.945898,29.285175
-6.7221174,-7.1075926,-7.4918375,-6.397416,-5.304413,-6.2331314,-7.162137
-43.470814,-43.90405,-44.337814,-43.79834,-43.2594,-43.517406,-43.774536
110.57856,110.63108,110.68482,109.238556,107.792984,106.803894,105.813805
8.910326,8.938719,8.966839,9.535782,10.104228,9.085979,8.068089
-54.785233,-55.24415,-55.70146,-55.221516,-54.741898,-53.501045,-52.259857
-0.8723773,-1.0242203,-1.1756057,-1.1621217,-1.1500958,-1.6494731,-2.1504886
13.164455,12.239681,11.316006,11.426576,11.536305,11.713205,11.890099
43.41033,43.108227,42.80553,42.86646,42.92896,42.09496,41.26118
-68.39137,-68.31784,-68.243935,-69.12968,-70.015366,-70.21196,-70.40964
-25.831678,-26.469778,-27.105677,-26.546934,-25.986801,-26.34872,-26.711155
-5.883306,-6.150678,-6.4187675,-6.244226,-6.0702434,-5.1431613,-4.2166724
11.928778,11.728938,11.530409,11.18544,10.841019,10.517446,10.1931095
6.6116023,6.139049,5.667605,6.07542,6.48352,6.882914,7.2803607
36.367275,36.05283,35.735855,34.917747,34.100845,34.310543,34.52016
9.118564,9.176773,9.236587,8.696716,8.159636,8.381798,8.602834
37.03648,37.381916,37.7268,38.691044,39.655254,39.378277,39.101704
2.5742736,2.4428725,2.313624,2.049312,1.7840905,1.4966106,1.2103105
-9.288322,-9.728575,-10.167322,-10.431947,-10.696301,-10.529035,-10.363103
35.408207,36.054962,36.70221,37.256516,37.811382,37.77726,37.74327
-17.966953,-17.443514,-16.918905,-16.760649,-16.602598,-16.285496,-15.968909
-18.000399,-17.470398,-16.941109,-16.870754,-16.801682,-16.929028,-17.056217
-27.489979,-27.37109,-27.25184,-26.915796,-26.582094,-26.767103,-26.952044
6.315481,6.60017,6.884954,6.8433757,6.8022823,7.1817017,7.5612745
31.103304,30.870537,30.638075,30.737997,30.837805,31.321596,31.806627
81.057976,80.84494,80.63284,79.99739,79.361786,79.26221,79.16376
87.24161,88.0252,88.80805,88.42952,88.05027,87.915825,87.78152
-51.427666,-51.75624,-52.08405,-52.66648,-53.248848,-53.76705,-54.285843
