2014 SVI Aged 65 or Older Encoding,2015 SVI Aged 65 or Older Encoding,2016 SVI Aged 65 or Older Encoding,2017 SVI Aged 65 or Older Encoding,2018 SVI Aged 65 or Older Encoding,2019 SVI Aged 65 or Older Encoding,2020 SVI Aged 65 or Older Encoding
-6.958027,-6.7904053,-6.6238174,-6.457794,-6.289956,-6.588457,-6.886568
-71.66527,-71.658,-71.65007,-71.909164,-72.16602,-72.38391,-72.60187
32.5858,32.19451,31.802029,31.18111,30.55968,30.921045,31.281227
-52.99692,-53.12676,-53.25728,-53.508266,-53.759235,-53.38657,-53.015324
46.206448,46.137104,46.066044,45.572353,45.078815,45.593266,46.107784
1.6810654,1.6910361,1.700775,2.027884,2.3553445,1.9919692,1.6294655
49.65968,49.70209,49.74366,49.17494,48.605,48.865307,49.125362
-25.240534,-25.335178,-25.429125,-24.416975,-23.403267,-23.012033,-22.620626
9.331831,9.04922,8.767281,7.9877086,7.2083774,6.7086883,6.2078567
-28.26646,-27.940945,-27.613665,-28.192617,-28.77148,-28.805365,-28.8405
39.46447,39.372215,39.279232,39.100124,38.921364,38.944427,38.96846
-4.2538586,-4.63867,-5.0229588,-4.707115,-4.3905735,-3.755579,-3.1199932
26.163385,26.474167,26.783634,27.155865,27.528597,27.245808,26.962353
-9.603968,-9.343744,-9.086231,-8.826584,-8.566315,-8.805522,-9.044247
-40.82161,-40.72765,-40.63388,-40.2993,-39.964096,-39.960377,-39.95705
54.61718,54.852375,55.08786,55.08289,55.078075,54.3676,53.65737
46.70586,46.998005,47.28941,47.30731,47.32516,47.264923,47.20384
-38.96074,-38.42768,-37.893806,-37.574265,-37.255955,-37.26064,-37.26598
28.52625,28.77603,29.027166,29.0592,29.090338,29.115995,29.140911
-6.9823036,-6.933875,-6.885128,-6.6235056,-6.362134,-6.2771053,-6.1936703
44.11017,44.581306,45.050186,44.81797,44.58764,44.595,44.602875
42.49525,42.823814,43.15257,42.52305,41.894096,41.561478,41.227257
2.9884322,3.0788555,3.1693122,3.2163923,3.2627926,3.9547153,4.646946
89.29076,88.5866,87.882515,87.357,86.83086,86.41343,85.99573
40.286892,40.13251,39.977818,39.199657,38.420887,38.060123,37.69992
67.98403,67.94736,67.91126,67.56354,67.21638,67.62355,68.0307
-61.690468,-61.914104,-62.137867,-61.8892,-61.64086,-61.78418,-61.927734
110.207214,109.72889,109.25087,109.46896,109.686966,109.32876,108.97079
-5.523262,-5.7874355,-6.0520515,-5.6503353,-5.249138,-5.4296875,-5.6094465
12.708173,12.295169,11.881661,11.099923,10.319633,9.30411,8.285835
8.738772,8.349167,7.958576,7.882907,7.8081446,7.6309237,7.454246
-11.102881,-11.304818,-11.507446,-11.544495,-11.582266,-11.462238,-11.343431
18.53258,18.775219,19.019184,18.72685,18.433558,18.357393,18.2806
-17.03606,-17.28426,-17.531723,-17.729,-17.926537,-17.157055,-16.387974
-52.296303,-52.234344,-52.171818,-51.49099,-50.808846,-50.887268,-50.96639
7.9256845,7.98879,8.053571,8.135233,8.216648,8.387325,8.556799
12.012231,12.693488,13.375207,13.88667,14.397317,14.520504,14.642781
-49.381847,-49.50482,-49.62914,-49.27242,-48.916348,-49.181393,-49.446865
-37.340885,-37.461582,-37.581852,-36.79758,-36.01353,-35.925617,-35.837215
42.999836,42.81592,42.631428,42.438717,42.244656,41.758923,41.27286
-74.16215,-73.763916,-73.36489,-73.47968,-73.59493,-73.85655,-74.11762
-37.68751,-37.374058,-37.06158,-36.84501,-36.629425,-36.504986,-36.38197
2.8254344,3.0365684,3.246834,2.9094732,2.5734222,2.5244162,2.4753726
10.758924,10.837136,10.914718,11.611132,12.308582,12.528456,12.748771
57.639256,57.465637,57.290607,57.40362,57.5172,57.292473,57.06852
15.253082,15.007269,14.759802,15.090124,15.420622,15.458429,15.496349
-75.9145,-75.71589,-75.516975,-75.00112,-74.48725,-73.857445,-73.23002
12.446975,12.717269,12.986936,13.2465105,13.506283,13.739128,13.973149
29.197742,29.580034,29.961563,30.374166,30.78619,30.533136,30.28009
