2014 SVI Below Poverty Encoding,2015 SVI Below Poverty Encoding,2016 SVI Below Poverty Encoding,2017 SVI Below Poverty Encoding,2018 SVI Below Poverty Encoding,2019 SVI Below Poverty Encoding,2020 SVI Below Poverty Encoding
1.0650814,1.48859,1.9114435,2.2932088,2.6749513,2.0345314,1.3951213
31.3153,32.0584,32.800163,32.957573,33.114994,32.84052,32.56525
-7.7683687,-7.127325,-6.4860744,-5.8574324,-5.2285013,-4.152503,-3.076823
87.01425,87.89883,88.78471,87.61542,86.444885,84.37512,82.30583
2.306837,2.8099813,3.3134546,2.9047222,2.4961672,1.2146875,-0.06645197
71.302414,70.81361,70.32471,69.35577,68.387054,68.04998,67.71193
-43.30154,-42.78075,-42.25973,-41.390476,-40.520832,-40.573597,-40.625355
24.748236,26.502115,28.25481,27.404297,26.554886,26.457495,26.360926
31.309761,31.2546,31.19771,31.656427,32.11398,32.41532,32.716526
-29.039383,-29.975708,-30.913132,-29.211456,-27.510242,-26.245762,-24.982777
-12.860069,-12.498082,-12.13597,-12.516262,-12.89604,-15.406861,-17.916693
6.6957827,7.7194004,8.744521,9.275325,9.805142,8.985429,8.16491
-68.68773,-69.04166,-69.39529,-69.1366,-68.87619,-69.42309,-69.97011
17.881992,16.984987,16.08819,16.02018,15.951434,16.013386,16.075466
13.9743395,12.905114,11.8353815,12.108912,12.38256,12.07042,11.756446
-4.942407,-5.119415,-5.2959714,-5.590286,-5.883758,-5.249253,-4.6150756
-35.260456,-36.17634,-37.090084,-36.38968,-35.688007,-34.588604,-33.489574
41.18698,41.4942,41.80016,41.06923,40.338264,41.876102,43.41265
56.46754,56.806393,57.144894,57.4763,57.807545,56.38895,54.969448
88.271736,88.58847,88.904945,88.58437,88.2662,87.781105,87.2963
-0.6162737,-0.7070487,-0.7984806,-0.31215838,0.17436716,-1.0151985,-2.2046177
12.261731,12.50241,12.743159,11.795597,10.84809,11.824246,12.80156
28.724396,27.957737,27.191936,26.758919,26.32594,26.58609,26.846863
34.70988,35.95763,37.20536,37.28604,37.36806,37.492275,37.615437
87.57602,87.783585,87.990555,86.74214,85.49473,85.33972,85.18611
8.955005,9.931657,10.910056,11.175731,11.440967,12.889743,14.338325
-3.1930962,-2.9910316,-2.7886996,-2.8452506,-2.9017043,-2.3866658,-1.8710933
-26.674612,-26.321579,-25.968016,-25.345947,-24.724394,-25.602009,-26.477718
22.604267,22.76956,22.934328,21.26375,19.593256,19.273798,18.955795
9.245608,9.213216,9.18096,8.382752,7.5845866,8.2845545,8.983914
-37.55878,-37.603493,-37.6485,-38.15316,-38.658165,-38.74911,-38.840027
2.177404,2.103558,2.0287108,1.701717,1.3754917,0.49930915,-0.37630692
-30.063583,-31.363827,-32.662582,-33.050556,-33.43869,-32.127323,-30.816568
-69.41141,-69.96024,-70.50849,-69.34683,-68.18534,-67.8533,-67.52113
-61.821594,-62.343376,-62.86477,-62.50463,-62.143993,-60.65296,-59.1624
39.169933,40.439808,41.708847,42.277817,42.848545,41.74809,40.648567
-36.763912,-35.5678,-34.373737,-34.783253,-35.192387,-35.691147,-36.18965
33.146824,32.961617,32.77648,32.883396,32.99073,33.730747,34.4707
-101.173676,-101.75479,-102.33494,-101.94026,-101.54543,-101.57744,-101.60913
16.517366,16.236311,15.954772,16.458702,16.962252,15.979164,14.995062
54.837517,56.35311,57.86888,57.580273,57.289394,56.551926,55.81423
-48.347157,-48.061687,-47.776714,-48.242718,-48.710403,-49.003056,-49.29585
-60.69438,-60.726223,-60.75728,-60.62346,-60.489735,-61.952156,-63.41459
16.26884,16.99056,17.712189,17.794916,17.875748,18.730549,19.583546
24.705032,24.331324,23.956823,24.374998,24.793753,23.996056,23.197708
64.14326,65.08905,66.03462,65.14392,64.25492,65.37252,66.48877
-76.891365,-79.10306,-81.31426,-80.64651,-79.97889,-77.587456,-75.195915
-18.55128,-18.248295,-17.94434,-18.479265,-19.012953,-18.368662,-17.723835
3.0192897,4.2249928,5.431177,4.5319643,3.6320808,3.8400486,4.048066
50.354446,50.160328,49.96543,49.35297,48.7409,48.225983,47.711174
-89.328835,-90.166336,-91.00464,-90.02372,-89.04195,-88.56242,-88.08389
11.975899,11.394396,10.812849,11.584341,12.35606,11.568008,10.779152
-24.679987,-25.221888,-25.766161,-25.589334,-25.410965,-25.365622,-25.319826
-15.897035,-17.093575,-18.28981,-18.074028,-17.858582,-19.056046,-20.253479
-78.3247,-78.036354,-77.74683,-77.12437,-76.5006,-75.4628,-74.4267
-18.407316,-18.493277,-18.578598,-19.33002,-20.080858,-20.049921,-20.019957
9.91701,10.151851,10.386291,11.373002,12.360101,12.97515,13.590556
0.45622402,1.8583218,3.2605262,2.8708377,2.4807754,1.5690705,0.6584068
-93.80758,-95.178856,-96.55006,-96.62733,-96.70427,-96.23548,-95.76608
93.08508,93.81388,94.5433,92.64784,90.75177,89.30718,87.86278
-65.19015,-65.64764,-66.10543,-66.502655,-66.89983,-67.94299,-68.9851
-60.072796,-60.30908,-60.543606,-59.639923,-58.73626,-58.065464,-57.394398
-51.69388,-51.703266,-51.713127,-51.534966,-51.356598,-50.5399,-49.72293
-11.017354,-11.473813,-11.930583,-11.479439,-11.028455,-9.769348,-8.51041
101.50842,102.43523,103.36259,102.85553,102.3494,102.05503,101.760086
20.42214,20.608034,20.795599,20.279394,19.762377,18.071787,16.380413
-33.237667,-32.701714,-32.165813,-31.175146,-30.183691,-29.57969,-28.975677
