2014 SVI Disability Encoding,2015 SVI Disability Encoding,2016 SVI Disability Encoding,2017 SVI Disability Encoding,2018 SVI Disability Encoding,2019 SVI Disability Encoding,2020 SVI Disability Encoding
-28.523668,-29.326591,-30.1349,-30.251308,-30.366486,-30.091679,-29.816929
43.47319,43.799625,44.118057,44.052647,43.988407,43.791485,43.594524
46.165802,45.971542,45.59764,45.632896,45.669044,45.006126,44.34484
-13.398603,-13.299449,-13.220651,-12.194711,-11.168786,-11.043942,-10.918022
-4.7166877,-4.823454,-4.7882643,-5.1114726,-5.4342294,-7.009801,-8.586955
47.37533,46.95518,46.459393,46.122234,45.78542,45.570972,45.355564
45.939507,46.205276,46.59656,45.936443,45.27634,45.693207,46.109703
-88.89132,-90.26725,-91.515495,-90.883156,-90.25293,-89.21653,-88.18058
-62.44412,-61.868755,-61.338657,-61.461716,-61.584408,-61.967667,-62.348526
-0.43107972,-1.4053181,-2.5038679,-2.5777357,-2.6500509,-3.4398992,-4.23145
64.818985,65.256485,65.818405,65.85818,65.898094,65.26728,64.63507
-59.766605,-59.90008,-60.015896,-58.25748,-56.499096,-56.136806,-55.77374
-59.884026,-59.69748,-59.372272,-59.07414,-58.77535,-58.858925,-58.944115
45.693607,45.962524,46.30344,47.07341,47.843594,47.030834,46.217056
-37.29034,-37.54466,-37.692738,-37.252743,-36.81334,-36.489372,-36.165466
18.30168,18.401112,18.332918,18.31209,18.292048,17.027266,15.762276
11.9228,12.441621,13.095397,11.322821,9.55141,8.227902,6.902482
-76.79009,-76.94275,-77.050415,-77.70359,-78.356964,-78.21817,-78.07929
-14.052921,-13.882277,-13.571043,-12.724206,-11.876904,-12.16111,-12.446182
54.176094,54.956703,55.57194,57.000572,58.429893,59.40499,60.380196
-46.697067,-47.31521,-47.813354,-47.026047,-46.239677,-45.41231,-44.583164
-13.396095,-13.1712885,-13.051363,-13.612129,-14.171604,-14.62979,-15.088555
25.705704,25.452393,25.052235,24.453655,23.856037,24.237926,24.618752
-19.766994,-19.738516,-19.635443,-19.212334,-18.789478,-18.163456,-17.536829
37.840313,37.202576,36.716953,35.683178,34.648487,34.884956,35.122353
-77.63255,-77.70961,-77.76171,-77.83862,-77.91528,-77.720856,-77.52574
41.363876,42.216812,43.150383,44.017513,44.884823,44.90503,44.92663
28.70931,27.741102,26.870756,26.164915,25.4584,25.562845,25.665514
-50.03037,-50.71964,-51.32394,-50.900425,-50.47681,-50.087635,-49.69771
-4.9074244,-5.0180674,-4.977516,-5.3570185,-5.7370462,-6.3129997,-6.888851
-2.9403522,-2.4080942,-1.8136451,-1.8754032,-1.9378622,-2.834647,-3.7310865
93.22839,93.66549,94.08527,93.69786,93.31052,93.10667,92.90628
-55.401012,-55.593506,-55.637684,-55.32759,-55.018486,-54.013176,-53.00857
-30.207472,-29.919155,-29.661694,-29.064709,-28.468376,-28.955448,-29.440493
28.99103,28.49515,27.974379,29.182993,30.393042,29.756323,29.120958
-22.034262,-21.356298,-20.560503,-20.172106,-19.783627,-19.530046,-19.274286
-44.313103,-44.79393,-45.340137,-45.25831,-45.176376,-44.444244,-43.713387
-9.780466,-9.882139,-10.070424,-9.760603,-9.449793,-9.458237,-9.465542
-31.606552,-30.691822,-29.629396,-29.958712,-30.289223,-29.571083,-28.853922
14.704929,14.491135,14.2080145,13.236208,12.263825,11.673242,11.081201
51.54876,52.34211,53.058807,54.266068,55.472458,55.50888,55.54553
28.320496,29.757652,31.078869,32.12793,33.17802,33.64916,34.120712
46.780956,46.490437,46.079468,46.54777,47.01418,47.42135,47.829193
-96.64902,-97.56578,-98.50038,-99.335724,-100.17087,-97.13315,-94.09376
26.487186,26.764063,27.0054,27.206194,27.406624,27.511053,27.613844
41.77498,41.608856,41.51231,41.980946,42.448193,42.453712,42.459526
16.950556,16.78763,16.626928,16.533953,16.441446,15.772437,15.104412
18.72531,18.894457,19.187023,20.315245,21.445478,21.567102,21.688627
-0.9843731,-0.817276,-0.5169096,-1.5528374,-2.5899591,-4.446761,-6.3057947
29.61464,28.96688,28.255741,26.638895,25.02052,24.336853,23.654987
46.123528,47.193275,48.321136,48.285465,48.250114,47.053776,45.858276
-29.825752,-29.774263,-29.806267,-30.17892,-30.552431,-30.547451,-30.543999
-6.1832857,-7.323283,-8.582879,-8.914523,-9.245927,-8.655839,-8.065938
28.355755,27.792217,27.11702,25.593166,24.069998,23.67603,23.28279
-44.639576,-45.129673,-45.531807,-45.19717,-44.863274,-43.997753,-43.130806
22.394646,22.008287,21.683764,20.872864,20.061913,21.031784,21.999537
11.888996,12.275843,12.679091,12.711294,12.743891,12.940041,13.135499
-23.732101,-23.190243,-22.746319,-23.147877,-23.549625,-24.57919,-25.610792
10.526401,9.902806,9.3021,8.326087,7.3496165,7.6306324,7.9129972
-101.43165,-102.049545,-102.82786,-103.13969,-103.45057,-101.93749,-100.424576
58.325985,58.288372,58.334896,57.366665,56.399616,57.46103,58.52112
34.482956,33.83309,33.215115,32.870106,32.524223,31.955532,31.38687
55.6943,57.012306,58.467342,58.65359,58.84013,58.096317,57.354824
3.5087523,4.1477876,4.754841,5.0697556,5.384524,5.8381248,6.29202
40.921185,40.849075,40.83243,41.128944,41.424255,42.335182,43.2445
8.670945,8.400703,8.142934,8.799487,9.456704,8.666062,7.87532
26.375086,25.657549,25.071009,25.91387,26.75654,26.867308,26.977297
11.835178,11.38522,10.970521,11.596342,12.223242,13.428474,14.6323185
-41.32472,-42.047062,-42.802937,-42.892452,-42.982197,-43.313793,-43.646618
5.9186983,5.8568754,5.8203325,5.030595,4.240155,3.242194,2.2439868
-42.847736,-42.950577,-42.89674,-42.62646,-42.355602,-41.691734,-41.025803
28.636684,28.691025,28.677322,27.553965,26.431156,25.52278,24.612514
48.276573,48.28147,48.25062,47.792606,47.33303,47.681103,48.029465
-39.359695,-40.187645,-40.897568,-39.583065,-38.2695,-35.637363,-33.00497
37.674225,38.29215,38.94809,38.844902,38.74124,37.530003,36.319794
-16.812778,-15.692838,-14.684467,-14.596501,-14.50842,-15.046971,-15.584535
18.604614,18.241955,17.81583,17.665737,17.514482,17.779888,18.047977
-18.650158,-19.461199,-20.290329,-21.02484,-21.759314,-21.944315,-22.12699
13.390113,13.239413,13.184254,11.879425,10.5763035,8.99268,7.407438
40.118816,40.202923,40.384518,40.60557,40.827446,40.874386,40.92214
-3.9440129,-4.763801,-5.463536,-5.68838,-5.9138007,-6.6048846,-7.296183
-0.38605258,-1.268599,-2.3215947,-2.958406,-3.5967193,-3.267445,-2.9387202
34.2867,33.35611,32.565323,31.723963,30.881939,31.31732,31.752508
-43.184994,-43.49024,-43.703808,-42.644154,-41.58437,-40.589092,-39.59487
16.166279,15.913369,15.633768,16.03073,16.427225,15.660958,14.893309
0.9464768,0.3225535,-0.24438968,-0.22070041,-0.19784752,-0.29116455,-0.38310447
-14.052933,-14.237407,-14.325519,-13.767999,-13.209586,-12.07965,-10.950351
-4.89834,-4.6028385,-4.371108,-4.7702856,-5.1700673,-5.685443,-6.1992807
52.1063,51.364395,50.655396,50.69596,50.736126,50.998375,51.260387
0.57909435,0.82189935,1.1962246,0.84106344,0.48480883,0.14659683,-0.19366796
