2014 SVI Group Quarters Encoding,2015 SVI Group Quarters Encoding,2016 SVI Group Quarters Encoding,2017 SVI Group Quarters Encoding,2018 SVI Group Quarters Encoding,2019 SVI Group Quarters Encoding,2020 SVI Group Quarters Encoding
65.64105,65.95627,66.271675,66.553535,66.8354,67.19579,67.55559
27.639902,27.747301,27.854628,27.458092,27.061419,27.08195,27.104101
7.1564717,7.320105,7.484223,7.512255,7.541377,7.852927,8.166666
55.312782,55.319283,55.32735,54.70902,54.09026,53.89097,53.691586
-53.43503,-53.34071,-53.24619,-52.797985,-52.347576,-52.275524,-52.20347
1.2750143,0.3549179,-0.5671717,-0.7421986,-0.9178411,-0.62251365,-0.3275498
-18.427748,-18.008728,-17.589718,-17.828272,-18.067375,-18.276625,-18.4864
-60.90546,-61.6413,-62.378994,-61.992275,-61.60711,-61.853672,-62.101303
-43.282093,-43.588627,-43.89519,-43.20847,-42.52177,-42.30373,-42.086994
-1.4722395,-1.9253473,-2.379712,-2.114501,-1.8480768,-1.864541,-1.880002
1.8967898,1.171922,0.44738314,-0.0725315,-0.59340364,-1.3698375,-2.1445396
82.91334,82.91595,82.92022,81.6917,80.46323,80.08041,79.69872
40.83911,41.16326,41.48797,40.847622,40.207317,39.955563,39.705128
-18.48219,-18.305763,-18.130924,-17.552334,-16.97398,-16.88643,-16.79905
-12.266825,-11.983783,-11.699692,-11.300417,-10.899875,-10.70222,-10.504863
-49.11153,-49.541946,-49.973072,-49.80418,-49.635998,-49.67309,-49.71024
-21.260193,-20.923923,-20.587208,-20.580145,-20.573856,-20.59989,-20.624676
-86.71968,-87.05845,-87.39507,-86.38734,-85.38073,-85.31988,-85.26009
-43.035736,-44.003986,-44.97255,-45.019028,-45.06594,-45.455765,-45.846153
108.78686,109.321075,109.855415,109.23823,108.62037,108.95488,109.288475
36.58848,37.141766,37.693172,38.050045,38.406918,39.03781,39.670216
50.334583,50.85289,51.370647,50.51111,49.65192,49.515728,49.380383
-47.91894,-48.217896,-48.51657,-48.03306,-47.54774,-47.65075,-47.755795
19.661741,20.80069,21.939775,22.152472,22.365934,22.549892,22.732931
-72.463295,-72.16455,-71.86413,-71.21466,-70.566444,-71.09831,-71.63174
31.621674,31.731415,31.842997,31.834116,31.825731,31.905163,31.986055
2.5676675,2.85245,3.1375232,2.9014764,2.664597,2.5691047,2.4723163
60.812996,61.124107,61.434612,61.668194,61.901566,62.18961,62.47741
-1.5058758,-1.1205494,-0.73526126,-0.40983513,-0.08462837,0.43740532,0.9597346
19.873562,20.995378,22.116432,21.911936,21.708303,21.67394,21.639805
-108.39563,-109.13011,-109.86425,-108.50844,-107.152695,-106.63322,-106.114006
-19.597458,-19.4786,-19.35833,-19.227627,-19.097023,-19.024683,-18.952026
-53.03555,-53.392742,-53.75084,-53.290516,-52.8309,-52.68594,-52.541874
10.691468,10.572049,10.453018,10.2522,10.0516815,9.823373,9.594064
25.128979,24.807163,24.484978,23.790236,23.09516,22.467127,21.841734
-51.826202,-52.28111,-52.735638,-52.79958,-52.86362,-52.813545,-52.762653
4.4466214,4.9655824,5.4844728,5.7219043,5.959479,6.153888,6.349652
-41.699657,-41.418034,-41.13607,-40.34397,-39.551777,-39.618984,-39.68503
8.691185,8.271504,7.851437,7.5344505,7.2189083,7.137413,7.0564933
