2014 SVI Minority Status Encoding,2015 SVI Minority Status Encoding,2016 SVI Minority Status Encoding,2017 SVI Minority Status Encoding,2018 SVI Minority Status Encoding,2019 SVI Minority Status Encoding,2020 SVI Minority Status Encoding
-32.40868,-32.36735,-32.32608,-32.333916,-32.342354,-32.399982,-32.457672
27.269402,27.486649,27.703526,27.495626,27.289404,27.513735,27.738361
-6.195581,-6.3697524,-6.5440993,-6.343206,-6.1430736,-6.53268,-6.923036
-1.7858909,-1.5764169,-1.3677953,-1.573085,-1.7777461,-1.9093322,-2.0393143
25.236067,25.146984,25.059374,25.101696,25.145014,25.06371,24.982061
-41.668816,-41.94473,-42.220284,-42.26953,-42.320503,-42.198467,-42.07714
43.901966,43.948692,43.995983,44.1,44.20384,44.06629,43.927635
-27.475555,-27.482456,-27.48967,-26.987652,-26.486292,-26.442303,-26.397701
9.999393,9.8797245,9.761024,9.694948,9.628823,9.44004,9.251899
-94.50443,-94.29943,-94.09542,-94.16435,-94.23382,-93.93907,-93.64338
-46.604954,-46.800568,-46.996426,-47.135582,-47.275085,-47.283024,-47.29104
2.703179,2.7668061,2.830564,2.5324569,2.2335372,2.5233483,2.812632
-25.13695,-25.690395,-26.243681,-26.394922,-26.54659,-26.421774,-26.296522
-15.033097,-14.976858,-14.919858,-14.858825,-14.799163,-15.02201,-15.244505
-83.29108,-83.70641,-84.12124,-83.94059,-83.76125,-83.69166,-83.62134
-52.31361,-52.517212,-52.720932,-52.71594,-52.712475,-52.7265,-52.74124
67.80179,67.62716,67.45297,67.29904,67.14554,67.30753,67.46972
-90.89202,-91.11411,-91.334015,-91.29646,-91.25857,-90.84561,-90.43248
-12.144168,-12.1757765,-12.207466,-12.585933,-12.9648,-12.918131,-12.870689
2.8539305,3.1024227,3.3517332,3.362678,3.3733473,3.1758046,2.978979
35.342625,35.43791,35.531734,35.658543,35.784893,35.62074,35.456966
72.333694,72.210846,72.08837,72.13166,72.17525,72.26699,72.357765
1.8107444,1.9130558,2.015185,2.4587793,2.9025347,3.1463058,3.3907974
76.47644,76.95366,77.43012,76.924034,76.41855,76.48887,76.56002
-11.8571615,-11.901129,-11.945225,-12.016904,-12.087881,-12.172273,-12.255513
-64.67146,-64.767296,-64.863945,-64.52717,-64.19053,-64.69411,-65.19843
69.20761,69.07927,68.950096,68.63216,68.31454,68.45235,68.589386
-69.293015,-69.5583,-69.821495,-69.67452,-69.52664,-69.45572,-69.38294
-70.32884,-70.328415,-70.3264,-69.9213,-69.51603,-69.36554,-69.21448
73.87473,74.09338,74.31205,74.07547,73.83844,74.06773,74.29589
51.639908,51.59051,51.540363,51.752605,51.965157,51.843918,51.724087
-64.03977,-64.37592,-64.7123,-64.649475,-64.58712,-64.86195,-65.13793
8.971244,9.082622,9.193602,9.407836,9.623818,9.942012,10.259788
13.986572,13.9012985,13.815668,14.110386,14.404945,14.15567,13.906037
47.467278,47.474808,47.4813,47.109745,46.739532,46.404003,46.068863
15.358867,15.54555,15.73116,15.717183,15.703223,16.052853,16.40145
18.072647,18.363546,18.65494,18.471416,18.287329,18.572222,18.855675
22.716183,22.560472,22.404913,22.37095,22.337072,22.492506,22.646215
-30.426182,-30.86444,-31.303944,-31.572102,-31.840054,-31.435848,-31.030533
53.754963,53.983906,54.214306,54.023533,53.833,53.773354,53.714554
4.317669,4.587527,4.85717,4.6234365,4.3897276,4.5466385,4.703771
11.623642,11.53104,11.438193,11.590954,11.743612,11.492802,11.241785
-12.131909,-11.96801,-11.803365,-11.874298,-11.945793,-11.668383,-11.390467
-18.452642,-18.308289,-18.164371,-18.29559,-18.426077,-18.392797,-18.358366
-58.526234,-58.678097,-58.83061,-59.00259,-59.17458,-59.048264,-58.921207
-0.83459353,-0.98862433,-1.1428587,-1.0940082,-1.0459931,-0.8252976,-0.60280585
-0.7224217,-0.92739683,-1.1316533,-1.340992,-1.5516272,-1.1767664,-0.8018208
31.57278,31.48691,31.399685,31.132383,30.866863,30.80376,30.742178
-3.9700832,-3.8464093,-3.7227035,-3.5957189,-3.4679275,-3.4073787,-3.3457704
-31.190962,-31.351301,-31.51181,-31.253496,-30.996397,-31.060757,-31.124842
11.413273,11.387012,11.362601,11.298595,11.2344265,11.50992,11.783747
-22.141384,-22.373112,-22.605835,-22.058134,-21.509827,-21.75742,-22.004852
60.70409,60.61714,60.531235,60.537754,60.5438,60.143646,59.742496
-15.370919,-15.575506,-15.777909,-15.660634,-15.543923,-15.196865,-14.848614
-16.164438,-16.351854,-16.540216,-16.643663,-16.747183,-16.829882,-16.912985
63.296436,63.386158,63.47479,63.537865,63.60171,63.55652,63.51085
28.888073,28.926422,28.965313,28.77313,28.579826,28.60799,28.635244
5.7306395,5.668988,5.6076612,5.33035,5.0529776,5.0390778,5.0248604
-22.075407,-22.046778,-22.01724,-21.975363,-21.933016,-21.66041,-21.387167
72.15442,71.983406,71.81095,71.68145,71.552345,71.71028,71.86848
-40.23787,-40.190884,-40.143127,-39.95056,-39.757988,-39.88012,-40.002
64.21993,64.13521,64.04997,63.792004,63.534058,63.47188,63.409054
-0.76579934,-0.75404793,-0.74145204,-0.3487633,0.046046924,-0.17012028,-0.38542157
74.145905,74.03698,73.92748,73.50514,73.08349,73.04364,73.003174
-13.350991,-13.432505,-13.51456,-13.583842,-13.6534195,-13.379264,-13.103934
-65.750015,-65.40551,-65.059746,-64.75142,-64.44443,-64.56582,-64.686676
-23.782192,-23.775797,-23.768147,-23.793127,-23.818384,-24.176685,-24.533518
