2014 SVI Mobile Homes Encoding,2015 SVI Mobile Homes Encoding,2016 SVI Mobile Homes Encoding,2017 SVI Mobile Homes Encoding,2018 SVI Mobile Homes Encoding,2019 SVI Mobile Homes Encoding,2020 SVI Mobile Homes Encoding
-104.27927,-104.486725,-104.693214,-104.59159,-104.48799,-104.71356,-104.93783
-67.74443,-67.92915,-68.11317,-67.79789,-67.480774,-67.52987,-67.577835
31.845709,32.06863,32.291122,32.061253,31.831465,32.233047,32.63505
130.1533,129.84114,129.52937,129.19356,128.8571,128.76262,128.66626
11.241569,11.137454,11.034827,11.242196,11.449611,11.423068,11.39746
-23.015724,-22.789116,-22.562103,-22.45161,-22.340612,-22.813795,-23.287338
55.16768,54.973007,54.778,54.1026,53.427296,53.33049,53.234013
-20.36199,-20.370676,-20.380621,-20.811892,-21.243414,-21.234617,-21.225668
27.12322,26.63592,26.147678,26.306871,26.466372,26.424463,26.383852
18.963215,19.104021,19.242395,19.43745,19.63197,19.992727,20.353334
-1.8728994,-2.5459075,-3.21911,-4.0135646,-4.8086276,-4.3692317,-3.9299903
-88.581955,-88.5026,-88.423134,-88.315765,-88.20757,-88.41748,-88.62678
48.91251,49.217617,49.52177,49.414,49.305973,49.259453,49.212673
43.05083,43.29063,43.530994,43.838905,44.147243,43.689835,43.232193
-42.85668,-42.56481,-42.27062,-42.48743,-42.70636,-43.24352,-43.77781
43.069748,43.120033,43.170795,43.250416,43.328693,42.905216,42.480408
32.155525,32.446087,32.738194,33.164425,33.59153,33.356483,33.122005
7.9555807,8.704522,9.4528675,9.426907,9.399598,9.481104,9.561546
-78.73177,-78.531555,-78.330536,-77.979904,-77.62755,-77.9183,-78.20816
-9.05385,-9.290165,-9.526491,-9.531232,-9.537569,-9.717735,-9.8973465
-42.285267,-42.568027,-42.851875,-43.091885,-43.331615,-43.23326,-43.13532
74.64333,74.332855,74.02226,73.931046,73.84031,73.69217,73.5434
85.71403,85.5823,85.44955,85.133644,84.81684,84.95496,85.09289
31.071255,31.427343,31.783466,31.729256,31.675379,31.078382,30.481003
-71.67803,-71.54946,-71.42039,-71.52094,-71.62202,-71.63123,-71.639626
-11.551006,-11.749771,-11.949157,-12.376983,-12.80522,-12.686949,-12.568601
84.68681,84.38843,84.08884,83.87162,83.65451,84.16763,84.68092
-6.93824,-7.057776,-7.1770954,-7.539738,-7.9028535,-8.08469,-8.267198
51.920593,52.037422,52.154922,52.699295,53.242115,52.887527,52.53206
-91.183846,-90.90298,-90.622406,-90.82812,-91.03312,-91.358665,-91.6834
1.8470236,1.7126752,1.5790418,1.9882592,2.398176,2.1530843,1.9078251
32.168846,32.293316,32.418915,32.96275,33.506264,33.223377,32.94068
-44.98308,-45.28367,-45.583424,-44.94922,-44.314617,-43.806324,-43.298424
-62.748367,-63.1001,-63.45209,-63.392715,-63.33299,-63.11775,-62.90121
-77.2492,-77.68544,-78.121445,-77.93913,-77.75731,-77.879135,-77.99893
65.32279,64.71774,64.112175,63.963066,63.813694,64.131485,64.448494
26.544407,26.353872,26.16277,26.106691,26.050055,26.30928,26.568733
40.46193,40.1199,39.777378,39.287968,38.797546,39.095123,39.391827
-26.663437,-26.636456,-26.609728,-26.764072,-26.918217,-26.65568,-26.392328
-4.976205,-5.275035,-5.574155,-5.052682,-4.5314455,-4.276599,-4.019952
-22.728352,-23.238277,-23.748827,-23.770756,-23.792122,-23.895311,-23.999508
-24.318348,-24.504402,-24.690407,-24.594852,-24.498352,-23.82198,-23.14569
-6.6188483,-6.9110694,-7.2033763,-7.3695025,-7.535066,-7.2319217,-6.92769
-42.700726,-42.803062,-42.90347,-42.99697,-43.089302,-42.708126,-42.326416
110.89193,111.20846,111.52383,111.39929,111.27481,111.73604,112.19483
53.719025,53.70636,53.6931,53.688927,53.683357,53.978336,54.273197
-69.09561,-68.93403,-68.77221,-68.01183,-67.250755,-67.25378,-67.25626
-43.02551,-42.842194,-42.658184,-41.982018,-41.305687,-41.222786,-41.139317
21.75973,21.956259,22.15213,22.487432,22.823368,22.679243,22.53554
-64.34527,-64.37893,-64.412506,-63.836315,-63.25996,-62.98236,-62.704674
-46.7438,-46.548122,-46.353302,-46.302116,-46.252586,-46.411533,-46.569355
-18.040947,-18.073914,-18.105423,-18.04561,-17.985918,-17.900763,-17.815184
2.087008,2.6283402,3.1695528,2.9209805,2.6732283,2.2164302,1.7602328
7.035425,7.5227165,8.008203,8.235451,8.461236,8.219337,7.978512
12.010508,12.020012,12.028946,12.415622,12.800702,12.964011,13.125902
-4.581531,-4.6992455,-4.8180537,-4.715042,-4.6125402,-4.9553776,-5.298726
21.568905,21.731316,21.891624,21.700327,21.508354,21.620628,21.733753
-56.64512,-56.96787,-57.292202,-57.092487,-56.893803,-57.195248,-57.49743
23.17554,23.523912,23.873346,23.828289,23.781794,24.093014,24.403685
-13.893035,-14.128576,-14.365047,-14.034906,-13.703335,-13.447997,-13.192678
51.39761,51.48294,51.56857,51.623615,51.677624,51.62978,51.582897
12.232504,11.950091,11.669239,11.575871,11.482947,11.771712,12.059734
88.592926,88.071815,87.54954,86.839264,86.1291,86.39292,86.65709
16.592068,16.799507,17.008013,17.00885,17.008701,16.981386,16.953903
-40.10222,-39.779552,-39.457546,-39.371826,-39.28643,-39.001366,-38.715908
1.994397,1.962798,1.9305238,2.3224993,2.7159262,2.8118792,2.9068918
-45.37444,-45.01668,-44.65963,-44.907078,-45.155247,-45.33269,-45.509155
-16.358814,-16.00574,-15.649704,-15.163786,-14.677907,-15.357025,-16.036106
20.354443,20.4693,20.583376,20.9524,21.320448,21.752985,22.184944
-40.550236,-40.922382,-41.29341,-41.439045,-41.58401,-41.64156,-41.69841
-3.3085587,-3.6558993,-4.0018816,-3.8904068,-3.777817,-4.0191994,-4.261261
