2014 SVI Multi-Unit Structures Encoding,2015 SVI Multi-Unit Structures Encoding,2016 SVI Multi-Unit Structures Encoding,2017 SVI Multi-Unit Structures Encoding,2018 SVI Multi-Unit Structures Encoding,2019 SVI Multi-Unit Structures Encoding,2020 SVI Multi-Unit Structures Encoding
6.617738,6.4747686,6.3327703,5.7870665,5.241333,4.429674,3.6188116
62.57406,62.962086,63.349827,63.172215,62.99389,63.447178,63.90199
19.1787,19.229416,19.280191,20.064112,20.849922,21.166,21.481777
26.11202,26.078272,26.043499,24.458143,22.872164,23.123495,23.376154
-0.37743694,-0.00033695716,0.3780467,0.8271405,1.2755977,2.0599916,2.8444993
47.863632,47.956715,48.049614,47.645332,47.24109,47.36088,47.481133
-45.921703,-46.714676,-47.50697,-46.668835,-45.830063,-45.52833,-45.226826
12.653154,12.050932,11.448447,11.578807,11.71043,11.875476,12.039744
4.8392262,5.572873,6.3072715,6.2705913,6.2348886,5.644003,5.051798
-45.2551,-44.670704,-44.085087,-43.574966,-43.066532,-42.5408,-42.014614
-5.9405894,-6.3181725,-6.695,-7.3028398,-7.91064,-7.350978,-6.7912116
45.398617,45.8022,46.205048,46.494175,46.78336,48.153908,49.52452
-14.347618,-14.549201,-14.75098,-14.533153,-14.315225,-14.147868,-13.980362
22.899284,22.675476,22.452267,22.904198,23.354042,22.638443,21.922775
17.326466,17.533178,17.741493,17.363297,16.985378,17.54374,18.10255
-17.105938,-17.27478,-17.442669,-17.259247,-17.074816,-16.490992,-15.907225
-55.85902,-55.862232,-55.863823,-55.70864,-55.552063,-56.711975,-57.871338
-35.565132,-35.663696,-35.762302,-35.842793,-35.922607,-35.96028,-35.99928
21.50625,21.278358,21.05278,20.37219,19.692083,19.934692,20.178137
-10.195496,-9.961415,-9.727014,-10.209731,-10.693021,-10.584869,-10.475938
-55.616478,-56.02121,-56.427204,-55.486423,-54.546467,-54.416733,-54.285645
-3.5977542,-2.8408968,-2.0837233,-2.1564481,-2.2303808,-2.728122,-3.2245448
-62.967075,-63.706493,-64.44823,-64.16437,-63.878704,-62.879105,-61.879803
26.931366,26.45425,25.978842,26.271433,26.5639,27.93888,29.312828
75.188705,75.68301,76.1783,76.06629,75.95358,76.43304,76.909966
-84.96981,-84.99791,-85.02487,-84.89336,-84.759735,-84.86326,-84.96636
-11.581637,-12.257399,-12.931978,-13.969769,-15.008374,-15.613884,-16.219563
-57.817802,-57.848488,-57.880516,-57.209816,-56.538467,-56.012375,-55.486633
48.09947,49.274445,50.452377,50.55338,50.653442,50.93813,51.223763
-47.039333,-47.839424,-48.638645,-48.884373,-49.130505,-49.19147,-49.251766
2.403105,1.8836349,1.3642167,1.4830636,1.6029319,1.6803578,1.7578119
25.630203,25.154621,24.679607,24.804756,24.929699,26.058266,27.186714
76.38631,77.13522,77.88525,77.31299,76.74112,75.57455,74.409515
13.3048725,12.739995,12.178234,11.997221,11.816848,11.7693405,11.722558
0.14106627,0.6246459,1.1087272,0.40745422,-0.29525498,-1.9015057,-3.5082352
-56.316223,-56.735783,-57.154583,-57.057934,-56.961178,-56.720387,-56.478733
101.770256,102.80524,103.83993,103.4501,103.0591,102.107376,101.15651
-19.637346,-20.158264,-20.679491,-20.364822,-20.050495,-19.247992,-18.445198
-15.084132,-14.96047,-14.835898,-16.137535,-17.437067,-18.206573,-18.974432
7.004466,7.000988,6.996129,6.672217,6.347806,7.1386557,7.9298697
-39.599495,-38.44933,-37.297543,-35.566307,-33.837357,-34.776882,-35.715157
74.76947,74.653465,74.53835,73.36814,72.19684,72.84395,73.491714
52.67884,52.28669,51.896683,52.01731,52.137253,53.051266,53.96462
-122.776184,-123.96871,-125.16163,-124.178734,-123.19454,-123.70526,-124.21611
7.4299498,7.1178336,6.8067393,7.156554,7.506598,6.9853,6.4643106
8.402913,8.355868,8.308968,7.55586,6.804731,7.155763,7.507273
15.894247,15.970573,16.04729,16.080095,16.11319,16.093624,16.074158
-16.951792,-17.251438,-17.552288,-18.214577,-18.877567,-18.025906,-17.174765
59.249054,58.966824,58.68441,58.264248,57.842125,59.07163,60.29931
113.951324,114.439125,114.92596,115.02402,115.12137,115.40447,115.686745
-14.920603,-15.268431,-15.617571,-15.879992,-16.14271,-16.730486,-17.318745
-21.677063,-21.404783,-21.131176,-20.90974,-20.688347,-20.648497,-20.610641
-22.50988,-23.216122,-23.921429,-24.129103,-24.337078,-24.244297,-24.150995
34.286465,33.9756,33.66488,33.184677,32.703896,32.60374,32.503986
26.30944,26.233606,26.15694,25.859867,25.563416,25.080772,24.597237
34.927406,35.885128,36.842503,36.928745,37.014088,35.60633,34.198032
-45.77865,-46.267326,-46.754944,-46.833813,-46.912014,-47.23478,-47.55805
7.853573,8.510645,9.167237,9.520914,9.875488,10.690178,11.5047035
-7.86331,-7.927945,-7.9916177,-8.852974,-9.712122,-9.853422,-9.993412
-4.3141766,-4.9065247,-5.4983387,-5.0336437,-4.5699654,-3.853779,-3.136925
-21.26356,-20.765553,-20.267872,-19.419487,-18.572485,-18.501926,-18.429619
-2.4980755,-1.3833275,-0.26910022,0.50465107,1.2781191,0.6069021,-0.065855056
-27.019726,-26.766209,-26.51186,-27.424212,-28.335949,-28.754915,-29.173328
47.499073,47.77536,48.051525,47.66645,47.28163,47.875298,48.469105
38.72898,39.32437,39.918293,39.72155,39.524673,39.123688,38.723335
11.675471,11.692185,11.708858,11.972014,12.23572,13.223727,14.21322
37.450188,37.1461,36.843906,37.149174,37.45445,38.945827,40.437054
71.01966,71.34819,71.67579,72.25741,72.83784,72.56519,72.29197
1.4390311,1.9618473,2.4833722,2.7694292,3.0546904,3.8548317,4.653524
-23.079823,-23.049871,-23.01679,-22.279667,-21.541388,-21.46407,-21.384783
-9.834879,-10.085765,-10.335255,-10.478438,-10.621536,-11.248632,-11.875551
-42.409485,-42.974384,-43.537415,-43.594646,-43.649982,-42.70918,-41.767685
14.352836,14.845366,15.337018,15.353705,15.371153,15.254094,15.136481
-28.388784,-28.383894,-28.377308,-28.433302,-28.48969,-27.254086,-26.01795
-20.791172,-20.884228,-20.975498,-20.545322,-20.116117,-19.327934,-18.538935
-28.389893,-28.104599,-27.818136,-28.031754,-28.24684,-28.60484,-28.962963
14.643984,14.667757,14.689936,14.051421,13.412551,13.294976,13.1763115
34.40089,33.565987,32.730324,33.88143,35.03143,35.13474,35.236782
3.6029136,3.6047814,3.6081393,3.4886296,3.3684533,2.4842627,1.6013043
9.085382,8.930591,8.776662,9.545418,10.313937,10.831781,11.351125
8.66175,9.137612,9.611841,9.662087,9.710418,8.936851,8.163452
0.5303673,-0.7033134,-1.9376618,-1.2617518,-0.58504254,-1.0836483,-1.582544
0.015525078,-1.3152912,-2.6465423,-2.9522178,-3.2585266,-3.0076625,-2.756148
-6.6936326,-6.147469,-5.6002584,-5.4911656,-5.381657,-6.738425,-8.0942135
27.727772,28.387968,29.047947,29.549526,30.051275,30.535175,31.017988
20.470415,21.264915,22.05972,21.630405,21.201298,21.832848,22.4642
11.301236,11.2073,11.111791,11.1591015,11.206001,10.0055,8.805206
11.732596,10.677985,9.62358,9.251241,8.878228,8.397338,7.916187
48.83935,48.926464,49.01387,49.768566,50.523476,51.78399,53.044518
-72.344635,-72.23621,-72.127686,-70.74948,-69.370346,-68.86957,-68.368286
-24.109022,-23.913649,-23.719395,-23.065315,-22.41133,-23.381517,-24.351164
-2.8256423,-3.5892866,-4.353574,-4.5434647,-4.7339973,-4.7673416,-4.800359
-54.061188,-54.809196,-55.555172,-55.949986,-56.34518,-55.63359,-54.922726
41.81451,42.170338,42.526154,41.674133,40.82188,41.31955,41.817345
-105.911766,-106.031044,-106.149345,-104.34132,-102.533585,-102.52547,-102.51711
-13.378189,-13.047669,-12.71831,-11.605339,-10.493471,-10.40842,-10.323686
-4.1587224,-4.0189233,-3.8789754,-4.113009,-4.3469567,-4.829968,-5.3128057
-37.177288,-38.021515,-38.866257,-38.760044,-38.652824,-37.554516,-36.45572
-8.511558,-8.76189,-9.013691,-8.907766,-8.802611,-8.500438,-8.196861
17.045689,17.251173,17.45575,17.558409,17.660072,18.266361,18.871075
32.026943,30.927984,29.828117,30.262482,30.696972,30.18673,29.676147
14.319012,13.418092,12.515967,12.072049,11.627222,10.629638,9.631488
44.5296,44.99884,45.468575,46.176624,46.88515,48.177998,49.471012
12.983818,12.58469,12.185924,12.283819,12.382866,13.280857,14.177447
23.617836,22.722689,21.82636,21.129446,20.43321,20.887539,21.341345
-10.0906105,-9.875444,-9.658737,-9.794945,-9.932787,-10.428601,-10.925079
-56.510567,-56.371468,-56.232765,-55.883114,-55.530495,-54.299885,-53.068024
22.095675,22.925404,23.753788,23.963066,24.17231,23.583223,22.993324
24.378143,24.35246,24.328512,24.303688,24.278744,25.160223,26.040846
-1.594493,-1.673596,-1.752617,-1.0734526,-0.39489803,0.15563597,0.7075814
29.30065,28.824976,28.349236,27.407057,26.463839,25.694736,24.924501
71.73594,73.27126,74.80599,75.57917,76.35209,75.7387,75.12487
-4.0148897,-3.0620944,-2.1097333,-1.5122011,-0.913801,-1.7619216,-2.6101396
-1.4376575,-1.2494308,-1.0612289,-0.59069556,-0.12020794,-0.23841396,-0.3570377
-11.774672,-10.977335,-10.180555,-10.414043,-10.646077,-11.11836,-11.590906
16.249107,15.695675,15.1416,16.173887,17.207201,17.64137,18.075106
-18.89334,-19.294813,-19.697304,-19.912682,-20.128323,-20.544521,-20.959393
13.12622,13.001823,12.878957,13.254232,13.629205,12.632853,11.636934
95.82934,97.79444,99.7608,99.190575,98.62113,97.78796,96.95583
6.5882697,6.669036,6.749384,6.979286,7.207926,8.631421,10.05644
-67.724815,-67.371284,-67.018196,-66.21949,-65.42295,-64.95422,-64.48566
-74.37183,-74.49772,-74.62337,-73.97796,-73.33134,-72.49068,-71.64909
-52.51343,-51.51641,-50.519005,-50.421753,-50.324318,-50.84185,-51.35909
-26.510483,-26.471983,-26.433615,-25.373652,-24.313343,-22.999786,-21.6851
-88.23267,-88.87584,-89.51759,-89.375824,-89.23356,-89.49077,-89.74813
-86.70053,-87.093475,-87.48831,-86.68383,-85.87919,-86.19041,-86.49979
-14.367529,-13.982514,-13.599362,-14.353247,-15.105318,-15.578502,-16.051874
62.245842,62.397846,62.550663,61.365414,60.18088,58.898605,57.617237
-63.23493,-62.725082,-62.21498,-61.110043,-60.004616,-59.563816,-59.12212
4.935655,5.94264,6.9487033,7.646087,8.343133,7.795259,7.2460265
-43.956608,-43.823635,-43.690125,-44.08642,-44.48359,-44.944626,-45.40471
-27.45256,-28.868378,-30.28257,-29.64487,-29.005974,-28.081924,-27.157017
40.130745,39.90423,39.67952,39.196285,38.715397,38.003975,37.29175
18.21118,17.957577,17.704967,16.78625,15.868648,15.939373,16.010752
-15.888621,-15.178365,-14.469489,-14.032069,-13.597053,-15.305026,-17.012955
44.898487,44.178112,43.45693,42.95212,42.445385,41.966908,41.488377
-34.61625,-35.308075,-35.999207,-36.54701,-37.095787,-36.30376,-35.511024
-46.35895,-46.29014,-46.22249,-45.638145,-45.055748,-44.470966,-43.886215
14.650371,15.463582,16.277891,16.427114,16.576283,16.71597,16.854523
0.84499776,1.1988033,1.5503458,1.4062477,1.2616719,1.182288,1.1021785
-44.92364,-45.233807,-45.54465,-45.87429,-46.203247,-47.411774,-48.62121
-34.386173,-34.240192,-34.095135,-33.797993,-33.500893,-34.168957,-34.835728
2.6842887,2.4838016,2.2829401,2.5367768,2.7920692,3.053912,3.3158033
-7.047685,-7.0830646,-7.118238,-7.2268367,-7.3343987,-8.470884,-9.607163
-22.583084,-22.634487,-22.684963,-23.715828,-24.748297,-24.441788,-24.136518
18.524874,18.159246,17.794704,17.473536,17.152788,16.298449,15.443261
-2.0933511,-1.9342412,-1.775585,-1.3420104,-0.90864456,-1.6839899,-2.458061
90.394684,89.55839,88.72314,87.959816,87.196815,86.60603,86.01353
-68.3185,-68.949356,-69.58163,-69.65404,-69.72646,-69.488235,-69.24973
44.753407,44.199028,43.645115,44.237957,44.831104,44.914463,44.997368
44.016,44.429424,44.84295,44.972218,45.101963,44.75737,44.41274
20.31494,20.892302,21.467813,20.652,19.836298,18.959595,18.082891
62.33226,63.455334,64.57838,64.60968,64.64235,65.37713,66.111694
40.034832,39.93768,39.840942,38.865726,37.891773,37.22823,36.56484
41.786434,41.279922,40.772682,41.458202,42.14487,42.745056,43.345947
-9.317167,-8.925085,-8.532693,-8.170904,-7.809916,-8.494598,-9.178493
56.1443,55.938644,55.73312,54.895523,54.058994,53.70423,53.350826
-48.415947,-48.298508,-48.181686,-47.318417,-46.45463,-45.94286,-45.431885
-5.026791,-4.892113,-4.7572255,-3.6382563,-2.519482,-2.789223,-3.0588114
6.7492867,6.221163,5.692562,6.6963153,7.700103,7.359614,7.021005
-55.227627,-53.8231,-52.417095,-52.950146,-53.48378,-52.890858,-52.297306
51.90783,52.467243,53.02539,53.01633,53.00767,52.2198,51.430916
