2014 SVI No High School Diploma Encoding,2015 SVI No High School Diploma Encoding,2016 SVI No High School Diploma Encoding,2017 SVI No High School Diploma Encoding,2018 SVI No High School Diploma Encoding,2019 SVI No High School Diploma Encoding,2020 SVI No High School Diploma Encoding
2.287524,2.1146247,1.94221,1.2297461,0.5174802,0.9658945,1.4153273
-17.502808,-18.303673,-19.103907,-18.761612,-18.41984,-17.529272,-16.638445
13.6422205,13.497386,13.351122,13.3757715,13.399789,14.016497,14.633445
4.913945,4.513843,4.115682,4.2318892,4.350594,4.6679134,4.9850125
-34.81413,-34.946907,-35.077892,-35.0546,-35.029312,-34.55755,-34.08619
-13.275625,-13.136684,-12.996471,-12.456297,-11.916443,-11.691162,-11.467501
-9.0195875,-9.157405,-9.295134,-8.819911,-8.346098,-8.0518675,-7.7574797
15.232262,15.767477,16.302256,16.056835,15.811933,16.193645,16.575228
-2.2520974,-2.5453227,-2.8376334,-2.3453443,-1.8535365,-2.104316,-2.3551543
39.604782,40.021626,40.4386,41.337368,42.23696,41.473476,40.70975
19.788015,19.748295,19.708033,18.77822,17.849329,17.79893,17.749655
35.804604,35.30861,34.81392,35.381947,35.952034,36.348366,36.746147
5.1244564,5.359103,5.5931396,5.331525,5.0693436,5.064436,5.0602565
-2.1647892,-1.8875093,-1.6115732,-2.2667494,-2.9224863,-3.214675,-3.5061378
-24.491446,-25.275904,-26.0596,-26.411875,-26.76296,-26.269176,-25.774569
-0.52484834,-0.6594626,-0.792554,-1.0097867,-1.2275473,-0.7784909,-0.32853803
-7.375673,-8.290859,-9.205179,-8.488796,-7.772463,-6.934292,-6.096009
-15.973063,-15.157663,-14.342503,-13.615637,-12.889886,-12.381776,-11.87396
-2.9409928,-3.2033,-3.4660306,-3.2814517,-3.0952034,-2.4397473,-1.7848281
22.070866,22.722187,23.373482,23.35086,23.330015,23.453562,23.578602
34.87036,35.60625,36.341164,35.728508,35.114815,35.33954,35.56543
-15.5851755,-14.973315,-14.363152,-13.932453,-13.501173,-12.714618,-11.927928
103.3834,102.612114,101.83855,101.34959,100.86109,101.48905,102.11736
-10.335519,-10.36188,-10.387832,-10.047039,-9.705431,-9.541479,-9.3781
24.904482,24.491892,24.08019,24.098894,24.117071,23.890295,23.666544
20.878696,20.871841,20.864407,21.192669,21.521135,20.237484,18.95224
74.43044,74.7365,75.044044,74.94897,74.85388,73.984795,73.11593
-7.122887,-7.8698983,-8.616648,-8.727304,-8.837107,-8.36299,-7.8905587
-25.365677,-25.757847,-26.150982,-26.07363,-25.997316,-25.177263,-24.356169
6.2850018,5.948289,5.612317,5.7435493,5.875516,5.991684,6.10937
-85.21809,-85.915726,-86.61424,-86.66296,-86.71095,-85.424675,-84.13776
-18.24507,-17.540474,-16.837194,-17.528889,-18.222843,-17.67955,-17.135513
3.1853395,3.1591363,3.1327367,3.0178418,2.9039273,3.1390405,3.3743844
-78.24896,-77.96534,-77.68058,-77.23647,-76.79408,-77.56085,-78.32926
40.017258,40.32591,40.636547,40.160984,39.685154,40.260323,40.835186
-74.623886,-75.06539,-75.508316,-74.48279,-73.46002,-73.41727,-73.376114
-25.229122,-24.866879,-24.505852,-24.108402,-23.71064,-23.165646,-22.620285
-23.025444,-23.08045,-23.13502,-23.915215,-24.695581,-25.540161,-26.384085
-39.253616,-40.210915,-41.16741,-40.866848,-40.56498,-40.694515,-40.82407
4.162388,4.1675377,4.171981,4.115649,4.0584908,4.479019,4.8997564
95.793274,96.30596,96.819496,97.14415,97.469986,96.77573,96.08215
59.49162,59.648483,59.8033,59.35667,58.910805,59.470024,60.030087
16.364643,15.924874,15.484214,16.534233,17.583467,16.993582,16.404104
7.3495693,7.7057204,8.05955,8.8195715,9.576744,9.704957,9.833721
24.84762,24.80782,24.768005,24.919655,25.072685,25.367666,25.66223
66.128,67.062294,67.996475,67.23294,66.47015,65.81974,65.168465
-29.78453,-29.001677,-28.220226,-28.051048,-27.881449,-28.64212,-29.405098
24.599758,24.60621,24.612589,24.754898,24.896355,25.104782,25.313145
-95.30925,-95.20067,-95.091064,-95.461975,-95.83154,-95.65817,-95.48536
-11.177528,-11.812656,-12.448696,-11.827653,-11.207325,-10.379869,-9.553251
42.97785,42.099648,41.222805,41.378967,41.533134,42.48559,43.44088
-38.369083,-38.095448,-37.82165,-37.543545,-37.263916,-37.93953,-38.61295
40.66894,41.589943,42.510845,42.04896,41.588665,41.435078,41.282925
68.12224,68.85711,69.590775,69.46174,69.33248,68.8462,68.35954
-3.857692,-3.2795594,-2.7018216,-2.2858899,-1.8693993,-1.4619458,-1.0554917
-17.782364,-19.085506,-20.38917,-20.589458,-20.790215,-20.165615,-19.541264
-36.20066,-35.837246,-35.47383,-34.982803,-34.49408,-35.21427,-35.935127
-3.8776224,-4.159432,-4.44264,-4.6694865,-4.897377,-4.4319873,-3.968253
-64.49866,-64.062965,-63.627735,-63.885956,-64.144485,-63.994434,-63.845005
-17.524834,-18.166845,-18.809566,-19.255793,-19.700699,-19.680473,-19.662046
35.30063,35.399002,35.497665,35.754322,36.01153,36.782295,37.554195
26.090174,26.912071,27.734016,27.255753,26.778849,25.213537,23.645672
39.800037,38.882023,37.965137,38.141216,38.315277,38.65287,38.988155
-63.56751,-62.99311,-62.41883,-61.45677,-60.494057,-60.24627,-59.99857
-47.60728,-48.2666,-48.923767,-49.51967,-50.116978,-49.391796,-48.66781
59.199333,59.99214,60.78518,60.797455,60.810246,60.778347,60.747154
-24.438154,-24.283087,-24.128538,-23.616217,-23.103695,-22.184753,-21.26582
-58.674892,-58.532322,-58.388645,-58.730946,-59.07333,-59.531506,-59.990334
49.269478,49.216183,49.164143,48.817646,48.4698,47.972477,47.47573
-90.91029,-91.76084,-92.61096,-92.24402,-91.87513,-91.27848,-90.68253
15.68548,15.705637,15.725494,15.385965,15.045517,15.652473,16.260443
12.322279,12.893802,13.465737,13.338263,13.210696,12.818945,12.4259815
73.50445,73.99671,74.48888,74.81339,75.13802,75.16136,75.185646
-26.454397,-26.469738,-26.486052,-26.371477,-26.256287,-26.145487,-26.035069
21.563889,22.126974,22.68802,22.262423,21.837273,22.610704,23.383512
-12.802897,-13.653466,-14.504318,-14.910689,-15.316748,-15.463584,-15.612916
47.225273,47.831333,48.437798,48.179276,47.921806,47.96743,48.01468
-71.964615,-72.00071,-72.03716,-71.68042,-71.32353,-71.18852,-71.05356
-45.00727,-44.377697,-43.74874,-43.700676,-43.650436,-44.272957,-44.896282
32.51159,32.54692,32.58188,32.02135,31.461557,31.298725,31.136183
-20.671843,-20.496738,-20.321339,-20.634644,-20.947598,-21.024733,-21.10114
39.67222,40.037064,40.401573,40.31603,40.23091,40.411964,40.593468
37.806957,37.518898,37.23041,37.07158,36.91374,36.929115,36.94479
-45.78327,-45.726192,-45.66943,-44.912766,-44.157223,-44.18242,-44.20569
-3.135574,-3.1599782,-3.1838944,-3.0995457,-3.0148857,-3.2362373,-3.4565227
60.866486,61.138424,61.411324,60.868355,60.326385,59.93248,59.54126
-63.178177,-62.816036,-62.454876,-62.381805,-62.309452,-61.559364,-60.809628
1.9788923,1.8661361,1.7554107,0.93748087,0.12115712,0.5294439,0.93745893
-20.264845,-20.558043,-20.84972,-21.035345,-21.221191,-21.111378,-21.001589
-28.381521,-28.618872,-28.856922,-28.816244,-28.776058,-28.96423,-29.152897
67.14176,67.921486,68.70107,68.82297,68.94661,68.44205,67.93967
37.076385,36.917408,36.760456,36.99501,37.230934,37.980583,38.728832
9.311268,8.635724,7.9594297,7.3534307,6.747096,6.6653585,6.585191
-4.376441,-4.8779116,-5.379337,-5.533991,-5.6890264,-5.4510736,-5.2131786
5.0360746,5.418629,5.8004665,6.8374867,7.872708,6.822844,5.772409
-98.691635,-99.466736,-100.24249,-100.711334,-101.18165,-100.47345,-99.766174
24.183353,24.01995,23.858128,23.480295,23.103724,23.32949,23.556288
45.5515,45.804718,46.057682,45.874256,45.691326,45.169632,44.64814
49.92709,50.237946,50.54879,50.301914,50.05578,50.10232,50.149906
51.905945,52.31743,52.728107,53.094162,53.459908,52.78654,52.114723
34.64412,34.18277,33.721657,34.013947,34.306118,35.26525,36.22496
-3.6431386,-4.033259,-4.4219975,-4.870784,-5.3216214,-5.564934,-5.8067403
62.859413,62.233665,61.607857,61.23718,60.865746,61.625957,62.385666
-55.168976,-54.942917,-54.717163,-54.635986,-54.55532,-53.298275,-52.042137
-16.90948,-16.001131,-15.091463,-14.63072,-14.168129,-14.22557,-14.283127
2.6150272,2.3894708,2.1615264,2.3790538,2.598005,2.5223587,2.4464204
18.11512,17.574078,17.032448,16.41451,15.795401,16.451914,17.10962
-60.72757,-60.199776,-59.672108,-59.436665,-59.20085,-58.371933,-57.542736
-43.198833,-43.116215,-43.03278,-43.017063,-43.00086,-42.470577,-41.939587
-57.919785,-57.596146,-57.272026,-57.594376,-57.91627,-56.900932,-55.886112
-21.796354,-21.856157,-21.917015,-21.6132,-21.308853,-21.843788,-22.380547
-8.424269,-8.885708,-9.347839,-10.0945015,-10.841287,-10.06918,-9.297227
-33.943363,-34.684254,-35.42358,-35.00129,-34.57914,-35.24421,-35.909565
39.085922,39.728085,40.368114,40.18831,40.00899,39.723103,39.43553
15.390914,15.826957,16.262655,15.99658,15.731298,16.358633,16.988142
22.555506,22.950726,23.34455,22.496254,21.647285,21.331059,21.015736
46.70275,46.412464,46.12277,46.073254,46.023617,45.33871,44.654285
35.821457,35.88293,35.94458,36.32451,36.70286,36.410614,36.120514
-52.907104,-52.726883,-52.54565,-52.394516,-52.241737,-51.763958,-51.28498
-3.983445,-2.9939144,-2.0053446,-1.2599051,-0.5154898,-0.9752152,-1.435713
5.984255,6.189951,6.3977394,5.6695795,4.9414616,4.8398743,4.7381144
-29.267633,-28.939377,-28.611073,-28.816032,-29.020258,-29.64856,-30.277742
2.260619,2.2055671,2.1517818,2.131148,2.110646,1.7542055,1.398812
19.100424,20.099997,21.097359,22.102684,23.107471,22.758287,22.408722
-46.68416,-47.360268,-48.03583,-47.90318,-47.77016,-47.98845,-48.20784
8.235192,7.7977853,7.3606677,6.7550497,6.1490383,6.129524,6.1087136
40.541588,41.18225,41.823666,42.33778,42.852768,42.24286,41.633068
-2.2466886,-2.115506,-1.9835337,-1.3268927,-0.67172515,-0.50573623,-0.33855042
-16.46527,-16.876326,-17.285471,-17.04312,-16.80142,-16.208809,-15.617944
72.57679,72.27183,71.96598,72.28979,72.61351,73.44938,74.2858
-4.5114594,-3.7902932,-3.0696106,-2.4115767,-1.7536516,-2.371128,-2.990942
-47.347622,-48.370296,-49.392555,-49.875633,-50.35935,-49.780872,-49.20241
22.987957,22.601149,22.214357,22.144596,22.075584,21.619843,21.162416
-52.916077,-53.782204,-54.648857,-55.285995,-55.922905,-55.175636,-54.429184
