2014 SVI Single-Parent Household Encoding,2015 SVI Single-Parent Household Encoding,2016 SVI Single-Parent Household Encoding,2017 SVI Single-Parent Household Encoding,2018 SVI Single-Parent Household Encoding,2019 SVI Single-Parent Household Encoding,2020 SVI Single-Parent Household Encoding
25.407734,24.862045,24.316711,24.32634,24.337412,25.108437,25.980495
-79.106094,-80.36692,-81.62665,-81.69632,-81.77919,-80.11052,-78.51835
75.82524,76.958115,78.09129,78.61583,79.13011,79.10137,78.97893
38.311447,38.567947,38.82497,37.458088,36.106667,35.4331,34.65413
-75.52507,-75.678955,-75.83071,-74.506256,-73.1843,-75.558044,-77.9152
-18.429049,-17.932985,-17.436306,-14.450513,-11.447175,-13.67076,-16.047613
-10.940052,-7.564774,-4.190871,-1.7925377,0.58653706,1.271411,1.8566375
-13.344827,-11.744419,-10.144496,-11.105571,-12.053414,-14.303344,-16.389061
-10.359995,-10.002042,-9.643784,-8.128285,-6.6006007,-3.8186638,-1.0875636
20.945114,22.54054,24.134434,24.412868,24.677309,23.556047,22.472805
4.5426917,5.061975,5.582069,4.6879478,3.7837195,-2.7231393,-9.102064
-45.321632,-44.561676,-43.8028,-41.753735,-39.71768,-41.141045,-42.699364
-32.96299,-32.24005,-31.518164,-31.152328,-30.780527,-33.570633,-36.16392
-9.047522,-8.795763,-8.543165,-6.4215794,-4.3108387,-2.2066138,-0.05984701
51.191822,51.700222,52.20931,50.81817,49.409695,48.10554,46.8986
-20.20313,-22.65441,-25.106266,-25.064787,-25.014816,-24.222229,-23.334078
118.64299,118.71679,118.7895,120.71061,122.64007,124.23143,125.80238
45.05392,43.316216,41.57828,39.710423,37.859764,38.370323,39.022278
29.878479,28.8223,27.765085,25.776726,23.787205,22.142046,20.516222
-98.39085,-98.14914,-97.90696,-97.994194,-98.07815,-100.33779,-102.42569
-36.092537,-34.877895,-33.66466,-32.09101,-30.533186,-33.54895,-36.61006
-49.369007,-48.561337,-47.750965,-49.035217,-50.331844,-53.353245,-56.3487
-73.0479,-72.281235,-71.51338,-72.059555,-72.59122,-73.57841,-74.50169
-45.97967,-44.73444,-43.48789,-42.258507,-41.038635,-39.3833,-37.830074
64.431564,63.848286,63.264103,63.539288,63.801266,64.55043,65.365005
41.821003,39.8753,37.929855,33.211166,28.48365,26.071705,23.669922
33.016407,31.2482,29.48216,25.476395,21.459555,18.130096,14.75945
-56.60727,-58.34382,-60.08177,-58.811844,-57.528305,-54.370037,-51.181927
-1.649225,-1.7717435,-1.8946598,-1.3500192,-0.8134997,-2.498497,-4.1357684
-68.50742,-67.17935,-65.85143,-64.14006,-62.443405,-59.996,-57.675926
-71.722534,-72.38925,-73.05707,-76.28472,-79.498085,-80.272804,-81.17414
-11.687659,-11.071713,-10.454505,-10.142957,-9.81581,-8.007639,-6.134434
-60.888,-62.458595,-64.03103,-64.269,-64.496925,-64.48375,-64.31932
-101.55763,-100.97893,-100.40064,-98.406815,-96.4287,-96.04278,-95.84502
-6.6354985,-4.8600354,-3.084685,-0.39620045,2.2990148,2.734194,3.2738245
68.45899,68.38881,68.31846,67.401794,66.49192,68.304695,70.00765
57.868977,57.33161,56.79416,54.190228,51.60168,51.44505,51.430172
41.669853,42.228485,42.788723,40.88969,39.00422,36.500225,34.152084
20.097889,19.04618,17.995941,16.09041,14.198794,13.058059,12.020673
61.892914,62.980686,64.06831,62.188328,60.295845,58.45455,56.6977
-27.365124,-27.415648,-27.464212,-26.327925,-25.187965,-25.78817,-26.428415
-64.858055,-67.31139,-69.76416,-68.98666,-68.19612,-67.45937,-66.6784
-81.15448,-80.97218,-80.79015,-77.32523,-73.874535,-74.4392,-74.97399
-47.12013,-48.03463,-48.948723,-46.60791,-44.273476,-41.80914,-39.511253
3.2116854,2.054455,0.8978769,-0.95325834,-2.791927,-3.946407,-5.2019463
-63.438606,-63.50539,-63.572174,-60.312008,-57.048725,-56.40315,-55.68379
1.5944482,1.9422523,2.2894347,1.5589362,0.8407718,1.1480256,1.489957
9.817503,8.448627,7.0802097,4.761799,2.446538,1.4149514,0.35911
-56.188114,-57.005558,-57.822487,-57.06689,-56.31227,-52.770542,-49.31116
36.374516,36.379063,36.384903,34.78667,33.191525,35.49036,37.658
-57.47299,-58.045944,-58.618973,-58.316795,-58.023315,-57.96984,-57.700726
59.75879,60.873924,61.989502,61.19134,60.387,57.964,55.46982
100.84028,101.338875,101.83761,103.016884,104.19834,100.299965,96.42453
-7.8668337,-8.458787,-9.05083,-9.494201,-9.934421,-9.625495,-9.4179945
-6.568334,-7.3695755,-8.170076,-7.7007923,-7.224256,-8.847224,-10.548893
6.6350913,9.119416,11.602404,12.18837,12.764793,12.119965,11.625851
19.500145,19.041964,18.583801,16.733519,14.872146,15.856116,16.835888
-33.557858,-31.966467,-30.37597,-29.155537,-27.945766,-27.705685,-27.447989
27.226469,26.228212,25.22936,23.895514,22.545435,22.281004,22.139769
-25.907068,-27.547474,-29.186167,-31.972965,-34.744865,-35.141777,-35.383995
-99.96569,-101.14902,-102.33228,-98.51154,-94.67723,-92.993996,-91.36888
38.931313,39.32879,39.72588,38.824654,37.93894,36.746223,35.478634
-10.873117,-10.647707,-10.422133,-11.227584,-12.043627,-11.960869,-11.983536
-31.212984,-33.045338,-34.876366,-37.401615,-39.91753,-41.97148,-44.193012
49.295006,49.998283,50.70306,48.072113,45.4382,43.971207,42.542496
12.813593,11.224619,9.636562,9.036793,8.422747,7.911852,7.3756084
88.864685,89.75943,90.65498,90.88696,91.12198,92.7893,94.46831
26.566332,26.333385,26.100256,26.956278,27.80078,26.755373,25.681698
124.497086,123.526886,122.55673,122.28514,122.01068,118.56172,115.28093
-89.0051,-90.20562,-91.40618,-90.28663,-89.1751,-87.576256,-86.08223
-11.719303,-11.511487,-11.302764,-8.325059,-5.348559,-3.785688,-2.2059526
60.205772,61.741173,63.277023,62.806244,62.347984,61.192223,60.02254
13.606612,14.142289,14.678922,13.97933,13.271604,13.004413,12.634006
-29.067858,-30.75341,-32.43874,-30.33962,-28.242926,-26.512102,-24.893015
9.17308,8.49232,7.810632,6.9087224,5.9969163,3.0234637,-0.072931714
14.645729,13.981509,13.317228,13.713914,14.121964,17.495375,20.712393
-57.67798,-57.224525,-56.770626,-57.238155,-57.687744,-61.053528,-64.3683
-3.8411572,-4.0990605,-4.3567953,-3.9238083,-3.497928,-4.1973825,-4.9488854
-79.912186,-80.13701,-80.36137,-77.85751,-75.355896,-75.709045,-76.0827
-13.011961,-14.566896,-16.122862,-14.64747,-13.169432,-13.295941,-13.507887
8.094698,6.005592,3.915277,2.141376,0.35547394,-1.0284106,-2.5204358
-38.120766,-36.97782,-35.833202,-36.8185,-37.81639,-40.304123,-42.785618
19.345385,17.62483,15.904924,16.134808,16.371668,16.923925,17.557442
-70.91362,-73.24192,-75.56862,-74.37322,-73.18991,-70.35451,-67.39517
106.35536,106.63168,106.90789,105.170074,103.41513,101.959335,100.64674
-47.001087,-47.77087,-48.54202,-47.33535,-46.1124,-43.854588,-41.503353
24.7123,25.527042,26.341105,29.915106,33.489613,33.231182,33.031845
-1.2719762,-1.8859746,-2.5014913,-3.7350385,-4.9782715,-5.2193704,-5.4717193
61.623928,61.454338,61.284878,60.490963,59.7133,56.775326,53.767525
44.670742,45.38443,46.097603,46.121258,46.137493,46.82129,47.39479
13.475802,13.51093,13.545077,12.453722,11.367789,14.523013,17.582172
-53.44771,-53.036316,-52.624817,-51.77844,-50.927643,-49.17414,-47.368717
12.389702,11.5341,10.680095,9.000525,7.304292,4.4564204,1.5369802
94.10093,92.53573,90.96937,89.54505,88.132225,86.70304,85.39712
-38.763275,-40.554283,-42.3466,-43.642635,-44.92464,-45.81161,-46.613926
10.932366,10.196072,9.460896,9.902353,10.361338,9.03085,7.6325274
-73.058914,-73.033035,-73.00769,-69.51314,-66.02425,-64.04322,-62.128506
