FIPS,2014 EPL_AGE65,2015 EPL_AGE65,2016 EPL_AGE65,2017 EPL_AGE65,2018 EPL_AGE65,2019 EPL_AGE65,2020 EPL_AGE65,2021 EPL_AGE65,2022 EPL_AGE65
01001,19.8,19.72,19.64,19.07,18.5,18.39,18.27,17.73,17.18
01003,62.81,63.59,64.37,64.33,64.28,64.62,64.96,66.26,67.55
01005,39.64,40.69,41.74,45.34,48.93,50.54,52.16,53.34,54.53
01007,26.77,26.31,25.85,28.92,32.0,29.12,26.23,26.02,25.8
01009,44.29,46.69,49.09,48.12,47.15,44.02,40.9,40.08,39.26
01011,27.67,27.5,27.32,26.52,25.72,24.86,24.0,24.2,24.4
01013,61.0,59.73,58.45,58.86,59.28,63.28,67.28,67.42,67.55
01015,37.47,36.61,35.75,36.2,36.64,36.97,37.3,36.26,35.22
01017,62.81,62.16,61.51,59.84,58.17,57.1,56.02,54.75,53.48
01019,75.71,76.5,77.3,78.92,80.55,81.08,81.6,80.97,80.34
01021,30.85,29.59,28.33,27.9,27.48,27.68,27.88,26.84,25.8
01023,78.41,79.16,79.91,81.2,82.49,82.59,82.69,81.77,80.85
01025,56.03,57.24,58.45,58.86,59.28,59.63,59.99,60.26,60.52
01027,68.29,69.2,70.11,68.45,66.79,65.49,64.19,64.39,64.59
01029,59.85,59.64,59.44,58.31,57.18,61.58,65.98,59.14,52.31
01031,36.39,35.51,34.64,33.32,32.0,31.58,31.16,29.77,28.38
01033,63.77,63.1,62.43,62.39,62.34,60.64,58.94,57.77,56.6
01035,74.21,75.76,77.3,78.67,80.04,80.33,80.62,80.96,81.29
01037,59.85,62.11,64.37,72.65,80.93,82.2,83.48,84.64,85.81
01039,76.44,76.6,76.76,74.62,72.49,71.84,71.2,71.28,71.36
01041,51.74,52.06,52.37,52.26,52.15,53.11,54.07,54.3,54.53
01043,54.66,54.95,55.24,52.08,48.93,47.14,45.35,45.03,44.7
01045,27.67,29.01,30.34,30.08,29.83,30.02,30.2,30.9,31.59
01047,33.17,33.32,33.46,35.05,36.64,38.77,40.9,45.69,50.49
01049,32.12,31.72,31.33,31.66,32.0,31.58,31.16,30.6,30.03
01051,16.56,17.7,18.85,18.36,17.86,18.83,19.8,19.2,18.61
01053,43.33,43.42,43.52,42.71,41.9,41.97,42.04,42.38,42.73
01055,50.68,50.93,51.19,51.67,52.15,51.62,51.08,50.78,50.49
01057,70.33,70.71,71.09,71.79,72.49,70.81,69.13,68.34,67.55
01059,42.22,39.53,36.84,33.91,30.98,29.05,27.12,27.75,28.38
01061,68.29,67.58,66.86,65.04,63.23,63.35,63.46,61.5,59.53
01063,54.66,56.1,57.53,64.58,71.63,74.94,78.26,80.57,82.88
01065,49.51,51.93,54.35,53.25,52.15,53.11,54.07,53.77,53.48
01067,75.71,77.57,79.43,79.74,80.04,79.72,79.41,79.02,78.62
01069,38.62,37.73,36.84,37.24,37.63,37.47,37.3,37.61,37.93
01071,59.85,61.14,62.43,61.19,59.95,60.53,61.11,61.83,62.55
01073,21.87,21.74,21.62,21.38,21.14,21.52,21.9,21.9,21.89
01075,74.98,75.87,76.76,76.71,76.66,75.44,74.22,74.11,74.01
01077,61.0,60.74,60.49,61.42,62.34,61.72,61.11,59.48,57.84
01079,39.64,39.29,38.94,41.07,43.2,42.05,40.9,41.82,42.73
01081,3.53,3.44,3.34,3.56,3.79,4.3,4.81,4.92,5.03
01083,17.7,18.27,18.85,19.01,19.17,18.72,18.27,17.2,16.13
01085,43.33,46.76,50.18,49.18,48.17,49.1,50.03,50.26,50.49
01087,39.64,41.58,43.52,49.36,55.21,57.6,59.99,59.36,58.73
01089,17.03,17.26,17.48,17.18,16.87,16.74,16.61,16.37,16.13
01091,62.81,63.06,63.32,60.74,58.17,58.18,58.18,56.88,55.58
01093,75.71,75.82,75.93,75.24,74.56,72.88,71.2,68.31,65.42
01095,40.78,40.84,40.91,38.78,36.64,34.84,33.04,31.17,29.3
01097,22.76,22.94,23.11,23.35,23.59,24.13,24.67,24.92,25.17
01099,54.66,54.95,55.24,56.71,58.17,59.64,61.11,63.67,66.24
01101,15.19,15.32,15.44,15.79,16.14,16.38,16.61,16.9,17.18
01103,34.42,34.53,34.64,35.15,35.66,35.71,35.77,35.49,35.22
01105,69.02,67.46,65.9,60.56,55.21,55.62,56.02,58.73,61.44
01107,61.8,59.16,56.51,55.02,53.52,51.77,50.03,50.26,50.49
01109,19.8,20.71,21.62,20.06,18.5,18.7,18.91,17.33,15.75
01111,67.65,68.88,70.11,69.31,68.51,67.24,65.98,65.7,65.42
01113,15.19,13.42,11.65,12.02,12.38,12.86,13.34,13.59,13.84
01115,25.95,27.14,28.33,28.22,28.11,28.71,29.31,30.14,30.96
01117,11.72,12.83,13.94,15.4,16.87,17.89,18.91,19.96,21.0
01119,40.78,39.86,38.94,38.29,37.63,40.41,43.19,42.96,42.73
01121,35.59,36.74,37.89,38.89,39.89,39.2,38.51,40.62,42.73
01123,68.29,69.69,71.09,71.36,71.63,72.13,72.63,73.94,75.25
01125,8.72,8.26,7.8,8.06,8.31,8.47,8.63,8.37,8.11
01127,58.36,58.4,58.45,56.83,55.21,55.18,55.16,53.74,52.31
01129,37.47,40.49,43.52,47.83,52.15,55.54,58.94,56.74,54.53
01131,49.51,52.37,55.24,54.38,53.52,54.77,56.02,60.31,64.59
01133,73.26,74.28,75.29,75.97,76.66,76.04,75.43,73.4,71.36
02013,0.06,0.14,0.22,0.57,0.92,1.88,2.83,2.8,2.77
02016,0.16,0.13,0.1,0.08,0.06,0.16,0.25,0.18,0.1
02020,1.5,1.54,1.59,1.75,1.91,2.23,2.55,2.97,3.4
02050,0.22,0.22,0.22,0.2,0.19,0.19,0.19,0.24,0.29
02060,0.41,0.56,0.7,1.15,1.59,2.53,3.47,4.04,4.61
02063,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
02066,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
02068,0.13,0.3,0.48,0.35,0.22,0.99,1.75,5.84,9.93
02070,1.18,1.0,0.83,0.75,0.67,1.85,3.02,2.96,2.9
02090,0.7,0.68,0.67,0.97,1.27,1.44,1.62,2.32,3.02
02100,18.69,30.71,42.73,66.54,90.35,86.31,82.27,76.44,70.6
02105,36.39,39.96,43.52,53.9,64.28,72.24,80.2,82.12,84.03
02110,2.71,3.14,3.57,4.99,6.4,8.01,9.61,11.47,13.33
02122,15.79,18.0,20.22,22.97,25.72,30.1,34.47,38.6,42.73
02130,7.07,9.36,11.65,13.53,15.41,17.16,18.91,22.04,25.17
02150,0.86,1.0,1.15,1.18,1.21,1.48,1.75,2.78,3.82
02158,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
02164,0.38,0.26,0.13,0.27,0.41,1.16,1.91,1.25,0.6
02170,1.88,2.07,2.26,2.6,2.93,3.74,4.55,5.08,5.6
02180,0.48,0.48,0.48,0.38,0.29,0.34,0.38,0.27,0.16
02185,0.03,0.03,0.03,0.06,0.1,0.13,0.16,0.2,0.25
02188,0.32,0.32,0.32,0.35,0.38,0.34,0.29,0.32,0.35
02195,9.39,13.78,18.18,48.82,79.47,86.46,93.44,90.55,87.66
02198,6.34,6.3,6.27,13.0,19.74,27.1,34.47,42.08,49.7
02220,12.23,13.51,14.8,16.33,17.86,21.26,24.67,22.84,21.0
02230,1.34,1.8,2.26,3.24,4.23,5.71,7.19,8.0,8.81
02240,5.19,5.97,6.75,8.33,9.9,11.41,12.92,11.71,10.5
02275,95.8,84.4,73.0,77.74,82.49,82.38,82.27,87.54,92.81
02282,2.71,5.14,7.58,7.45,7.32,9.83,12.35,49.34,86.32
02290,13.5,14.7,15.89,14.62,13.34,14.76,16.17,18.58,21.0
04001,15.19,15.32,15.44,16.97,18.5,19.15,19.8,19.2,18.61
04003,69.02,71.4,73.77,74.88,75.99,76.81,77.63,78.98,80.34
04005,3.98,4.46,4.93,5.06,5.19,5.7,6.21,6.85,7.48
04007,95.29,95.78,96.28,96.4,96.53,96.38,96.24,96.28,96.31
04009,11.17,10.78,10.38,10.8,11.21,11.22,11.23,10.32,9.42
04011,11.17,9.13,7.1,7.1,7.1,6.97,6.84,7.7,8.56
04012,99.87,99.86,99.84,99.86,99.87,99.87,99.87,99.88,99.9
04013,17.7,17.94,18.18,18.02,17.86,17.78,17.7,17.44,17.18
04015,95.64,96.28,96.91,97.2,97.48,97.45,97.42,97.61,97.8
04017,30.85,32.16,33.46,35.54,37.63,39.84,42.04,44.4,46.77
04019,51.74,53.49,55.24,55.79,56.35,57.64,58.94,59.73,60.52
04021,44.29,51.87,59.44,60.89,62.34,63.65,64.96,64.78,64.59
04023,30.85,33.3,35.75,36.69,37.63,38.77,39.91,40.73,41.55
04025,97.2,97.6,97.99,98.2,98.41,98.4,98.38,98.38,98.38
04027,49.51,50.35,51.19,50.06,48.93,50.54,52.16,52.82,53.48
05001,57.12,56.18,55.24,54.38,53.52,53.26,52.99,54.28,55.58
05003,57.12,57.78,58.45,60.84,63.23,64.09,64.96,65.96,66.97
05005,99.11,99.03,98.95,98.87,98.79,98.5,98.22,97.92,97.61
05007,15.19,14.01,12.83,11.81,10.79,10.04,9.29,8.7,8.11
05009,73.26,73.13,73.0,71.25,69.5,69.32,69.13,66.86,64.59
05011,63.77,62.13,60.49,57.0,53.52,49.44,45.35,43.45,41.55
05013,72.43,67.43,62.43,68.49,74.56,72.54,70.53,69.91,69.3
05015,78.41,79.72,81.03,81.2,81.38,81.82,82.27,81.12,79.96
05017,71.06,69.61,68.16,66.22,64.28,66.22,68.17,68.32,68.47
05019,38.62,36.04,33.46,31.64,29.83,28.48,27.12,24.06,21.0
05021,83.41,82.4,81.38,77.97,74.56,73.28,71.99,73.0,74.01
05023,95.03,94.82,94.62,94.68,94.75,93.97,93.19,93.38,93.57
05025,56.03,59.68,63.32,66.41,69.5,67.74,65.98,65.29,64.59
05027,47.56,45.14,42.73,40.18,37.63,35.62,33.61,31.46,29.3
05029,62.81,61.65,60.49,58.83,57.18,55.09,52.99,52.17,51.35
05031,14.17,13.5,12.83,12.37,11.91,11.11,10.31,9.21,8.11
05033,28.72,29.05,29.39,29.61,29.83,29.57,29.31,29.31,29.3
05035,9.87,9.76,9.65,10.78,11.91,11.34,10.76,11.57,12.38
05037,48.55,48.18,47.82,48.38,48.93,47.7,46.47,44.01,41.55
05039,75.71,76.24,76.76,77.53,78.29,80.28,82.27,84.21,86.16
05041,46.39,46.61,46.83,48.52,50.21,49.77,49.33,49.02,48.71
05043,39.64,37.7,35.75,35.7,35.66,38.28,40.9,37.58,34.27
05045,5.54,5.9,6.27,5.97,5.67,5.76,5.86,6.46,7.06
05047,58.36,59.94,61.51,59.84,58.17,59.08,59.99,57.78,55.58
05049,94.4,94.32,94.24,93.52,92.8,92.3,91.79,90.62,89.44
05051,86.06,85.31,84.56,84.98,85.39,85.3,85.2,84.62,84.03
05053,36.39,37.14,37.89,39.4,40.91,38.34,35.77,36.85,37.93
05055,30.85,28.35,25.85,25.79,25.72,24.59,23.46,22.23,21.0
05057,42.22,41.98,41.74,43.5,45.27,43.66,42.04,40.65,39.26
05059,50.68,50.43,50.18,51.16,52.15,50.22,48.28,48.5,48.71
05061,42.22,41.98,41.74,42.98,44.22,42.06,39.91,38.38,36.84
05063,46.39,44.96,43.52,42.22,40.91,37.26,33.61,32.28,30.96
05065,93.82,93.74,93.66,92.66,91.66,91.06,90.45,89.8,89.15
05067,48.55,46.66,44.76,43.33,41.9,40.9,39.91,37.09,34.27
05069,26.77,27.55,28.33,30.16,32.0,32.8,33.61,33.46,33.31
05071,37.47,34.86,32.25,30.58,28.91,27.57,26.23,25.7,25.17
05073,82.59,83.21,83.83,84.61,85.39,85.3,85.2,85.12,85.05
05075,73.26,70.71,68.16,64.64,61.13,58.58,56.02,50.36,44.7
05077,48.55,47.15,45.75,49.64,53.52,53.79,54.07,53.77,53.48
05079,16.56,16.49,16.43,17.46,18.5,18.7,18.91,16.58,14.25
05081,68.29,68.23,68.16,69.9,71.63,72.46,73.3,70.13,66.97
