FIPS,2014 EPL_LIMENG,2015 EPL_LIMENG,2016 EPL_LIMENG,2017 EPL_LIMENG,2018 EPL_LIMENG,2019 EPL_LIMENG,2020 EPL_LIMENG,2021 EPL_LIMENG,2022 EPL_LIMENG
01001,37.22,45.38,53.55,52.34,51.13,49.24,47.36,39.43,31.5
01003,67.78,60.3,52.82,44.32,35.82,43.66,51.5,51.65,51.8
01005,77.2,73.5,69.79,70.16,70.52,72.56,74.6,76.16,77.73
01007,39.61,37.57,35.53,29.12,22.7,26.93,31.16,27.96,24.75
01009,72.97,73.9,74.82,73.26,71.7,70.78,69.86,74.8,79.73
01011,80.42,69.06,57.69,43.69,29.7,50.54,71.39,73.36,75.34
01013,34.16,44.43,54.7,45.26,35.82,29.99,24.16,16.36,8.56
01015,52.91,50.73,48.55,53.23,57.91,52.64,47.36,42.53,37.7
01017,18.56,24.26,29.96,18.51,7.07,19.11,31.16,27.96,24.75
01019,9.93,8.82,7.7,18.7,29.7,45.37,61.04,58.2,55.36
01021,82.46,81.52,80.58,77.74,74.91,73.84,72.76,75.7,78.65
01023,5.09,2.54,0.0,14.85,29.7,22.87,16.04,20.4,24.75
01025,15.47,18.13,20.79,13.93,7.07,7.83,8.59,8.57,8.56
01027,54.92,47.42,39.92,34.81,29.7,19.14,8.59,4.3,0.0
01029,11.52,32.14,52.75,49.58,46.42,44.7,42.97,37.24,31.5
01031,78.1,73.7,69.31,68.24,67.18,64.11,61.04,67.37,73.69
01033,30.95,24.58,18.21,20.46,22.7,35.03,47.36,51.36,55.36
01035,28.59,14.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01037,46.77,54.81,62.85,46.28,29.7,30.43,31.16,15.58,0.0
01039,49.28,46.26,43.23,36.47,29.7,19.14,8.59,8.57,8.56
01041,56.06,58.42,60.78,61.94,63.1,47.13,31.16,34.43,37.7
01043,57.5,57.82,58.13,50.0,41.87,42.42,42.97,47.38,51.8
01045,49.06,51.6,54.15,56.03,57.91,54.71,51.5,53.43,55.36
01047,10.89,10.88,10.86,8.96,7.07,11.55,16.04,16.32,16.61
01049,89.65,88.88,88.12,87.48,86.85,86.93,87.01,89.54,92.08
01051,54.03,53.82,53.61,50.02,46.42,48.96,51.5,49.63,47.76
01053,14.77,15.46,16.14,25.98,35.82,36.45,37.08,34.29,31.5
01055,60.87,65.26,69.66,66.38,63.1,60.86,58.63,57.0,55.36
01057,8.34,4.17,0.0,0.0,0.0,0.0,0.0,4.28,8.56
01059,94.14,93.36,92.58,92.26,91.95,92.99,94.02,92.43,90.84
01061,62.69,60.13,57.56,49.72,41.87,39.48,37.08,40.29,43.49
01063,10.51,5.26,0.0,0.0,0.0,4.3,8.59,4.3,0.0
01065,36.9,37.46,38.01,22.54,7.07,15.62,24.16,20.39,16.61
01067,60.65,54.46,48.26,35.48,22.7,19.37,16.04,20.4,24.75
01069,50.14,50.36,50.59,46.23,41.87,36.52,31.16,34.43,37.7
01071,47.02,43.28,39.54,34.62,29.7,33.39,37.08,42.42,47.76
01073,69.47,67.56,65.65,64.38,63.1,62.07,61.04,59.82,58.61
01075,42.85,34.67,26.49,13.24,0.0,4.3,8.59,8.57,8.56
01077,51.8,46.94,42.09,41.98,41.87,42.42,42.97,49.17,55.36
01079,11.33,11.84,12.35,13.56,14.77,22.96,31.16,37.32,43.49
01081,71.92,68.83,65.74,64.42,63.1,64.56,66.01,66.06,66.12
01083,69.09,66.42,63.74,60.82,57.91,59.48,61.04,59.82,58.61
01085,5.54,6.25,6.97,7.02,7.07,3.54,0.0,0.0,0.0
01087,42.06,24.94,7.83,3.91,0.0,0.0,0.0,15.75,31.5
01089,65.39,64.69,63.99,62.43,60.87,60.96,61.04,61.18,61.31
01091,17.73,12.62,7.51,7.29,7.07,7.83,8.59,4.3,0.0
01093,29.51,25.37,21.24,28.53,35.82,41.59,47.36,36.06,24.75
01095,90.77,90.38,90.0,89.48,88.95,89.22,89.5,88.72,87.94
01097,56.0,52.99,49.98,48.2,46.42,44.7,42.97,49.17,55.36
01099,5.83,7.56,9.3,8.18,7.07,3.54,0.0,4.28,8.56
01101,72.49,70.56,68.64,67.91,67.18,66.6,66.01,67.18,68.34
01103,78.86,78.36,77.87,77.64,77.4,78.0,78.61,80.53,82.44
01105,41.58,34.98,28.37,25.54,22.7,11.35,0.0,0.0,0.0
01107,32.86,44.91,56.96,64.33,71.7,73.15,74.6,74.97,75.34
01109,59.03,64.09,69.15,69.1,69.05,67.53,66.01,58.91,51.8
01111,16.52,12.66,8.79,15.74,22.7,19.37,16.04,16.32,16.61
01113,48.36,48.41,48.46,53.18,57.91,56.52,55.12,49.3,43.49
01115,46.07,41.16,36.26,36.04,35.82,29.99,24.16,16.36,8.56
01117,75.55,73.9,72.24,71.38,70.52,68.26,66.01,66.06,66.12
01119,43.81,49.51,55.21,42.46,29.7,26.93,24.16,30.93,37.7
01121,43.2,40.83,38.46,37.14,35.82,36.45,37.08,40.29,43.49
01123,37.44,34.37,31.3,23.04,14.77,25.92,37.08,47.84,58.61
01125,61.06,57.75,54.44,54.68,54.92,55.02,55.12,51.44,47.76
01127,42.09,44.54,46.99,44.43,41.87,39.48,37.08,37.39,37.7
01129,28.18,35.53,42.88,39.35,35.82,22.2,8.59,4.3,0.0
01131,10.06,11.72,13.37,29.9,46.42,44.7,42.97,40.34,37.7
01133,51.13,48.38,45.62,40.72,35.82,43.66,51.5,53.43,55.36
02013,98.76,98.48,98.19,98.46,98.73,98.26,97.8,98.54,99.27
02016,96.72,95.59,94.46,95.49,96.53,96.56,96.59,97.18,97.77
02020,79.18,79.14,79.11,79.75,80.39,79.5,78.61,78.63,78.65
02050,85.61,84.43,83.25,82.99,82.74,78.67,74.6,70.36,66.12
02060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02063,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
02066,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
02068,83.95,41.98,0.0,17.91,35.82,29.99,24.16,27.83,31.5
02070,84.02,74.26,64.5,57.82,51.13,61.26,71.39,72.54,73.69
02090,60.01,58.43,56.86,49.36,41.87,46.68,51.5,51.65,51.8
02100,27.41,35.13,42.85,46.99,51.13,25.56,0.0,0.0,0.0
02105,24.9,17.69,10.47,5.24,0.0,0.0,0.0,21.74,43.49
02110,64.79,64.33,63.87,63.48,63.1,64.56,66.01,62.31,58.61
02122,19.99,29.2,38.4,37.11,35.82,25.93,16.04,23.77,31.5
02130,45.21,54.76,64.31,63.7,63.1,59.11,55.12,51.44,47.76
02150,81.47,86.58,91.69,92.8,93.92,94.9,95.89,95.84,95.8
02158,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
02164,58.58,54.87,51.16,36.93,22.7,40.67,58.63,53.2,47.76
02170,45.4,45.3,45.21,50.07,54.92,53.21,51.5,49.63,47.76
02180,56.92,61.32,65.71,66.44,67.18,72.39,77.59,51.17,24.75
02185,67.37,61.72,56.06,55.49,54.92,56.78,58.63,63.48,68.34
02188,51.0,53.42,55.84,48.86,41.87,39.48,37.08,30.92,24.75
02195,67.34,45.4,23.46,44.52,65.58,78.38,91.18,93.3,95.42
