FIPS,2014 EPL_MINRTY,2015 EPL_MINRTY,2016 EPL_MINRTY,2017 EPL_MINRTY,2018 EPL_MINRTY,2019 EPL_MINRTY,2020 EPL_MINRTY,2021 EPL_MINRTY,2022 EPL_MINRTY
01001,63.32,63.36,63.39,63.38,63.36,63.36,63.37,63.46,63.54
01003,53.36,52.94,52.53,52.06,51.58,50.9,50.22,49.56,48.9
01005,90.86,90.64,90.42,90.04,89.65,89.64,89.62,89.52,89.41
01007,65.17,64.83,64.5,64.2,63.9,63.41,62.92,62.39,61.85
01009,42.47,42.42,42.38,42.22,42.06,41.76,41.47,41.38,41.3
01011,98.19,98.15,98.12,98.1,98.09,98.09,98.09,98.09,98.09
01013,86.63,86.72,86.82,86.96,87.11,86.98,86.86,86.74,86.61
01015,67.05,66.9,66.76,66.46,66.16,65.99,65.82,65.81,65.8
01017,83.64,83.83,84.02,84.2,84.37,84.29,84.21,84.08,83.96
01019,31.81,30.93,30.05,29.24,28.43,28.11,27.78,27.03,26.28
01021,56.96,56.67,56.38,56.28,56.19,55.69,55.19,54.72,54.25
01023,85.26,84.91,84.56,84.06,83.57,83.06,82.56,82.04,81.51
01025,86.79,86.66,86.53,86.48,86.44,86.38,86.31,86.36,86.41
01027,57.66,57.28,56.89,56.41,55.94,55.09,54.23,53.46,52.69
01029,28.33,27.49,26.65,25.92,25.18,23.6,22.02,20.94,19.85
01031,68.67,68.72,68.77,68.8,68.83,68.73,68.62,68.34,68.06
01033,59.15,58.98,58.8,58.48,58.17,57.94,57.7,57.07,56.44
01035,88.25,88.16,88.06,87.96,87.87,87.72,87.56,87.42,87.27
01037,76.44,75.94,75.45,74.8,74.15,74.1,74.06,73.64,73.21
01039,52.59,52.32,52.05,51.44,50.84,50.32,49.81,49.1,48.39
01041,69.79,69.47,69.15,68.66,68.16,67.79,67.41,66.98,66.56
01043,29.93,28.9,27.86,27.51,27.16,27.34,27.53,26.7,25.87
01045,70.33,70.08,69.82,70.0,70.17,70.22,70.27,70.15,70.03
01047,97.29,97.26,97.23,97.2,97.17,97.14,97.1,97.04,96.98
01049,56.48,56.14,55.81,55.58,55.36,54.88,54.39,54.32,54.25
01051,66.19,65.89,65.58,65.47,65.36,64.97,64.58,64.16,63.73
01053,80.48,80.32,80.17,80.05,79.94,79.64,79.34,78.74,78.14
01055,59.66,59.52,59.38,59.18,58.99,58.65,58.31,57.85,57.4
01057,48.46,48.22,47.98,47.92,47.85,47.72,47.58,46.57,45.56
01059,59.44,59.6,59.76,60.13,60.49,60.54,60.6,60.53,60.45
01061,51.48,51.13,50.78,50.36,49.95,49.72,49.49,50.55,51.61
01063,98.66,98.65,98.63,98.63,98.63,98.56,98.5,98.54,98.57
01065,93.7,93.51,93.31,93.2,93.09,93.22,93.35,92.97,92.59
01067,72.78,72.12,71.47,70.86,70.26,69.71,69.16,68.21,67.26
01069,72.97,72.78,72.59,72.51,72.43,72.6,72.76,72.64,72.51
01071,38.52,38.17,37.82,37.09,36.36,35.62,34.88,33.84,32.8
01073,88.16,88.14,88.12,88.0,87.87,87.87,87.87,87.76,87.66
01075,47.63,46.84,46.04,45.42,44.79,43.99,43.19,42.24,41.3
01077,49.63,49.24,48.84,48.22,47.6,47.68,47.77,47.06,46.36
01079,62.91,62.48,62.05,61.8,61.54,60.94,60.34,59.51,58.67
01081,72.3,72.24,72.17,72.02,71.86,71.68,71.51,70.94,70.38
01083,61.0,60.92,60.84,60.89,60.94,61.11,61.27,61.21,61.15
01085,97.87,97.9,97.93,97.85,97.77,97.68,97.58,97.56,97.55
01087,98.89,98.86,98.82,98.76,98.69,98.68,98.66,98.66,98.66
01089,75.42,75.12,74.82,74.77,74.72,74.6,74.47,74.35,74.23
01091,90.96,90.83,90.7,90.46,90.23,90.06,89.88,89.7,89.53
01093,30.95,30.26,29.58,28.64,27.7,27.74,27.78,26.82,25.87
01095,53.58,53.65,53.71,54.24,54.76,54.41,54.07,54.16,54.25
01097,82.84,82.86,82.87,82.78,82.68,82.6,82.53,82.32,82.12
01099,86.09,85.9,85.71,85.53,85.35,85.26,85.17,84.95,84.73
01101,94.68,94.74,94.81,94.97,95.13,95.2,95.26,95.34,95.42
01103,62.3,62.28,62.27,62.26,62.24,61.99,61.74,61.76,61.79
01105,96.98,96.96,96.94,96.88,96.82,96.68,96.53,96.53,96.53
01107,85.35,85.38,85.42,85.56,85.71,85.64,85.58,85.2,84.82
01109,84.05,84.13,84.21,84.05,83.89,83.54,83.2,82.99,82.79
01111,64.5,64.1,63.71,63.38,63.04,62.5,61.97,61.62,61.28
01113,88.44,88.65,88.86,89.09,89.33,89.52,89.72,89.74,89.76
01115,46.29,45.92,45.56,45.18,44.79,44.45,44.11,43.94,43.78
01117,59.09,58.92,58.74,58.86,58.99,58.9,58.82,59.04,59.27
01119,97.93,97.9,97.87,97.79,97.71,97.6,97.49,97.43,97.36
01121,77.68,77.49,77.3,77.28,77.27,77.05,76.83,76.31,75.79
01123,71.6,71.17,70.74,70.5,70.26,70.06,69.86,69.16,68.47
01125,77.84,77.94,78.03,78.08,78.13,78.19,78.26,77.93,77.6
01127,38.14,37.85,37.57,37.3,37.03,37.04,37.05,36.77,36.49
01129,75.96,75.68,75.39,74.91,74.43,73.87,73.3,72.65,72.0
01131,97.58,97.5,97.42,97.35,97.29,97.26,97.23,97.04,96.85
01133,20.63,20.14,19.64,19.34,19.04,18.42,17.79,18.54,19.28
02013,99.2,99.08,98.95,98.92,98.89,98.94,98.98,98.84,98.7
02016,97.2,97.44,97.68,97.74,97.8,97.88,97.96,97.92,97.87
02020,80.26,80.68,81.09,81.26,81.44,81.84,82.24,82.58,82.91
02050,99.49,99.49,99.49,99.48,99.46,99.48,99.49,99.49,99.49
02060,86.82,86.71,86.6,86.14,85.67,87.04,88.42,89.01,89.6
02063,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
02066,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
02068,50.78,49.3,47.82,51.37,54.92,54.28,53.63,57.04,60.45
02070,98.69,98.69,98.69,98.68,98.66,98.74,98.82,98.88,98.95
02090,67.97,68.32,68.67,68.82,68.96,69.41,69.86,69.68,69.49
02100,57.27,59.45,61.64,60.49,59.34,62.39,65.44,64.38,63.32
02105,88.95,89.0,89.05,90.14,91.24,90.34,89.43,88.35,87.27
02110,74.5,74.5,74.5,74.56,74.63,75.03,75.43,75.8,76.17
02122,55.01,55.12,55.24,55.36,55.49,55.74,55.98,55.9,55.81
02130,75.87,75.93,75.99,75.85,75.71,75.73,75.75,75.91,76.07
02150,87.87,87.94,88.0,88.08,88.16,88.36,88.57,88.67,88.77
02158,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
02164,98.34,98.32,98.31,98.17,98.03,97.9,97.77,98.17,98.57
02170,55.87,56.27,56.67,56.81,56.96,57.06,57.16,57.56,57.97
02180,98.82,98.84,98.85,98.92,98.98,98.94,98.89,98.94,98.98
02185,96.37,96.37,96.37,96.34,96.31,96.61,96.91,96.21,95.51
02188,99.46,99.44,99.43,99.42,99.4,99.36,99.33,99.38,99.43
02195,69.75,71.44,73.13,75.12,77.11,78.0,78.9,81.21,83.52
02198,90.77,90.82,90.86,90.42,89.97,89.88,89.78,89.9,90.01
02220,78.35,78.66,78.96,78.59,78.22,77.92,77.63,78.03,78.43
02230,62.43,62.48,62.53,56.48,50.43,55.29,60.15,59.22,58.29
02240,61.51,62.62,63.74,63.98,64.22,64.51,64.8,64.64,64.49
02275,69.37,71.55,73.73,73.46,73.19,73.94,74.7,78.6,82.5
02282,94.65,93.18,91.72,91.69,91.66,93.6,95.54,95.66,95.77
02290,98.22,98.22,98.22,98.17,98.12,98.1,98.09,98.04,98.0
04001,98.44,98.49,98.54,98.52,98.5,98.44,98.38,98.4,98.41
04003,83.99,84.24,84.5,84.61,84.72,84.7,84.69,84.71,84.73
04005,86.12,85.96,85.8,85.68,85.55,85.52,85.49,85.41,85.33
04007,77.43,77.59,77.75,77.72,77.68,77.43,77.18,76.93,76.68
04009,87.81,87.76,87.71,87.63,87.55,87.4,87.24,87.13,87.02
04011,90.07,89.75,89.43,89.34,89.24,89.22,89.21,89.28,89.34
04012,80.52,81.18,81.85,81.99,82.14,82.0,81.86,81.83,81.8
04013,83.51,83.71,83.92,84.16,84.4,84.54,84.69,84.95,85.21
