FIPS,2014 EPL_UNEMP,2015 EPL_UNEMP,2016 EPL_UNEMP,2017 EPL_UNEMP,2018 EPL_UNEMP,2019 EPL_UNEMP,2020 EPL_UNEMP,2021 EPL_UNEMP,2022 EPL_UNEMP
01001,51.74,42.36,32.98,30.22,27.45,20.71,13.97,14.27,14.57
01003,52.88,47.64,42.41,36.81,31.21,29.91,28.61,26.27,23.93
01005,93.19,94.22,95.26,93.71,92.17,86.44,80.71,75.76,70.82
01007,76.5,65.38,54.25,66.6,78.95,81.9,84.85,89.12,93.38
01009,60.74,49.33,37.92,32.02,26.11,40.98,55.86,64.85,73.85
01011,97.87,96.93,95.99,95.99,95.99,58.02,20.05,24.64,29.24
01013,84.97,84.16,83.35,76.52,69.68,73.28,76.89,80.04,83.2
01015,91.05,91.82,92.58,90.54,88.5,86.16,83.83,83.93,84.03
01017,87.17,73.32,59.47,50.57,41.66,32.71,23.77,25.64,27.52
01019,64.02,50.4,36.77,44.24,51.72,42.47,33.23,34.16,35.09
01021,65.46,65.06,64.66,69.73,74.81,73.16,71.51,66.55,61.6
01023,90.61,93.49,96.37,95.76,95.16,86.02,76.89,68.05,59.21
01025,99.08,98.92,98.76,98.54,98.31,98.04,97.77,98.22,98.66
01027,76.5,61.33,46.16,55.8,65.45,62.58,59.71,64.55,69.39
01029,52.88,54.2,55.52,67.24,78.95,48.72,18.49,15.37,12.25
01031,37.76,39.35,40.94,48.82,56.69,59.06,61.43,56.61,51.8
01033,68.04,63.76,59.47,58.08,56.69,43.67,30.65,27.29,23.93
01035,99.78,99.65,99.52,97.94,96.37,92.18,88.0,65.33,42.67
01037,99.08,97.0,94.91,74.86,54.81,33.01,11.2,26.94,42.67
01039,72.78,80.66,88.54,88.28,88.03,87.42,86.82,76.32,65.83
01041,74.91,66.52,58.13,56.47,54.81,42.73,30.65,53.04,75.44
01043,57.59,48.61,39.64,44.85,50.06,50.89,51.72,46.05,40.38
01045,75.68,81.33,86.98,87.74,88.5,90.72,92.93,91.71,90.49
01047,98.28,98.01,97.74,97.23,96.72,96.58,96.44,95.54,94.65
01049,63.01,52.71,42.41,37.7,32.99,37.34,41.69,37.32,32.96
01051,52.88,56.18,59.47,60.77,62.07,47.65,33.23,35.88,38.53
01053,96.47,97.2,97.93,97.9,97.87,96.92,95.96,95.42,94.88
01055,74.91,73.27,71.63,69.3,66.97,65.69,64.42,69.14,73.85
01057,79.82,77.18,74.53,74.0,73.47,81.04,88.61,92.22,95.83
01059,63.01,72.8,82.59,71.46,60.32,53.87,47.42,39.29,31.15
01061,74.91,80.62,86.34,86.82,87.29,56.36,25.43,29.2,32.96
01063,99.75,99.42,99.08,99.06,99.04,98.84,98.63,72.0,45.37
01065,90.61,92.2,93.79,95.34,96.88,95.05,93.22,91.39,89.56
01067,78.13,68.8,59.47,64.58,69.68,65.55,61.43,61.52,61.6
01069,47.06,57.1,67.14,70.3,73.47,68.13,62.79,59.41,56.03
01071,71.89,72.4,72.91,64.8,56.69,56.28,55.86,64.85,73.85
01073,67.34,67.74,68.13,72.69,77.26,75.72,74.19,69.03,63.86
01075,65.46,73.28,81.09,82.25,83.41,68.63,53.85,54.94,56.03
01077,44.57,52.68,60.78,53.84,46.91,46.26,45.61,36.57,27.52
01079,80.58,74.97,69.37,61.4,53.44,40.33,27.21,22.2,17.18
01081,50.72,45.18,39.64,46.54,53.44,49.52,45.61,38.38,31.15
01083,50.72,57.69,64.66,68.49,72.32,63.08,53.85,45.26,36.68
01085,97.13,95.68,94.24,95.3,96.37,96.48,96.59,92.57,88.55
01087,98.76,98.26,97.77,97.44,97.1,97.12,97.14,97.9,98.66
01089,64.02,60.5,56.99,55.9,54.81,48.25,41.69,40.11,38.53
01091,77.3,87.1,96.91,94.89,92.87,86.79,80.71,47.64,14.57
01093,80.58,70.68,60.78,56.25,51.72,62.32,72.92,76.71,80.5
01095,63.01,59.26,55.52,49.28,43.03,34.23,25.43,28.29,31.15
01097,78.13,75.91,73.7,67.88,62.07,62.43,62.79,67.65,72.51
01099,98.76,99.22,99.68,99.57,99.46,99.22,98.98,98.71,98.44
01101,56.45,63.4,70.36,75.04,79.71,77.6,75.49,79.34,83.2
01103,75.68,75.65,75.61,60.26,44.9,46.16,47.42,42.97,38.53
01105,98.28,95.43,92.58,94.95,97.32,97.48,97.64,98.66,99.68
01107,97.13,95.68,94.24,94.7,95.16,93.06,90.96,76.28,61.6
01109,67.34,74.96,82.59,83.0,83.41,66.48,49.55,51.74,53.93
01111,80.58,73.29,66.0,53.83,41.66,37.44,33.23,26.7,20.17
01113,85.9,82.98,80.07,80.78,81.5,72.14,62.79,71.65,80.5
01115,63.01,53.34,43.68,45.3,46.91,51.39,55.86,48.12,40.38
01117,25.76,23.16,20.57,22.56,24.55,25.88,27.21,22.92,18.64
01119,97.13,97.58,98.03,97.56,97.1,92.86,88.61,90.2,91.79
01121,94.62,94.08,93.54,91.02,88.5,85.52,82.53,87.48,92.43
01123,70.77,77.06,83.35,89.06,94.78,96.02,97.26,97.1,96.95
01125,48.2,50.38,52.56,58.16,63.76,66.96,70.15,67.99,65.83
01127,89.37,89.8,90.23,89.36,88.5,86.16,83.83,76.61,69.39
01129,99.04,98.72,98.41,92.58,86.75,83.34,79.92,78.94,77.95
01131,99.55,99.54,99.52,99.17,98.82,98.8,98.79,98.02,97.26
01133,69.02,71.36,73.7,76.7,79.71,69.71,59.71,51.19,42.67
02013,2.55,4.06,5.57,11.9,18.22,21.0,23.77,33.22,42.67
02016,4.27,2.68,1.08,2.98,4.87,17.76,30.65,23.92,17.18
02020,33.43,35.68,37.92,44.82,51.72,53.79,55.86,57.54,59.21
02050,97.74,98.57,99.4,99.52,99.65,99.68,99.71,99.71,99.71
02060,19.33,26.78,34.22,59.21,84.2,55.71,27.21,20.43,13.65
02063,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
02066,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
02068,4.27,2.77,1.27,6.86,12.45,18.94,25.43,15.64,5.85
02070,96.82,93.84,90.86,93.87,96.88,97.32,97.77,97.92,98.06
02090,48.2,59.92,71.63,72.55,73.47,78.0,82.53,74.18,65.83
02100,25.76,19.37,12.99,16.76,20.54,56.74,92.93,66.66,40.38
02105,92.23,89.15,86.06,90.84,95.61,96.32,97.04,98.1,99.17
02110,20.25,21.97,23.69,39.25,54.81,46.96,39.12,42.24,45.37
02122,61.99,67.84,73.7,77.6,81.5,85.06,88.61,87.38,86.16
02130,51.74,56.26,60.78,64.54,68.31,65.55,62.79,49.74,36.68
02150,17.77,14.52,11.27,28.09,44.9,58.91,72.92,71.15,69.39
02158,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
02164,83.25,87.92,92.58,95.78,98.98,99.38,99.78,99.48,99.17
02170,69.91,76.98,84.05,88.11,92.17,93.78,95.39,90.07,84.76
02180,98.06,98.44,98.82,99.09,99.36,99.56,99.75,99.75,99.75
02185,70.77,77.76,84.75,87.12,89.49,92.34,95.19,89.2,83.2
02188,99.71,99.71,99.71,99.71,99.71,99.6,99.49,99.57,99.65
02195,21.11,28.21,35.31,32.28,29.24,33.44,37.65,40.16,42.67
02198,90.61,93.49,96.37,96.74,97.1,96.08,95.07,91.81,88.55
02220,13.31,16.43,19.55,25.38,31.21,45.46,59.71,57.87,56.03
02230,19.33,33.78,48.23,59.58,70.92,83.28,95.64,96.68,97.71
02240,50.72,65.4,80.07,87.09,94.11,95.35,96.59,89.0,81.42
02275,23.78,39.65,55.52,53.62,51.72,60.94,70.15,47.04,23.93
02282,48.2,51.22,54.25,57.28,60.32,75.24,90.17,47.78,5.38
02290,99.33,99.24,99.14,99.44,99.75,99.54,99.33,98.58,97.84
04001,99.27,98.76,98.25,97.6,96.94,95.71,94.49,95.05,95.61
04003,60.74,66.82,72.91,74.37,75.83,77.88,79.92,81.56,83.2
04005,65.46,66.8,68.13,73.54,78.95,84.13,89.31,87.04,84.76
04007,84.37,89.08,93.79,93.95,94.11,84.15,74.19,79.11,84.03
04009,89.88,93.58,97.29,94.52,91.75,86.23,80.71,77.28,73.85
04011,54.09,64.85,75.61,73.96,72.32,42.6,12.89,15.03,17.18
04012,84.97,86.48,88.0,85.7,83.41,87.74,92.08,94.67,97.26
04013,56.45,53.01,49.57,49.82,50.06,51.96,53.85,52.82,51.8
04015,93.47,93.02,92.58,90.76,88.95,87.7,86.44,87.49,88.55
04017,99.08,99.14,99.2,98.8,98.41,97.84,97.26,96.68,96.09
04019,75.68,77.1,78.51,79.11,79.71,79.82,79.92,76.22,72.51
04021,81.76,80.92,80.07,80.78,81.5,82.01,82.53,80.86,79.19
04023,82.87,82.73,82.59,84.0,85.41,87.79,90.17,93.18,96.18
04025,76.5,74.06,71.63,70.66,69.68,67.92,66.17,60.05,53.93
04027,90.61,92.6,94.59,94.03,93.47,92.36,91.25,91.7,92.14
05001,42.73,60.13,77.52,70.64,63.76,55.59,47.42,63.96,80.5
05003,83.92,84.34,84.75,78.54,72.32,57.0,41.69,57.77,73.85
05005,58.8,49.87,40.94,35.09,29.24,44.47,59.71,58.79,57.87
05007,15.31,12.62,9.93,9.71,9.49,10.34,11.2,13.54,15.88
05009,60.74,65.55,70.36,50.78,31.21,36.45,41.69,42.18,42.67
05011,37.76,64.0,90.23,86.82,83.41,73.91,64.42,66.1,67.77
05013,40.08,44.82,49.57,54.94,60.32,74.46,88.61,91.63,94.65
05015,38.81,38.36,37.92,37.13,36.34,39.02,41.69,30.16,18.64
05017,83.92,86.55,89.18,91.02,92.87,94.96,97.04,97.31,97.58
05019,71.89,68.27,64.66,37.07,9.49,16.63,23.77,30.22,36.68
05021,79.05,65.81,52.56,47.11,41.66,53.92,66.17,66.97,67.77
05023,83.92,77.77,71.63,53.99,36.34,45.1,53.85,63.85,73.85
05025,70.77,73.19,75.61,62.83,50.06,33.16,16.26,8.99,1.72
05027,63.01,71.16,79.31,86.71,94.11,85.5,76.89,48.53,20.17
05029,54.09,54.81,55.52,56.1,56.69,70.26,83.83,84.65,85.46
05031,48.2,45.3,42.41,48.61,54.81,60.49,66.17,69.34,72.51
05033,51.74,52.99,54.25,48.64,43.03,45.22,47.42,54.51,61.6
05035,86.66,82.09,77.52,84.64,91.75,92.88,94.02,95.48,96.95
05037,58.8,59.14,59.47,56.46,53.44,67.55,81.67,86.54,91.41
05039,35.5,44.88,54.25,47.03,39.81,60.74,81.67,77.76,73.85
05041,94.94,95.1,95.26,95.32,95.38,73.55,51.72,55.46,59.21
05043,93.7,94.58,95.45,75.13,54.81,33.85,12.89,16.53,20.17
05045,32.22,33.76,35.31,35.83,36.34,30.06,23.77,22.92,22.08
05047,79.82,77.18,74.53,43.49,12.45,36.08,59.71,58.79,57.87
05049,54.09,55.54,56.99,62.65,68.31,61.08,53.85,29.37,4.9
05051,68.04,72.78,77.52,76.16,74.81,74.5,74.19,71.79,69.39
05053,63.01,64.5,66.0,70.4,74.81,46.65,18.49,20.28,22.08
05055,64.02,66.07,68.13,70.8,73.47,79.67,85.87,87.21,88.55
05057,67.34,68.36,69.37,59.72,50.06,57.24,64.42,53.54,42.67
05059,44.57,47.07,49.57,64.26,78.95,70.87,62.79,55.09,47.38
05061,61.99,60.06,58.13,61.79,65.45,71.74,78.04,78.61,79.19
05063,43.52,45.88,48.23,44.02,39.81,38.73,37.65,48.43,59.21
05065,72.78,77.26,81.73,86.47,91.21,94.03,96.85,92.7,88.55
05067,49.38,55.72,62.05,65.18,68.31,82.53,96.75,97.16,97.58
05069,87.17,84.88,82.59,88.14,93.69,92.47,91.25,90.87,90.49
05071,32.22,33.22,34.22,30.16,26.11,27.36,28.61,40.2,51.8
05073,94.43,92.51,90.58,72.69,54.81,66.95,79.09,86.24,93.38
05075,50.72,59.42,68.13,71.98,75.83,81.71,87.59,84.95,82.31
05077,98.54,98.54,98.54,98.62,98.69,98.88,99.08,99.2,99.33
05079,96.82,94.52,92.23,55.22,18.22,11.18,4.14,19.61,35.09
05081,40.08,57.3,74.53,84.99,95.45,91.72,88.0,89.58,91.15
05083,51.74,59.44,67.14,77.82,88.5,80.0,71.51,68.67,65.83
05085,35.5,34.24,32.98,30.22,27.45,36.53,45.61,45.49,45.37
05087,49.38,38.29,27.19,46.32,65.45,76.13,86.82,69.31,51.8
05089,64.02,74.39,84.75,83.54,82.32,76.24,70.15,77.46,84.76
05091,60.74,66.82,72.91,78.55,84.2,86.76,89.31,89.64,89.98
05093,90.29,90.08,89.88,90.55,91.21,91.85,92.49,94.34,96.18
05095,87.17,87.85,88.54,79.73,70.92,71.92,72.92,85.32,97.71
05097,13.59,16.57,19.55,36.49,53.44,69.66,85.87,86.59,87.31
05099,83.25,69.39,55.52,53.62,51.72,57.26,62.79,76.64,90.49
05101,7.48,16.68,25.88,15.38,4.87,31.4,57.92,44.54,31.15
05103,78.13,71.4,64.66,70.24,75.83,80.85,85.87,83.18,80.5
05105,28.84,43.48,58.13,64.53,70.92,65.32,59.71,53.54,47.38
05107,98.69,98.77,98.85,96.86,94.87,97.06,99.24,99.14,99.05
05109,40.08,36.53,32.98,32.98,32.99,30.1,27.21,22.92,18.64
05111,80.58,65.07,49.57,53.13,56.69,51.15,45.61,51.74,57.87
05113,45.62,59.66,73.7,81.6,89.49,93.04,96.59,95.52,94.46
05115,41.39,47.82,54.25,58.16,62.07,63.24,64.42,58.11,51.8
05117,19.33,33.78,48.23,56.84,65.45,67.8,70.15,53.42,36.68
05119,45.62,44.65,43.68,44.29,44.9,48.31,51.72,55.46,59.21
05121,22.86,19.3,15.73,21.59,27.45,32.55,37.65,63.1,88.55
05123,87.68,88.96,90.23,86.82,83.41,76.78,70.15,75.78,81.42
05125,24.86,23.27,21.68,22.51,23.34,25.98,28.61,29.88,31.15
05127,61.99,77.62,93.25,93.8,94.36,80.26,66.17,67.78,69.39
05129,32.22,24.5,16.78,14.62,12.45,18.94,25.43,42.32,59.21
05131,32.22,31.2,30.18,34.99,39.81,44.68,49.55,54.38,59.21
05133,81.76,65.66,49.57,47.24,44.9,47.22,49.55,48.46,47.38
05135,71.89,68.27,64.66,53.16,41.66,48.76,55.86,66.28,76.71
05137,24.86,46.0,67.14,66.29,65.45,77.64,89.82,76.84,63.86
05139,71.89,74.3,76.7,76.98,77.26,52.94,28.61,28.92,29.24
05141,92.23,92.74,93.25,84.54,75.83,79.18,82.53,66.04,49.54
05143,35.5,31.34,27.19,29.2,31.21,35.16,39.12,39.75,40.38
05145,35.5,38.96,42.41,48.61,54.81,52.18,49.55,54.38,59.21
05147,86.66,90.45,94.24,91.6,88.95,77.56,66.17,74.24,82.31
05149,47.06,48.32,49.57,50.64,51.72,37.74,23.77,28.36,32.96
06001,64.02,59.14,54.25,48.64,43.03,44.32,45.61,49.77,53.93
06003,23.78,58.36,92.93,96.22,99.52,97.58,95.64,74.78,53.93
06005,96.15,94.19,92.23,89.76,87.29,75.04,62.79,68.32,73.85
06007,89.37,88.96,88.54,88.28,88.03,86.44,84.85,85.16,85.46
06009,79.82,80.77,81.73,71.03,60.32,58.09,55.86,66.28,76.71
06011,85.9,79.8,73.7,58.36,43.03,39.21,35.39,61.68,87.97
06013,66.35,64.2,62.05,61.18,60.32,60.87,61.43,66.12,70.82
06015,86.66,86.82,86.98,86.2,85.41,80.45,75.49,76.72,77.95
06017,79.82,80.77,81.73,71.9,62.07,53.84,45.61,46.5,47.38
06019,93.47,93.36,93.25,92.5,91.75,92.12,92.49,92.78,93.06
06021,91.05,87.55,84.05,77.48,70.92,67.67,64.42,77.2,89.98
06023,79.82,80.46,81.09,82.25,83.41,88.17,92.93,93.9,94.88
