FIPS,2014 EPL_AGE65,2015 EPL_AGE65,2016 EPL_AGE65,2017 EPL_AGE65,2018 EPL_AGE65,2019 EPL_AGE65,2020 EPL_AGE65
01001,19.8,19.72,19.64,19.07,18.5,18.39,18.27
01003,62.81,63.59,64.37,64.33,64.28,64.62,64.96
01005,39.64,40.69,41.74,45.34,48.93,50.54,52.16
01007,26.77,26.31,25.85,28.92,32.0,29.12,26.23
01009,44.29,46.69,49.09,48.12,47.15,44.02,40.9
01011,27.67,27.5,27.32,26.52,25.72,24.86,24.0
01013,61.0,59.73,58.45,58.86,59.28,63.28,67.28
01015,37.47,36.61,35.75,36.2,36.64,36.97,37.3
01017,62.81,62.16,61.51,59.84,58.17,57.1,56.02
01019,75.71,76.5,77.3,78.92,80.55,81.08,81.6
01021,30.85,29.59,28.33,27.9,27.48,27.68,27.88
01023,78.41,79.16,79.91,81.2,82.49,82.59,82.69
01025,56.03,57.24,58.45,58.86,59.28,59.63,59.99
01027,68.29,69.2,70.11,68.45,66.79,65.49,64.19
01029,59.85,59.64,59.44,58.31,57.18,61.58,65.98
01031,36.39,35.51,34.64,33.32,32.0,31.58,31.16
01033,63.77,63.1,62.43,62.39,62.34,60.64,58.94
01035,74.21,75.76,77.3,78.67,80.04,80.33,80.62
01037,59.85,62.11,64.37,72.65,80.93,82.2,83.48
01039,76.44,76.6,76.76,74.62,72.49,71.84,71.2
01041,51.74,52.06,52.37,52.26,52.15,53.11,54.07
01043,54.66,54.95,55.24,52.08,48.93,47.14,45.35
01045,27.67,29.01,30.34,30.08,29.83,30.02,30.2
01047,33.17,33.32,33.46,35.05,36.64,38.77,40.9
01049,32.12,31.72,31.33,31.66,32.0,31.58,31.16
01051,16.56,17.7,18.85,18.36,17.86,18.83,19.8
01053,43.33,43.42,43.52,42.71,41.9,41.97,42.04
01055,50.68,50.93,51.19,51.67,52.15,51.62,51.08
01057,70.33,70.71,71.09,71.79,72.49,70.81,69.13
01059,42.22,39.53,36.84,33.91,30.98,29.05,27.12
01061,68.29,67.58,66.86,65.04,63.23,63.35,63.46
01063,54.66,56.1,57.53,64.58,71.63,74.94,78.26
01065,49.51,51.93,54.35,53.25,52.15,53.11,54.07
01067,75.71,77.57,79.43,79.74,80.04,79.72,79.41
01069,38.62,37.73,36.84,37.24,37.63,37.47,37.3
01071,59.85,61.14,62.43,61.19,59.95,60.53,61.11
01073,21.87,21.74,21.62,21.38,21.14,21.52,21.9
01075,74.98,75.87,76.76,76.71,76.66,75.44,74.22
01077,61.0,60.74,60.49,61.42,62.34,61.72,61.11
01079,39.64,39.29,38.94,41.07,43.2,42.05,40.9
01081,3.53,3.44,3.34,3.56,3.79,4.3,4.81
01083,17.7,18.27,18.85,19.01,19.17,18.72,18.27
01085,43.33,46.76,50.18,49.18,48.17,49.1,50.03
01087,39.64,41.58,43.52,49.36,55.21,57.6,59.99
01089,17.03,17.26,17.48,17.18,16.87,16.74,16.61
01091,62.81,63.06,63.32,60.74,58.17,58.18,58.18
01093,75.71,75.82,75.93,75.24,74.56,72.88,71.2
01095,40.78,40.84,40.91,38.78,36.64,34.84,33.04
01097,22.76,22.94,23.11,23.35,23.59,24.13,24.67
01099,54.66,54.95,55.24,56.71,58.17,59.64,61.11
01101,15.19,15.32,15.44,15.79,16.14,16.38,16.61
01103,34.42,34.53,34.64,35.15,35.66,35.71,35.77
01105,69.02,67.46,65.9,60.56,55.21,55.62,56.02
