2014 Dispensing Data and Encoding,2015 Dispensing Data and Encoding,2016 Dispensing Data and Encoding,2017 Dispensing Data and Encoding,2018 Dispensing Data and Encoding,2019 Dispensing Data and Encoding,2020 Dispensing Data and Encoding
145.3,129.9,129.6,113.3,96.7,101.3,98.3
143.5,132.1,123.8,107.1,93.6,67.6,65.0
102.0,93.3,92.7,90.5,86.0,27.2,22.8
75.8,69.4,97.2,91.1,81.1,21.0,24.8
63.2,57.9,56.9,50.4,45.4,23.7,22.8
34.3,23.4,19.8,20.4,24.8,24.7,22.0
145.0,140.5,135.4,119.6,106.0,40.6,35.1
180.0,165.4,161.0,140.9,129.9,106.3,97.9
163.1,147.3,140.6,127.2,117.1,58.0,60.5
175.1,169.2,157.7,135.1,129.2,46.5,50.6
132.1,120.6,120.4,107.4,96.0,41.2,39.3
141.2,97.0,97.8,91.5,67.4,37.5,37.8
184.3,165.6,164.7,156.1,144.4,66.3,65.9
150.6,139.7,133.7,117.4,105.7,84.5,81.7
48.2,51.1,44.2,47.8,38.2,14.5,5.7
143.2,131.9,129.5,121.5,114.2,79.8,74.4
234.3,222.9,208.1,188.0,167.0,156.9,150.0
154.4,102.8,93.9,88.6,88.5,110.5,113.3
35.7,26.8,25.4,24.1,24.4,0.0,0.0
216.2,198.8,170.9,147.5,135.1,94.2,85.3
101.5,94.0,90.9,80.9,59.8,33.1,33.4
182.6,172.0,166.2,144.7,126.7,87.1,81.1
71.5,63.8,78.7,69.4,69.6,34.0,31.8
123.3,115.7,117.8,102.1,82.0,65.0,62.7
122.7,117.6,114.4,105.0,98.2,62.6,64.3
122.7,113.1,117.3,113.6,98.5,28.1,26.8
166.8,174.3,173.9,156.5,137.4,76.6,81.2
191.4,171.9,156.8,132.5,126.1,102.8,102.8
162.5,162.0,133.3,113.6,92.2,48.5,53.6
225.5,222.4,223.3,184.9,152.3,92.3,89.4
50.4,56.4,50.2,44.1,38.9,15.1,17.0
98.6,78.7,79.8,53.9,36.8,25.2,16.5
100.2,85.1,97.7,99.3,74.6,22.2,22.6
37.3,49.2,30.7,26.5,21.3,52.3,46.2
161.1,146.6,142.8,136.4,127.8,146.1,136.5
135.6,117.3,144.6,142.9,130.5,82.3,71.7
130.2,123.4,116.7,105.1,95.8,143.5,139.0
105.8,107.9,104.7,81.2,82.0,13.8,10.7
151.0,140.2,127.5,112.8,100.8,58.5,57.3
140.5,126.2,114.1,101.8,88.0,30.4,28.3
70.0,63.2,64.5,58.7,52.2,39.5,35.4
79.1,70.2,76.5,69.4,61.4,33.1,26.9
1.9,0.4,0.7,0.4,0.0,9.2,8.3
67.2,62.3,60.1,45.5,42.4,10.6,11.3
122.0,117.4,113.7,101.1,85.4,97.8,87.3
140.9,130.8,131.7,130.1,147.9,72.3,58.8
207.3,192.9,182.1,164.7,140.2,108.7,106.0
221.2,200.4,191.1,166.6,151.9,97.2,92.2
158.5,143.0,133.5,119.3,107.6,108.4,98.0
143.8,134.5,135.7,125.3,109.8,48.9,53.7
101.7,87.0,88.0,84.9,70.3,93.2,86.3
142.7,138.0,135.4,117.8,108.9,69.2,67.9
5.2,4.0,3.6,3.6,0.1,15.3,17.3
124.7,98.9,81.5,71.5,63.4,33.6,43.7
112.7,104.7,105.5,99.7,90.1,36.6,38.5
126.3,112.1,108.8,100.0,86.0,56.1,47.0
128.9,117.9,110.6,103.1,92.9,34.6,35.9
112.9,107.6,114.4,106.9,100.1,61.9,63.0
110.5,103.4,100.7,90.4,81.2,76.9,64.6
45.7,41.3,40.5,37.5,27.8,38.0,41.9
154.4,140.1,138.9,124.3,108.5,41.3,39.7
109.8,103.1,108.0,100.8,93.0,47.0,43.4
116.7,114.0,111.2,100.4,89.1,96.5,86.6
291.1,249.9,235.4,218.8,204.8,132.7,123.0
36.8,37.8,44.3,52.4,44.0,28.1,29.4
62.1,63.5,66.4,56.6,50.9,26.5,16.0
179.6,169.3,172.5,159.8,143.4,66.8,65.0
0.0,0.0,0.0,0.0,0.0,10.6,9.6
0.0,0.0,0.0,0.0,0.0,2.5,2.1
68.0,68.2,66.3,59.7,51.2,56.0,47.2
0.0,0.0,0.0,0.0,0.0,6.9,8.8
0.0,0.0,0.0,0.0,0.0,4.1,6.4
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,8.3,5.2
0.0,0.0,0.0,0.0,0.0,4.9,1.7
54.3,50.5,48.4,42.5,36.8,29.5,29.7
0.0,0.0,0.0,0.0,0.0,1.2,0.5
0.0,0.0,0.0,0.0,0.0,5.3,3.0
87.6,81.3,79.8,66.3,54.9,36.2,29.2
100.0,100.1,97.9,82.7,76.3,53.0,47.3
100.6,101.8,91.5,76.5,58.6,50.4,49.5
38.6,34.2,33.6,28.4,23.2,18.3,18.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.3,0.0
86.2,78.9,76.4,69.2,60.8,30.7,38.0
0.0,0.0,0.0,0.0,0.0,2.2,3.0
0.0,0.0,0.0,0.0,0.0,3.1,2.2
0.0,0.0,0.0,0.0,0.0,2.7,11.2
92.2,80.3,71.0,64.2,65.0,68.8,67.0
59.0,63.9,56.4,38.9,29.0,23.0,18.0
14.1,10.5,9.5,7.3,0.1,16.6,14.8
0.0,0.0,0.0,0.0,0.0,5.2,10.4
0.0,0.0,0.0,0.0,0.0,12.7,14.1
0.4,0.4,0.6,0.2,0.0,6.7,3.9
0.0,0.0,0.0,0.0,0.0,5.3,8.1
0.0,0.0,0.0,0.0,0.0,1.2,2.6
21.5,18.8,18.5,18.6,15.9,7.3,4.9
82.7,83.5,79.0,68.5,60.3,37.9,34.4
60.4,56.2,51.4,42.2,34.7,34.9,32.2
124.3,116.3,110.0,87.2,73.7,46.4,42.8
106.0,99.2,84.1,74.0,66.2,44.0,51.6
1.3,0.5,0.0,0.0,0.0,2.5,1.6
89.7,82.6,78.3,66.0,50.3,18.7,14.8
77.9,73.7,68.2,58.8,48.6,46.5,42.4
142.2,133.9,127.5,113.2,94.1,70.6,66.4
74.7,70.3,67.5,65.4,56.5,47.1,43.6
84.2,79.4,74.0,64.7,56.5,52.3,46.9
65.6,63.2,58.3,49.6,40.2,11.5,10.5
27.4,24.8,29.3,21.3,16.6,8.4,5.9
110.6,104.5,97.8,86.9,71.9,49.4,48.6
57.6,58.0,56.6,47.4,37.2,24.6,28.2
92.8,84.3,129.1,125.1,110.4,74.7,70.7
126.5,120.7,115.8,110.1,100.7,28.3,26.0
148.0,140.5,142.7,133.3,107.3,126.7,136.7
95.1,93.2,87.8,78.8,69.1,44.3,37.1
168.8,169.5,156.4,140.8,126.0,73.9,67.2
149.6,129.3,116.5,108.8,97.7,80.7,73.8
84.4,88.7,83.6,78.2,65.4,16.2,15.3
78.2,72.2,89.2,79.3,70.3,37.2,37.4
88.9,85.4,77.7,79.3,79.5,93.4,90.0
116.9,99.7,100.9,94.6,97.4,56.8,54.7
140.3,144.2,134.6,117.7,105.9,76.3,72.7
118.7,111.9,115.9,111.6,102.7,50.6,53.9
0.4,0.6,1.1,0.8,9.7,2.5,4.9
133.0,116.6,106.6,99.8,93.9,52.2,51.7
130.5,133.7,131.7,124.5,103.3,38.0,38.2
166.0,164.4,157.3,144.4,125.8,167.8,164.0
169.4,164.7,158.0,145.6,132.1,55.1,51.4
107.0,106.5,108.7,105.4,93.5,69.0,59.6
138.5,128.1,120.3,109.1,98.5,60.3,59.7
112.6,106.5,101.6,77.1,74.2,40.2,31.6
166.6,163.3,143.8,131.1,102.2,94.1,85.2
117.8,116.6,131.8,126.4,113.0,93.5,91.2
100.7,97.4,97.9,90.0,76.0,63.2,64.0
28.0,29.5,22.2,19.1,13.7,42.7,40.2
104.2,93.7,116.7,109.6,98.9,63.0,62.1
194.9,182.5,176.3,157.9,138.6,119.7,112.9
88.4,80.9,77.5,73.9,61.1,13.7,12.6
185.6,174.4,177.8,172.5,155.7,100.2,98.8
131.5,119.6,115.7,114.5,100.9,39.8,40.0
114.1,104.3,105.3,96.8,82.6,40.2,38.0
180.7,170.8,161.6,148.1,138.0,69.6,58.5
178.7,164.7,159.8,149.7,129.3,140.3,132.5
93.9,76.7,104.0,99.8,93.4,80.7,70.5
160.1,148.4,150.4,135.1,115.6,46.4,55.0
114.9,112.4,108.6,102.4,96.0,106.1,98.7
147.7,136.0,127.4,109.9,104.3,62.9,52.3
4.2,1.7,111.2,110.4,99.8,92.0,91.5
48.2,39.5,37.5,35.1,27.0,42.6,45.2
55.3,51.3,68.2,67.7,56.4,69.5,82.0
81.1,81.8,67.6,60.6,50.6,13.3,11.1
164.3,163.8,163.5,154.9,145.3,87.6,96.4
40.6,39.8,41.2,37.2,27.8,21.1,24.6
111.4,110.1,101.5,94.9,85.5,18.8,16.9
83.5,79.7,79.3,80.0,69.5,34.9,29.5
95.6,85.4,83.3,77.4,56.3,10.0,7.2
138.1,129.7,109.3,101.9,94.2,79.6,83.4
144.8,137.0,138.6,136.2,125.5,60.4,59.5
109.2,102.8,92.6,85.6,75.6,11.6,5.9
108.1,108.4,93.4,82.5,74.4,80.9,80.6
0.0,0.0,0.0,0.0,0.0,20.9,21.7
2.8,1.8,0.8,1.0,0.0,2.2,1.4
139.8,142.5,143.4,137.9,123.8,69.3,70.7
94.9,48.3,51.2,27.9,48.3,13.0,12.0
173.6,161.4,159.8,160.7,120.8,92.0,84.2
10.6,4.7,97.6,85.9,76.2,37.7,30.4
105.5,98.4,120.7,121.2,109.2,81.1,69.0
133.2,123.3,117.8,104.9,97.1,54.2,52.8
138.2,134.1,132.6,111.2,95.3,46.5,41.2
91.3,88.6,82.1,76.2,68.9,19.4,13.9
117.5,111.6,105.2,98.3,87.1,149.5,141.7
116.2,114.4,114.2,103.8,83.6,31.3,20.4
96.4,92.4,94.8,88.4,76.3,44.9,47.7
106.9,96.9,97.4,92.4,80.8,43.6,38.3
154.2,155.5,124.7,115.8,110.0,57.3,62.0
99.7,86.0,82.6,79.7,74.3,29.3,28.3
186.1,174.6,169.0,155.0,141.9,131.4,121.5
82.9,65.2,65.5,56.6,43.4,17.7,11.7
136.4,147.0,138.5,131.8,116.3,48.4,43.7
169.7,159.5,152.7,153.0,145.4,94.5,71.4
141.9,136.3,131.5,117.8,107.1,121.2,113.6
114.4,109.0,103.1,101.8,97.8,43.9,38.0
104.4,101.6,98.5,91.5,76.2,82.9,70.2
138.1,125.3,123.5,116.9,98.6,55.9,54.8
32.0,4.7,3.8,2.7,8.1,27.3,14.8
72.3,69.3,66.9,56.7,55.2,35.6,39.7
38.0,33.6,31.1,26.2,22.0,20.4,18.2
0.0,0.0,0.0,0.0,0.0,24.1,23.0
136.6,114.7,112.3,99.0,85.1,29.4,31.8
143.9,136.9,125.4,105.6,89.4,70.0,63.0
98.6,92.2,83.5,69.9,58.7,27.7,24.7
44.9,41.2,45.2,34.6,30.9,27.3,24.7
51.8,45.8,40.8,35.9,31.4,25.8,22.9
168.6,147.0,133.7,117.3,97.3,56.2,56.1
75.6,68.8,63.7,55.0,47.2,30.0,28.4
66.1,59.6,57.8,52.9,48.3,46.2,41.9
68.9,66.8,85.0,79.0,67.4,36.4,25.2
113.6,100.7,92.2,77.5,67.0,55.6,46.8
59.5,53.7,52.4,48.8,44.1,27.6,27.7
63.6,60.7,61.3,50.0,41.6,26.2,26.6
64.4,62.4,60.3,55.0,48.5,37.4,35.1
78.5,67.7,64.8,58.8,54.5,36.2,36.1
167.6,137.0,116.4,95.1,77.3,34.6,27.0
104.2,93.4,81.7,66.2,51.7,46.5,36.3
39.8,35.3,33.4,30.3,27.4,26.8,24.5
58.4,52.6,49.7,42.3,37.0,19.4,20.3
44.1,39.4,36.7,32.5,28.4,22.5,21.2
67.8,69.8,67.6,55.7,47.6,17.3,15.6
127.2,118.2,105.1,90.5,81.7,59.3,56.8
74.0,68.5,65.3,56.6,47.9,36.5,32.8
111.5,100.2,96.4,81.3,50.5,31.2,36.4
53.0,54.0,54.4,44.5,37.9,30.8,31.8
60.3,55.6,50.6,44.1,38.2,28.6,25.8
50.9,46.4,40.4,35.5,32.1,27.2,22.9
97.4,86.0,83.0,70.3,61.8,42.1,38.7
47.6,43.9,42.1,37.7,33.8,31.8,29.8
72.9,66.5,62.9,56.2,49.3,48.8,46.0
109.7,90.2,85.5,73.1,66.6,46.8,41.7
56.9,52.4,49.4,44.7,39.8,29.6,29.1
60.1,53.8,50.3,44.1,38.2,37.0,34.0
54.0,50.4,43.7,39.6,36.1,15.9,12.9
58.7,54.8,52.2,47.4,41.6,37.5,34.5
46.7,42.7,39.2,34.7,29.9,27.8,25.5
38.6,35.4,32.2,27.0,23.0,34.5,30.5
69.4,59.2,54.5,47.5,40.4,27.4,24.7
86.0,77.3,71.6,63.8,58.6,45.3,42.6
36.1,33.2,31.5,27.2,23.8,19.8,17.7
62.4,57.6,54.7,49.1,42.4,43.0,39.1
28.9,26.1,24.2,20.7,18.3,20.0,18.4
70.3,62.3,57.0,48.9,41.6,29.0,27.8
151.7,132.5,118.0,101.1,84.3,70.6,60.9
35.1,28.7,21.3,12.3,5.5,5.5,5.6
114.7,124.0,117.2,96.8,93.3,61.1,53.5
52.9,46.7,43.0,37.3,31.8,22.9,21.5
65.5,58.0,52.5,45.9,40.1,33.3,31.7
103.9,90.8,85.1,75.6,65.6,59.6,54.4
111.5,108.8,102.9,95.0,76.3,75.5,70.1
119.4,103.9,94.8,82.8,70.8,42.6,35.0
119.6,110.2,98.5,80.6,72.7,36.0,31.7
78.8,68.8,65.1,58.5,51.2,39.3,34.9
142.8,126.4,114.6,104.8,85.8,65.8,65.2
60.2,56.7,54.0,48.6,43.9,32.9,30.9
51.8,47.6,46.7,41.2,35.7,24.7,22.9
96.2,92.0,83.2,68.3,61.7,32.1,29.2
60.6,56.6,52.5,46.7,39.7,32.0,28.0
175.8,165.5,152.4,119.1,98.4,42.5,35.8
66.7,63.6,58.2,50.0,44.0,44.0,42.3
75.6,77.6,72.3,65.1,59.1,38.1,37.3
95.0,81.2,86.8,78.0,67.6,48.3,45.2
59.1,65.5,59.6,44.2,34.3,48.8,50.7
53.6,51.3,47.7,41.8,37.0,44.0,39.8
61.5,55.4,52.9,46.3,41.1,42.6,43.9
102.2,97.9,94.4,83.2,71.9,40.5,37.1
74.0,73.0,68.1,62.1,48.6,16.8,27.3
38.1,36.1,34.8,30.8,27.3,2.7,4.7
2.2,1.3,1.2,0.8,0.0,30.7,29.0
0.0,0.0,0.0,0.0,0.0,1.2,0.6
32.4,32.3,29.7,25.1,23.1,4.8,5.3
0.0,0.0,0.0,0.0,0.0,3.5,2.1
96.5,90.4,83.6,76.0,65.6,37.5,37.6
48.2,44.3,39.4,34.8,29.2,40.1,37.1
0.0,0.0,0.0,0.0,0.0,74.7,76.6
55.9,54.9,50.5,45.5,41.7,26.7,26.8
53.0,48.6,46.3,40.7,33.4,49.8,47.8
36.6,35.1,34.9,31.0,27.4,10.5,9.7
75.1,72.5,67.4,59.8,51.9,48.6,47.5
80.0,76.4,72.7,66.4,55.9,36.3,37.4
92.9,86.2,78.5,64.3,51.0,32.9,30.0
0.0,0.0,0.0,0.0,0.0,0.5,0.1
50.3,47.4,43.3,37.2,33.5,12.7,12.5
59.4,54.5,51.6,43.8,36.7,24.4,21.0
0.0,0.0,0.0,0.0,0.0,14.9,17.1
87.8,77.7,80.6,87.4,74.1,44.9,33.8
0.0,0.0,0.0,0.0,0.0,18.4,11.3
81.4,76.3,70.4,61.1,53.2,39.9,35.9
