2014 SVI Aged 65 or Older Data and Encoding,2015 SVI Aged 65 or Older Data and Encoding,2016 SVI Aged 65 or Older Data and Encoding,2017 SVI Aged 65 or Older Data and Encoding,2018 SVI Aged 65 or Older Data and Encoding,2019 SVI Aged 65 or Older Data and Encoding,2020 SVI Aged 65 or Older Data and Encoding
19.8,19.72,19.64,19.07,18.5,18.39,18.27
62.81,63.59,64.37,64.33,64.28,64.62,64.96
39.64,40.69,41.74,45.34,48.93,50.54,52.16
26.77,26.31,25.85,28.92,32.0,29.12,26.23
44.29,46.69,49.09,48.12,47.15,44.02,40.9
27.67,27.5,27.32,26.52,25.72,24.86,24.0
61.0,59.73,58.45,58.86,59.28,63.28,67.28
37.47,36.61,35.75,36.2,36.64,36.97,37.3
62.81,62.16,61.51,59.84,58.17,57.1,56.02
75.71,76.5,77.3,78.92,80.55,81.08,81.6
30.85,29.59,28.33,27.9,27.48,27.68,27.88
78.41,79.16,79.91,81.2,82.49,82.59,82.69
56.03,57.24,58.45,58.86,59.28,59.63,59.99
68.29,69.2,70.11,68.45,66.79,65.49,64.19
59.85,59.64,59.44,58.31,57.18,61.58,65.98
36.39,35.51,34.64,33.32,32.0,31.58,31.16
63.77,63.1,62.43,62.39,62.34,60.64,58.94
74.21,75.76,77.3,78.67,80.04,80.33,80.62
59.85,62.11,64.37,72.65,80.93,82.2,83.48
76.44,76.6,76.76,74.62,72.49,71.84,71.2
51.74,52.06,52.37,52.26,52.15,53.11,54.07
54.66,54.95,55.24,52.08,48.93,47.14,45.35
27.67,29.01,30.34,30.08,29.83,30.02,30.2
33.17,33.32,33.46,35.05,36.64,38.77,40.9
32.12,31.72,31.33,31.66,32.0,31.58,31.16
16.56,17.7,18.85,18.36,17.86,18.83,19.8
43.33,43.42,43.52,42.71,41.9,41.97,42.04
50.68,50.93,51.19,51.67,52.15,51.62,51.08
70.33,70.71,71.09,71.79,72.49,70.81,69.13
42.22,39.53,36.84,33.91,30.98,29.05,27.12
68.29,67.58,66.86,65.04,63.23,63.35,63.46
54.66,56.1,57.53,64.58,71.63,74.94,78.26
49.51,51.93,54.35,53.25,52.15,53.11,54.07
75.71,77.57,79.43,79.74,80.04,79.72,79.41
38.62,37.73,36.84,37.24,37.63,37.47,37.3
59.85,61.14,62.43,61.19,59.95,60.53,61.11
21.87,21.74,21.62,21.38,21.14,21.52,21.9
74.98,75.87,76.76,76.71,76.66,75.44,74.22
61.0,60.74,60.49,61.42,62.34,61.72,61.11
39.64,39.29,38.94,41.07,43.2,42.05,40.9
3.53,3.44,3.34,3.56,3.79,4.3,4.81
17.7,18.27,18.85,19.01,19.17,18.72,18.27
43.33,46.76,50.18,49.18,48.17,49.1,50.03
39.64,41.58,43.52,49.36,55.21,57.6,59.99
17.03,17.26,17.48,17.18,16.87,16.74,16.61
62.81,63.06,63.32,60.74,58.17,58.18,58.18
75.71,75.82,75.93,75.24,74.56,72.88,71.2
40.78,40.84,40.91,38.78,36.64,34.84,33.04
22.76,22.94,23.11,23.35,23.59,24.13,24.67
54.66,54.95,55.24,56.71,58.17,59.64,61.11
15.19,15.32,15.44,15.79,16.14,16.38,16.61
34.42,34.53,34.64,35.15,35.66,35.71,35.77
69.02,67.46,65.9,60.56,55.21,55.62,56.02
61.8,59.16,56.51,55.02,53.52,51.77,50.03
19.8,20.71,21.62,20.06,18.5,18.7,18.91
67.65,68.88,70.11,69.31,68.51,67.24,65.98
15.19,13.42,11.65,12.02,12.38,12.86,13.34
25.95,27.14,28.33,28.22,28.11,28.71,29.31
11.72,12.83,13.94,15.4,16.87,17.89,18.91
40.78,39.86,38.94,38.29,37.63,40.41,43.19
35.59,36.74,37.89,38.89,39.89,39.2,38.51
68.29,69.69,71.09,71.36,71.63,72.13,72.63
8.72,8.26,7.8,8.06,8.31,8.47,8.63
58.36,58.4,58.45,56.83,55.21,55.18,55.16
37.47,40.49,43.52,47.83,52.15,55.54,58.94
49.51,52.37,55.24,54.38,53.52,54.77,56.02
73.26,74.28,75.29,75.97,76.66,76.04,75.43
0.06,0.14,0.22,0.57,0.92,1.88,2.83
0.16,0.13,0.1,0.08,0.06,0.16,0.25
1.5,1.54,1.59,1.75,1.91,2.23,2.55
0.22,0.22,0.22,0.2,0.19,0.19,0.19
0.41,0.56,0.7,1.15,1.59,2.53,3.47
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.13,0.3,0.48,0.35,0.22,0.99,1.75
1.18,1.0,0.83,0.75,0.67,1.85,3.02
0.7,0.68,0.67,0.97,1.27,1.44,1.62
