2014 SVI Disability Data and Encoding,2015 SVI Disability Data and Encoding,2016 SVI Disability Data and Encoding,2017 SVI Disability Data and Encoding,2018 SVI Disability Data and Encoding,2019 SVI Disability Data and Encoding,2020 SVI Disability Data and Encoding
57.62,65.71,73.8,76.42,79.05,73.68,68.3
39.83,37.52,35.21,35.22,35.24,36.07,36.89
84.75,87.06,89.37,90.0,90.64,83.22,75.81
55.71,49.95,44.19,52.46,60.74,65.88,71.01
65.87,55.57,45.27,41.45,37.63,40.92,44.21
85.8,77.22,68.64,54.24,39.83,29.97,20.11
89.97,84.7,79.43,73.94,68.45,60.18,51.91
77.84,81.26,84.69,85.16,85.64,85.08,84.53
84.24,76.57,68.9,64.82,60.74,67.29,73.84
91.12,90.08,89.05,85.77,82.49,71.4,60.31
66.92,65.26,63.61,66.03,68.45,76.25,84.05
96.75,97.47,98.19,98.65,99.11,98.24,97.36
54.76,54.48,54.19,59.2,64.22,71.29,78.36
82.43,70.88,59.34,53.69,48.04,62.93,77.82
84.24,87.58,90.93,91.44,91.95,88.56,85.17
65.87,69.1,72.33,70.39,68.45,67.79,67.12
84.24,82.28,80.32,78.03,75.74,71.43,67.12
94.08,91.56,89.05,90.8,92.55,92.39,92.23
88.16,89.9,91.63,91.79,91.95,92.94,93.92
88.98,88.33,87.68,86.79,85.9,84.69,83.48
76.5,78.22,79.94,83.36,86.79,89.18,91.57
66.92,59.9,52.88,60.17,67.46,71.64,75.81
81.95,84.67,87.39,87.6,87.81,87.52,87.24
87.33,79.29,71.25,70.1,68.96,69.69,70.43
57.62,53.84,50.05,50.05,50.05,39.39,28.74
50.08,58.76,67.43,68.62,69.82,60.14,50.45
84.75,84.27,83.79,80.09,76.38,75.73,75.08
84.75,83.08,81.41,81.17,80.93,75.28,69.64
97.01,97.92,98.82,98.2,97.58,96.82,96.05
78.16,77.54,76.92,63.48,50.05,38.58,27.12
92.36,91.64,90.93,89.78,88.63,92.34,96.05
97.1,97.61,98.12,97.48,96.85,92.66,88.48
91.12,89.86,88.6,87.7,86.79,91.42,96.05
81.31,81.07,80.83,78.29,75.74,74.79,73.84
69.02,68.96,68.9,68.93,68.96,62.39,55.82
76.5,72.7,68.9,72.64,76.38,79.39,82.4
43.11,44.75,46.39,48.22,50.05,49.28,48.5
94.97,94.38,93.79,94.82,95.86,95.2,94.53
55.71,53.94,52.18,47.34,42.5,41.04,39.59
87.81,86.46,85.1,84.86,84.62,88.52,92.43
18.31,19.28,20.25,23.75,27.25,26.24,25.24
32.51,39.91,47.31,52.43,57.56,53.52,49.49
87.81,90.99,94.17,95.46,96.75,97.6,98.44
73.96,70.34,66.73,66.16,65.58,66.35,67.12
