2014 SVI Limited English Ability Data and Encoding,2015 SVI Limited English Ability Data and Encoding,2016 SVI Limited English Ability Data and Encoding,2017 SVI Limited English Ability Data and Encoding,2018 SVI Limited English Ability Data and Encoding,2019 SVI Limited English Ability Data and Encoding,2020 SVI Limited English Ability Data and Encoding
37.22,45.38,53.55,52.34,51.13,49.24,47.36
67.78,60.3,52.82,44.32,35.82,43.66,51.5
77.2,73.5,69.79,70.16,70.52,72.56,74.6
39.61,37.57,35.53,29.12,22.7,26.93,31.16
72.97,73.9,74.82,73.26,71.7,70.78,69.86
80.42,69.06,57.69,43.69,29.7,50.54,71.39
34.16,44.43,54.7,45.26,35.82,29.99,24.16
52.91,50.73,48.55,53.23,57.91,52.64,47.36
18.56,24.26,29.96,18.51,7.07,19.11,31.16
9.93,8.82,7.7,18.7,29.7,45.37,61.04
82.46,81.52,80.58,77.74,74.91,73.84,72.76
5.09,2.54,0.0,14.85,29.7,22.87,16.04
15.47,18.13,20.79,13.93,7.07,7.83,8.59
54.92,47.42,39.92,34.81,29.7,19.14,8.59
11.52,32.14,52.75,49.58,46.42,44.7,42.97
78.1,73.7,69.31,68.24,67.18,64.11,61.04
30.95,24.58,18.21,20.46,22.7,35.03,47.36
28.59,14.3,0.0,0.0,0.0,0.0,0.0
46.77,54.81,62.85,46.28,29.7,30.43,31.16
49.28,46.26,43.23,36.47,29.7,19.14,8.59
56.06,58.42,60.78,61.94,63.1,47.13,31.16
57.5,57.82,58.13,50.0,41.87,42.42,42.97
49.06,51.6,54.15,56.03,57.91,54.71,51.5
10.89,10.88,10.86,8.96,7.07,11.55,16.04
89.65,88.88,88.12,87.48,86.85,86.93,87.01
54.03,53.82,53.61,50.02,46.42,48.96,51.5
14.77,15.46,16.14,25.98,35.82,36.45,37.08
60.87,65.26,69.66,66.38,63.1,60.86,58.63
8.34,4.17,0.0,0.0,0.0,0.0,0.0
94.14,93.36,92.58,92.26,91.95,92.99,94.02
62.69,60.13,57.56,49.72,41.87,39.48,37.08
10.51,5.26,0.0,0.0,0.0,4.3,8.59
36.9,37.46,38.01,22.54,7.07,15.62,24.16
60.65,54.46,48.26,35.48,22.7,19.37,16.04
50.14,50.36,50.59,46.23,41.87,36.52,31.16
47.02,43.28,39.54,34.62,29.7,33.39,37.08
69.47,67.56,65.65,64.38,63.1,62.07,61.04
42.85,34.67,26.49,13.24,0.0,4.3,8.59
51.8,46.94,42.09,41.98,41.87,42.42,42.97
11.33,11.84,12.35,13.56,14.77,22.96,31.16
71.92,68.83,65.74,64.42,63.1,64.56,66.01
69.09,66.42,63.74,60.82,57.91,59.48,61.04
5.54,6.25,6.97,7.02,7.07,3.54,0.0
42.06,24.94,7.83,3.91,0.0,0.0,0.0
65.39,64.69,63.99,62.43,60.87,60.96,61.04
17.73,12.62,7.51,7.29,7.07,7.83,8.59
29.51,25.37,21.24,28.53,35.82,41.59,47.36
90.77,90.38,90.0,89.48,88.95,89.22,89.5
56.0,52.99,49.98,48.2,46.42,44.7,42.97
5.83,7.56,9.3,8.18,7.07,3.54,0.0
72.49,70.56,68.64,67.91,67.18,66.6,66.01
78.86,78.36,77.87,77.64,77.4,78.0,78.61
41.58,34.98,28.37,25.54,22.7,11.35,0.0
32.86,44.91,56.96,64.33,71.7,73.15,74.6
59.03,64.09,69.15,69.1,69.05,67.53,66.01
16.52,12.66,8.79,15.74,22.7,19.37,16.04
48.36,48.41,48.46,53.18,57.91,56.52,55.12
46.07,41.16,36.26,36.04,35.82,29.99,24.16
75.55,73.9,72.24,71.38,70.52,68.26,66.01
43.81,49.51,55.21,42.46,29.7,26.93,24.16
43.2,40.83,38.46,37.14,35.82,36.45,37.08
37.44,34.37,31.3,23.04,14.77,25.92,37.08
61.06,57.75,54.44,54.68,54.92,55.02,55.12
42.09,44.54,46.99,44.43,41.87,39.48,37.08
28.18,35.53,42.88,39.35,35.82,22.2,8.59
10.06,11.72,13.37,29.9,46.42,44.7,42.97
51.13,48.38,45.62,40.72,35.82,43.66,51.5
98.76,98.48,98.19,98.46,98.73,98.26,97.8
96.72,95.59,94.46,95.49,96.53,96.56,96.59
79.18,79.14,79.11,79.75,80.39,79.5,78.61
85.61,84.43,83.25,82.99,82.74,78.67,74.6
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
83.95,41.98,0.0,17.91,35.82,29.99,24.16
84.02,74.26,64.5,57.82,51.13,61.26,71.39
60.01,58.43,56.86,49.36,41.87,46.68,51.5
27.41,35.13,42.85,46.99,51.13,25.56,0.0
24.9,17.69,10.47,5.24,0.0,0.0,0.0
64.79,64.33,63.87,63.48,63.1,64.56,66.01
19.99,29.2,38.4,37.11,35.82,25.93,16.04
45.21,54.76,64.31,63.7,63.1,59.11,55.12
81.47,86.58,91.69,92.8,93.92,94.9,95.89
0.0,0.0,0.0,0.0,0.0,0.0,0.0
58.58,54.87,51.16,36.93,22.7,40.67,58.63
45.4,45.3,45.21,50.07,54.92,53.21,51.5
56.92,61.32,65.71,66.44,67.18,72.39,77.59
67.37,61.72,56.06,55.49,54.92,56.78,58.63
51.0,53.42,55.84,48.86,41.87,39.48,37.08
67.34,45.4,23.46,44.52,65.58,78.38,91.18
7.42,6.32,5.22,2.61,0.0,8.02,16.04
78.41,78.11,77.81,67.86,57.91,52.64,47.36
0.0,0.0,0.0,14.85,29.7,45.37,61.04
63.71,73.46,83.22,85.04,86.85,82.73,78.61
69.34,73.33,77.33,66.12,54.92,31.76,8.59
66.0,64.26,62.53,56.83,51.13,47.05,42.97
38.55,27.38,16.21,11.64,7.07,7.83,8.59
91.37,91.42,91.47,92.25,93.03,93.1,93.16
90.93,91.12,91.31,91.06,90.8,89.75,88.7
83.16,80.96,78.76,78.62,78.48,78.54,78.61
70.49,72.1,73.7,73.48,73.26,68.69,64.13
83.48,83.6,83.73,82.06,80.39,77.5,74.6
78.8,79.58,80.36,82.11,83.86,79.23,74.6
91.53,92.01,92.49,90.53,88.57,89.72,90.87
92.33,92.26,92.2,92.2,92.2,91.69,91.18
77.91,77.64,77.36,75.31,73.26,73.01,72.76
89.14,89.26,89.37,87.92,86.47,85.72,84.98
88.67,88.94,89.21,89.44,89.68,89.19,88.7
86.31,86.66,87.01,86.74,86.47,86.26,86.06
99.33,99.0,98.66,98.7,98.73,99.16,99.59
75.61,75.69,75.77,73.15,70.52,70.19,69.86
99.01,99.04,99.08,99.06,99.04,99.06,99.08
50.65,38.92,27.19,17.13,7.07,22.08,37.08
59.22,58.48,57.75,62.46,67.18,67.66,68.14
28.21,28.64,29.07,18.07,7.07,3.54,0.0
86.15,85.52,84.88,85.4,85.93,86.9,87.87
8.72,6.82,4.93,2.46,0.0,12.08,24.16
82.01,83.36,84.72,84.56,84.4,83.42,82.43
0.0,0.0,0.0,0.0,0.0,32.06,64.13
88.28,89.24,90.19,89.38,88.57,89.43,90.29
49.38,53.01,56.64,58.76,60.87,63.44,66.01
42.31,45.7,49.09,50.11,51.13,54.88,58.63
37.54,26.59,15.63,11.35,7.07,3.54,0.0
37.12,26.76,16.4,8.2,0.0,0.0,0.0
