2014 SVI Minority Status Data and Encoding,2015 SVI Minority Status Data and Encoding,2016 SVI Minority Status Data and Encoding,2017 SVI Minority Status Data and Encoding,2018 SVI Minority Status Data and Encoding,2019 SVI Minority Status Data and Encoding,2020 SVI Minority Status Data and Encoding
63.32,63.36,63.39,63.38,63.36,63.36,63.37
53.36,52.94,52.53,52.06,51.58,50.9,50.22
90.86,90.64,90.42,90.04,89.65,89.64,89.62
65.17,64.83,64.5,64.2,63.9,63.41,62.92
42.47,42.42,42.38,42.22,42.06,41.76,41.47
98.19,98.15,98.12,98.1,98.09,98.09,98.09
86.63,86.72,86.82,86.96,87.11,86.98,86.86
67.05,66.9,66.76,66.46,66.16,65.99,65.82
83.64,83.83,84.02,84.2,84.37,84.29,84.21
31.81,30.93,30.05,29.24,28.43,28.11,27.78
56.96,56.67,56.38,56.28,56.19,55.69,55.19
85.26,84.91,84.56,84.06,83.57,83.06,82.56
86.79,86.66,86.53,86.48,86.44,86.38,86.31
57.66,57.28,56.89,56.41,55.94,55.09,54.23
28.33,27.49,26.65,25.92,25.18,23.6,22.02
68.67,68.72,68.77,68.8,68.83,68.73,68.62
59.15,58.98,58.8,58.48,58.17,57.94,57.7
88.25,88.16,88.06,87.96,87.87,87.72,87.56
76.44,75.94,75.45,74.8,74.15,74.1,74.06
52.59,52.32,52.05,51.44,50.84,50.32,49.81
69.79,69.47,69.15,68.66,68.16,67.79,67.41
29.93,28.9,27.86,27.51,27.16,27.34,27.53
70.33,70.08,69.82,70.0,70.17,70.22,70.27
97.29,97.26,97.23,97.2,97.17,97.14,97.1
56.48,56.14,55.81,55.58,55.36,54.88,54.39
66.19,65.89,65.58,65.47,65.36,64.97,64.58
80.48,80.32,80.17,80.05,79.94,79.64,79.34
59.66,59.52,59.38,59.18,58.99,58.65,58.31
48.46,48.22,47.98,47.92,47.85,47.72,47.58
59.44,59.6,59.76,60.13,60.49,60.54,60.6
51.48,51.13,50.78,50.36,49.95,49.72,49.49
98.66,98.65,98.63,98.63,98.63,98.56,98.5
93.7,93.51,93.31,93.2,93.09,93.22,93.35
72.78,72.12,71.47,70.86,70.26,69.71,69.16
72.97,72.78,72.59,72.51,72.43,72.6,72.76
