2014 SVI Mobile Homes Data and Encoding,2015 SVI Mobile Homes Data and Encoding,2016 SVI Mobile Homes Data and Encoding,2017 SVI Mobile Homes Data and Encoding,2018 SVI Mobile Homes Data and Encoding,2019 SVI Mobile Homes Data and Encoding,2020 SVI Mobile Homes Data and Encoding
77.01,74.84,72.68,73.38,74.08,74.47,74.86
51.83,52.85,53.87,53.63,53.39,51.12,48.85
90.64,92.17,93.7,93.25,92.8,93.54,94.27
90.19,91.34,92.49,92.28,92.07,93.8,95.54
84.88,84.76,84.65,86.4,88.16,88.1,88.03
95.77,95.88,95.99,96.18,96.37,97.76,99.14
86.5,87.42,88.35,88.88,89.4,87.56,85.71
60.68,61.89,63.1,63.53,63.96,65.94,67.92
72.56,69.95,67.34,64.63,61.92,61.64,61.36
94.56,92.71,90.86,91.83,92.8,90.82,88.83
95.32,95.3,95.29,95.42,95.54,95.68,95.83
93.89,94.46,95.03,94.9,94.78,95.68,96.59
89.97,90.55,91.12,90.48,89.84,90.22,90.61
91.75,89.22,86.69,83.46,80.23,82.18,84.12
92.01,91.77,91.53,92.55,93.57,93.35,93.13
59.41,57.77,56.13,58.39,60.65,61.71,62.76
42.34,43.01,43.68,43.62,43.55,43.76,43.98
93.89,93.95,94.01,93.22,92.42,93.44,94.46
95.77,95.2,94.62,94.18,93.73,94.48,95.23
73.0,73.94,74.88,78.36,81.85,82.35,82.85
92.93,92.46,91.98,91.34,90.7,91.26,91.82
77.75,79.56,81.38,82.9,84.43,84.45,84.47
73.93,72.82,71.7,72.7,73.7,76.65,79.6
75.9,77.57,79.24,79.31,79.37,78.64,77.91
84.88,85.78,86.69,86.38,86.06,85.74,85.42
71.28,70.46,69.63,67.46,65.3,65.75,66.2
80.32,76.5,72.68,72.27,71.86,72.9,73.93
50.97,51.78,52.59,51.43,50.27,50.74,51.21
79.72,80.3,80.87,82.14,83.41,79.69,75.97
68.42,68.74,69.05,70.3,71.54,68.44,65.34
92.74,92.88,93.03,92.49,91.95,90.26,88.57
99.11,99.11,99.11,98.86,98.6,98.57,98.54
96.53,97.1,97.68,97.58,97.48,98.28,99.08
87.71,87.92,88.12,88.58,89.05,89.45,89.85
63.42,63.46,63.51,62.27,61.03,59.28,57.54
85.67,81.98,78.29,77.81,77.33,79.97,82.62
13.69,13.32,12.96,12.24,11.52,11.7,11.87
71.6,71.17,70.74,72.41,74.08,77.16,80.24
41.77,43.3,44.83,43.79,42.76,41.72,40.67
85.2,85.2,85.2,84.46,83.73,86.72,89.72
73.93,71.86,69.79,68.78,67.78,68.74,69.7
55.68,55.54,55.4,56.1,56.8,54.0,51.21
96.28,96.82,97.36,97.5,97.64,98.01,98.38
81.34,78.67,75.99,75.78,75.58,78.44,81.29
21.68,20.66,19.64,19.71,19.77,19.46,19.16
84.75,85.08,85.42,86.28,87.14,89.53,91.92
79.24,79.82,80.39,81.9,83.41,85.53,87.65
66.51,65.14,63.77,64.1,64.44,61.47,58.5
38.65,38.44,38.24,37.32,36.39,36.16,35.93
86.18,85.06,83.95,83.97,83.99,84.06,84.12
17.22,17.07,16.91,17.5,18.08,18.89,19.7
49.35,51.39,53.42,51.94,50.46,51.68,52.9
86.02,87.12,88.22,83.9,79.59,85.23,90.87
81.73,80.64,79.56,82.71,85.86,87.72,89.59
87.3,86.26,85.23,84.1,82.97,83.83,84.69
88.32,86.48,84.65,85.0,85.35,86.16,86.98
65.49,64.83,64.18,65.4,66.63,65.22,63.81
88.32,87.11,85.9,85.98,86.06,84.92,83.77
42.73,40.98,39.22,38.73,38.24,38.0,37.75
91.34,92.52,93.7,93.66,93.63,95.24,96.85
86.31,85.86,85.42,85.52,85.61,87.16,88.7
68.42,70.44,72.46,72.97,73.48,75.03,76.58
47.98,47.32,46.67,46.04,45.4,45.1,44.81
91.53,91.94,92.36,92.64,92.93,93.17,93.41
90.0,92.74,95.48,94.73,93.98,91.92,89.85
97.26,97.72,98.19,98.64,99.08,98.6,98.12
90.64,90.34,90.04,90.5,90.96,92.96,94.97
27.63,21.28,14.93,17.05,19.17,24.14,29.12
8.76,7.74,6.72,4.72,2.71,3.33,3.95
18.59,18.64,18.69,19.6,20.5,20.1,19.7
11.65,11.48,11.3,13.13,14.96,15.69,16.42
23.3,20.72,18.15,19.58,21.01,22.28,23.55
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
39.92,41.22,42.53,43.22,43.9,41.19,38.48
5.35,6.29,7.23,6.65,6.08,5.7,5.32
18.15,18.68,19.2,19.19,19.17,18.48,17.79
16.14,12.29,8.44,13.8,19.17,21.84,24.51
26.71,25.08,23.46,24.58,25.69,26.5,27.31
37.22,37.2,37.19,33.29,29.39,31.5,33.61
24.51,23.98,23.46,25.07,26.68,25.94,25.21
14.61,14.26,13.91,13.57,13.24,15.85,18.46
40.46,33.49,26.52,24.5,22.48,22.0,21.51
0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.7,4.89,4.08,3.4,2.71,2.56,2.42
14.23,14.07,13.91,13.91,13.91,13.52,13.14
7.55,5.43,3.31,3.44,3.57,3.56,3.56
2.93,3.12,3.31,2.7,2.1,1.98,1.85
5.99,5.85,5.7,5.27,4.84,6.28,7.73
45.11,46.45,47.79,48.04,48.3,43.86,39.43
62.02,62.37,62.72,63.76,64.79,67.5,70.21
46.0,45.89,45.78,44.27,42.76,40.62,38.48
39.92,38.56,37.19,38.18,39.16,37.31,35.46
27.28,27.76,28.24,26.96,25.69,26.5,27.31
61.73,62.75,63.77,63.86,63.96,58.16,52.36
34.29,34.98,35.66,34.03,32.41,27.98,23.55
9.93,8.69,7.45,9.48,11.52,10.46,9.39
82.62,83.22,83.83,84.13,84.43,85.07,85.71
83.38,83.43,83.48,81.86,80.23,80.42,80.62
62.62,61.81,61.0,59.9,58.8,58.81,58.82
84.65,84.06,83.48,82.16,80.83,80.54,80.24
87.87,89.3,90.74,90.21,89.68,87.26,84.85
88.54,90.48,92.42,92.31,92.2,90.52,88.83
98.76,99.16,99.55,99.74,99.94,99.94,99.94
22.09,22.56,23.02,23.24,23.46,24.62,25.78
90.42,90.58,90.74,90.72,90.7,90.44,90.17
86.02,84.98,83.95,83.11,82.27,82.34,82.4
47.53,47.66,47.79,47.6,47.41,48.7,50.0
76.6,76.77,76.95,76.41,75.87,75.5,75.14
22.09,23.54,24.99,26.1,27.22,28.36,29.5
79.72,79.36,78.99,77.72,76.44,75.54,74.63
93.51,93.81,94.11,93.73,93.35,93.81,94.27
68.42,68.37,68.32,67.32,66.32,61.93,57.54
86.18,85.58,84.97,83.78,82.59,82.14,81.7
66.51,66.78,67.05,66.47,65.9,63.47,61.04
25.44,24.45,23.46,22.97,22.48,22.0,21.51
58.87,59.1,59.34,56.36,53.39,48.44,43.48
75.9,73.24,70.58,71.41,72.24,71.66,71.07
84.08,87.3,90.51,91.79,93.06,93.92,94.78
64.79,64.48,64.18,65.82,67.46,66.08,64.7
74.88,74.56,74.24,72.73,71.22,70.46,69.7
82.39,79.54,76.7,76.03,75.36,74.86,74.35
46.42,46.54,46.67,48.15,49.63,52.08,54.52
81.73,82.41,83.09,83.84,84.59,83.96,83.32
92.87,92.48,92.1,93.88,95.67,94.9,94.14
71.03,74.23,77.43,74.84,72.24,70.7,69.16
68.42,67.74,67.05,71.06,75.07,74.71,74.35
32.41,30.55,28.69,29.85,31.01,29.16,27.31
56.99,55.43,53.87,54.78,55.68,55.77,55.86
37.22,39.44,41.67,40.42,39.16,37.54,35.93
71.98,70.44,68.9,67.92,66.95,64.85,62.76
67.94,73.46,78.99,83.78,88.57,87.48,86.38
54.86,57.77,60.68,63.65,66.63,61.02,55.41
89.49,91.18,92.87,93.2,93.54,91.25,88.96
59.41,57.92,56.42,55.75,55.08,55.0,54.93
65.49,65.54,65.58,65.95,66.32,66.02,65.72
78.86,80.56,82.27,81.8,81.34,84.59,87.84
65.81,62.72,59.63,60.14,60.65,61.0,61.36
88.95,87.66,86.37,88.02,89.68,90.59,91.5
53.61,55.3,56.99,57.31,57.62,57.72,57.83
73.26,73.75,74.24,74.45,74.66,74.9,75.14
80.32,84.6,88.89,88.81,88.73,87.46,86.19
67.56,65.54,63.51,65.07,66.63,69.76,72.88
79.4,76.65,73.89,73.98,74.08,77.89,81.7
75.9,75.39,74.88,74.64,74.4,73.18,71.96
50.02,53.89,57.75,56.72,55.68,56.61,57.54
50.02,52.18,54.35,55.41,56.48,55.94,55.41
69.6,67.21,64.82,64.39,63.96,63.36,62.76
91.05,90.04,89.02,89.16,89.3,90.44,91.57
52.56,53.46,54.35,53.87,53.39,54.16,54.93
55.68,57.0,58.33,60.13,61.92,55.38,48.85
96.28,96.34,96.4,96.16,95.92,95.3,94.68
69.95,69.87,69.79,74.78,79.78,81.09,82.4
64.25,60.46,56.67,57.61,58.55,55.72,52.9
69.12,66.97,64.82,64.93,65.04,63.04,61.04
81.15,80.52,79.88,79.74,79.59,79.22,78.84
72.17,74.18,76.19,77.32,78.45,77.52,76.58
57.53,58.58,59.63,59.6,59.57,57.25,54.93
48.97,46.32,43.68,41.85,40.02,36.72,33.42
50.43,50.67,50.91,51.88,52.85,57.1,61.36
95.42,94.08,92.74,92.24,91.75,92.15,92.55
87.17,86.07,84.97,87.46,89.94,88.46,86.98
68.42,67.21,66.0,63.96,61.92,61.85,61.78
59.76,62.14,64.53,62.19,59.85,62.86,65.88
87.49,88.56,89.62,88.89,88.16,85.51,82.85
48.74,48.26,47.79,42.09,36.39,37.43,38.48
89.11,85.96,82.81,81.2,79.59,82.03,84.47
53.33,50.76,48.2,51.94,55.68,56.43,57.19
75.61,77.42,79.24,78.7,78.16,75.32,72.47
