2014 SVI Multi-Unit Structures Data and Encoding,2015 SVI Multi-Unit Structures Data and Encoding,2016 SVI Multi-Unit Structures Data and Encoding,2017 SVI Multi-Unit Structures Data and Encoding,2018 SVI Multi-Unit Structures Data and Encoding,2019 SVI Multi-Unit Structures Data and Encoding,2020 SVI Multi-Unit Structures Data and Encoding
61.35,64.63,67.91,64.04,60.17,60.34,60.5
97.33,97.33,97.33,97.23,97.13,96.44,95.74
20.06,24.1,28.14,26.15,24.16,24.9,25.65
34.99,37.85,40.72,41.94,43.17,43.59,44.02
16.49,14.96,13.44,14.28,15.12,13.5,11.87
27.67,23.32,18.97,25.49,32.0,30.54,29.09
26.01,28.44,30.88,27.52,24.16,22.0,19.83
61.83,61.18,60.52,59.92,59.31,58.9,58.5
67.18,62.82,58.45,60.42,62.4,72.97,83.55
22.41,29.4,36.39,36.82,37.25,32.12,26.99
17.99,17.72,17.45,14.66,11.88,13.86,15.85
20.79,24.36,27.92,23.75,19.58,16.52,13.46
39.13,40.29,41.45,37.68,33.91,28.04,22.18
11.27,8.24,5.22,6.06,6.91,7.78,8.66
8.88,9.2,9.52,8.22,6.91,6.35,5.79
15.12,15.9,16.68,15.9,15.12,18.65,22.18
48.49,46.8,45.11,42.74,40.37,41.42,42.46
19.48,16.2,12.93,10.68,8.44,10.95,13.46
4.78,4.3,3.82,3.85,3.88,6.27,8.66
17.45,16.6,15.76,19.96,24.16,21.12,18.08
3.12,3.96,4.81,5.86,6.91,8.47,10.03
54.12,49.54,44.95,44.72,44.48,46.38,48.28
31.65,28.06,24.48,23.32,22.16,21.0,19.83
21.68,21.69,21.71,24.84,27.98,30.3,32.62
29.7,22.64,15.57,17.58,19.58,19.71,19.83
51.77,49.98,48.2,46.98,45.75,47.02,48.28
26.23,24.53,22.83,20.18,17.54,16.7,15.85
58.74,56.38,54.03,53.02,52.02,52.33,52.64
48.11,39.74,31.36,35.18,39.0,40.73,42.46
59.5,58.0,56.51,56.11,55.71,52.0,48.28
10.16,8.01,5.86,5.68,5.51,5.65,5.79
72.75,75.1,77.46,75.99,74.53,63.58,52.64
48.42,53.34,58.26,53.14,48.01,33.04,18.08
24.39,20.57,16.75,15.22,13.69,16.76,19.83
55.14,60.25,65.36,68.01,70.65,68.25,65.85
22.95,20.03,17.1,21.45,25.79,25.72,25.65
93.89,93.7,93.51,93.51,93.51,93.43,93.35
25.47,17.3,9.14,8.02,6.91,29.25,51.59
69.09,69.99,70.9,71.43,71.95,75.25,78.55
18.43,17.6,16.78,15.24,13.69,13.57,13.46
92.58,92.58,92.58,92.16,91.75,92.02,92.3
49.54,52.52,55.49,56.68,57.88,56.55,55.22
