2014 SVI No High School Diploma Data and Encoding,2015 SVI No High School Diploma Data and Encoding,2016 SVI No High School Diploma Data and Encoding,2017 SVI No High School Diploma Data and Encoding,2018 SVI No High School Diploma Data and Encoding,2019 SVI No High School Diploma Data and Encoding,2020 SVI No High School Diploma Data and Encoding
51.26,49.35,47.44,45.7,43.97,47.38,50.8
32.25,31.12,29.99,31.04,32.09,34.28,36.47
92.36,93.93,95.51,96.26,97.01,96.94,96.88
83.6,80.7,77.81,75.66,73.51,80.02,86.54
82.87,81.73,80.58,82.32,84.05,82.16,80.27
99.01,99.01,99.01,96.96,94.91,95.79,96.66
88.09,82.26,76.44,71.98,67.53,66.08,64.64
76.95,74.97,73.0,71.44,69.88,70.41,70.94
85.2,82.27,79.34,79.5,79.66,80.3,80.94
78.89,77.44,75.99,80.02,84.05,82.16,80.27
85.2,82.72,80.23,78.57,76.92,80.18,83.45
93.19,88.8,84.4,82.03,79.66,80.17,80.68
76.95,76.9,76.85,78.62,80.39,80.66,80.94
91.82,93.22,94.62,94.52,94.43,89.74,85.04
91.05,93.12,95.19,93.34,91.5,86.87,82.24
65.3,62.93,60.55,59.88,59.22,63.84,68.46
63.55,65.92,68.29,68.42,68.55,68.18,67.82
89.4,85.98,82.55,82.33,82.11,76.66,71.2
89.56,92.82,96.08,91.1,86.12,82.35,78.58
77.49,77.34,77.2,75.9,74.59,72.21,69.83
87.01,86.55,86.09,87.66,89.24,90.56,91.88
71.89,72.59,73.29,75.79,78.29,80.1,81.92
58.2,57.77,57.34,59.32,61.29,65.56,69.83
84.34,84.18,84.02,83.28,82.55,79.15,75.75
94.33,95.38,96.43,96.26,96.08,94.78,93.48
44.95,48.72,52.5,55.4,58.29,59.08,59.87
81.63,80.02,78.41,78.82,79.24,83.67,88.1
69.47,70.84,72.21,70.12,68.04,68.94,69.83
89.08,86.14,83.19,79.7,76.22,75.42,74.63
92.65,92.7,92.74,92.77,92.8,92.42,92.04
82.87,85.42,87.97,87.74,87.52,85.48,83.45
91.44,90.82,90.19,92.02,93.86,90.2,86.54
79.21,77.48,75.74,73.8,71.86,79.5,87.14
78.89,78.35,77.81,80.93,84.05,85.92,87.78
60.24,60.74,61.25,61.57,61.89,61.92,61.94
91.05,86.66,82.27,79.07,75.87,76.64,77.4
41.1,39.3,37.5,37.3,37.09,36.78,36.47
83.6,86.18,88.76,82.49,76.22,77.9,79.57
61.48,61.36,61.25,56.97,52.69,52.3,51.91
82.87,85.65,88.44,88.12,87.81,87.35,86.89
42.5,41.12,39.73,35.21,30.69,34.14,37.59
67.56,68.4,69.25,69.04,68.83,69.33,69.83
95.0,94.65,94.3,92.8,91.31,86.78,82.24
72.68,75.54,78.41,78.46,78.51,77.78,77.05
24.67,24.42,24.16,25.12,26.07,26.94,27.82
60.24,63.02,65.81,68.46,71.12,70.32,69.51
91.82,86.38,80.93,83.35,85.77,85.72,85.68
86.41,85.78,85.16,83.41,81.66,79.96,78.26
57.27,57.31,57.34,58.28,59.22,59.54,59.87
81.63,77.84,74.05,72.76,71.47,74.44,77.4
56.83,57.88,58.93,60.66,62.4,61.14,59.87
70.42,71.32,72.21,72.67,73.13,74.18,75.24
97.45,94.4,91.34,90.74,90.13,91.29,92.46
81.63,79.04,76.44,79.69,82.94,81.45,79.95
77.49,79.04,80.58,80.85,81.12,70.14,59.17
92.49,90.76,89.02,88.57,88.12,85.61,83.1
72.68,72.22,71.76,72.45,73.13,71.48,69.83
68.29,67.99,67.69,67.14,66.6,67.04,67.47
16.75,17.61,18.47,18.39,18.31,16.81,15.31
86.41,83.49,80.58,74.93,69.28,69.56,69.83
78.48,79.9,81.31,81.22,81.12,82.29,83.45
76.19,79.1,82.01,82.57,83.13,84.21,85.3
