2014 SVI No Vehicle Data and Encoding,2015 SVI No Vehicle Data and Encoding,2016 SVI No Vehicle Data and Encoding,2017 SVI No Vehicle Data and Encoding,2018 SVI No Vehicle Data and Encoding,2019 SVI No Vehicle Data and Encoding,2020 SVI No Vehicle Data and Encoding
38.2,35.59,32.98,40.72,48.46,48.05,47.64
8.44,8.58,8.72,11.0,13.28,12.92,12.57
83.41,85.78,88.16,87.51,86.85,90.7,94.56
20.73,38.59,56.45,55.43,54.41,59.98,65.56
17.13,18.1,19.07,21.64,24.2,33.5,42.81
98.98,98.78,98.57,96.78,95.0,95.54,96.09
81.12,74.09,67.05,71.95,76.85,62.24,47.64
44.51,50.48,56.45,53.94,51.42,47.11,42.81
83.86,80.63,77.4,74.82,72.24,73.78,75.33
7.7,10.15,12.61,17.54,22.48,18.05,13.62
34.8,40.08,45.37,40.54,35.72,29.18,22.63
80.32,85.62,90.93,90.94,90.96,80.22,69.48
94.46,94.46,94.46,92.93,91.4,88.38,85.36
47.63,34.01,20.38,22.29,24.2,37.37,50.54
36.52,44.22,51.93,36.54,21.14,39.63,58.12
38.2,43.48,48.77,51.59,54.41,49.31,44.21
54.6,54.78,54.95,55.6,56.26,47.8,39.34
89.49,77.68,65.87,65.76,65.65,77.42,89.18
58.87,61.56,64.25,45.61,26.97,15.73,4.49
42.38,41.12,39.86,40.34,40.82,49.47,58.12
31.36,47.16,62.97,63.1,63.23,68.55,73.87
27.98,24.18,20.38,22.29,24.2,17.79,11.39
45.88,51.94,58.01,52.39,46.77,44.79,42.81
97.99,97.84,97.68,97.56,97.45,97.56,97.68
22.03,23.49,24.96,33.6,42.25,41.64,41.02
22.03,24.16,26.3,29.15,32.0,33.06,34.12
57.15,50.36,43.58,39.65,35.72,49.91,64.1
65.97,61.99,58.01,58.54,59.06,56.34,53.63
94.3,92.1,89.91,79.1,68.29,74.09,79.89
52.98,46.42,39.86,39.38,38.9,45.56,52.23
47.63,52.82,58.01,52.39,46.77,56.98,67.19
95.16,96.64,98.12,98.2,98.28,98.49,98.7
97.8,97.16,96.53,96.36,96.18,90.77,85.36
65.97,64.47,62.97,54.87,46.77,63.0,79.22
57.15,56.8,56.45,57.16,57.88,58.65,59.42
38.2,37.23,36.26,33.19,30.12,24.99,19.86
77.17,77.76,78.35,77.1,75.84,77.1,78.36
60.17,56.05,51.93,60.97,70.01,65.43,60.85
67.53,70.18,72.84,70.56,68.29,66.92,65.56
27.98,25.69,23.4,35.08,46.77,48.66,50.54
38.2,38.17,38.14,34.13,30.12,30.34,30.55
19.33,22.82,26.3,21.02,15.73,19.85,23.97
95.38,95.73,96.08,96.7,97.33,95.85,94.37
97.29,97.4,97.52,97.17,96.82,94.18,91.53
34.8,34.76,34.73,35.22,35.72,30.74,25.75
94.91,95.3,95.7,93.84,91.98,91.92,91.85
47.63,45.6,43.58,37.79,32.0,36.51,41.02
45.88,42.87,39.86,36.84,33.81,37.42,41.02
67.53,65.89,64.25,64.25,64.25,67.94,71.64
93.7,94.7,95.7,94.64,93.57,90.86,88.16
78.83,79.77,80.71,81.77,82.84,80.6,78.36
40.18,36.58,32.98,37.61,42.25,35.67,29.09
97.9,97.46,97.01,97.43,97.84,96.76,95.67
89.78,91.28,92.77,91.08,89.4,87.72,86.03
85.23,77.28,69.34,73.1,76.85,76.09,75.33
51.29,53.12,54.95,61.62,68.29,52.0,35.71
78.83,81.77,84.72,87.28,89.84,86.04,82.24
7.13,7.08,7.04,8.12,9.2,12.03,14.86
6.08,6.56,7.04,7.78,8.53,8.96,9.39
98.31,98.39,98.47,97.74,97.01,90.23,83.45
75.96,75.36,74.75,76.34,77.94,77.33,76.73
83.86,82.9,81.95,83.83,85.71,82.46,79.22
61.76,62.36,62.97,57.19,51.42,52.52,53.63
47.63,50.51,53.39,51.7,50.02,46.41,42.81
20.73,16.24,11.75,14.42,17.1,21.42,25.75
96.63,97.48,98.34,98.47,98.6,98.24,97.87
61.76,63.0,64.25,67.13,70.01,60.27,50.54
99.14,99.14,99.14,99.24,99.33,99.32,99.3
98.41,98.36,98.31,98.52,98.73,97.72,96.72
51.29,48.33,45.37,48.4,51.42,49.53,47.64
99.87,99.86,99.84,99.84,99.84,99.86,99.87
88.38,89.51,90.64,90.44,90.23,88.86,87.49
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.22,0.19,6.14,12.1,32.86,53.63
99.68,99.68,99.68,99.7,99.71,99.71,99.71
51.29,46.58,41.87,33.75,25.63,30.67,35.71
73.0,77.26,81.53,75.77,70.01,68.6,67.19
99.4,99.43,99.46,99.46,99.46,99.49,99.52
81.12,72.04,62.97,74.34,85.71,84.86,84.02
45.88,51.94,58.01,60.62,63.23,57.73,52.23
95.38,94.25,93.12,93.58,94.05,95.07,96.09
44.51,44.94,45.37,66.62,87.87,91.98,96.09
0.0,0.0,0.0,0.0,0.0,0.0,0.0
99.78,99.76,99.75,99.75,99.75,99.75,99.75
9.36,10.06,10.76,11.43,12.1,17.36,22.63
99.81,99.81,99.81,99.84,99.87,99.86,99.84
99.71,99.71,99.71,99.7,99.68,99.68,99.68
99.94,99.94,99.94,99.94,99.94,99.94,99.94
93.54,95.45,97.36,97.9,98.44,98.62,98.79
98.15,96.13,94.11,93.7,93.28,91.02,88.77
96.43,97.56,98.69,98.01,97.33,96.61,95.89
61.76,77.26,92.77,84.81,76.85,58.1,39.34
71.89,69.98,68.07,55.16,42.25,48.59,54.93
93.82,94.62,95.42,96.56,97.71,94.78,91.85
88.38,92.46,96.53,91.42,86.31,86.41,86.51
99.75,99.76,99.78,99.78,99.78,99.78,99.78
92.77,92.2,91.63,93.68,95.73,96.51,97.29
51.29,49.32,47.34,47.06,46.77,51.65,56.52
57.15,51.26,45.37,41.26,37.15,40.68,44.21
75.96,71.5,67.05,60.0,52.94,59.25,65.56
49.32,49.04,48.77,50.1,51.42,50.98,50.54
18.08,13.91,9.74,9.14,8.53,6.82,5.12
