2014 SVI Single-Parent Household Data and Encoding,2015 SVI Single-Parent Household Data and Encoding,2016 SVI Single-Parent Household Data and Encoding,2017 SVI Single-Parent Household Data and Encoding,2018 SVI Single-Parent Household Data and Encoding,2019 SVI Single-Parent Household Data and Encoding,2020 SVI Single-Parent Household Data and Encoding
43.3,37.65,32.0,34.96,37.92,58.57,79.22
23.72,19.32,14.93,14.42,13.91,15.65,17.38
89.37,91.16,92.96,93.82,94.68,95.62,96.56
58.04,45.35,32.66,24.86,17.06,56.72,96.37
39.03,39.61,40.18,34.89,29.61,45.34,61.08
96.59,97.56,98.54,99.04,99.55,99.52,99.49
94.78,93.12,91.47,86.66,81.85,80.54,79.22
68.8,72.96,77.11,78.94,80.77,74.69,68.62
91.44,81.41,71.38,72.27,73.16,70.22,67.28
55.27,48.71,42.15,24.4,6.65,9.94,13.24
63.64,59.35,55.05,67.49,79.94,72.02,64.1
72.62,62.82,53.01,56.19,59.38,71.76,84.15
85.13,61.6,38.08,41.63,45.18,64.98,84.79
84.81,88.18,91.56,82.36,73.16,82.32,91.47
27.41,18.59,9.77,11.14,12.51,14.0,15.5
81.18,79.82,78.45,75.81,73.16,81.47,89.78
54.12,53.28,52.44,51.48,50.53,54.81,59.1
67.72,71.12,74.53,79.57,84.62,77.38,70.15
31.2,17.84,4.49,6.51,8.53,11.38,14.23
66.06,56.18,46.29,55.14,63.99,64.68,65.37
86.69,79.67,72.65,67.49,62.34,63.86,65.37
36.2,31.82,27.44,26.4,25.37,38.3,51.24
65.74,61.26,56.77,53.65,50.53,66.32,82.11
98.76,98.24,97.71,97.09,96.47,95.2,93.92
30.02,44.24,58.45,64.09,69.72,60.48,51.24
69.82,67.51,65.2,66.11,67.02,64.8,62.57
95.54,80.82,66.09,61.03,55.97,67.05,78.13
65.07,64.15,63.23,62.78,62.34,70.78,79.22
71.82,56.94,42.06,38.2,34.35,36.7,39.05
86.02,82.32,78.61,69.0,59.38,65.49,71.61
75.87,74.87,73.86,71.79,69.72,56.44,43.16
88.73,90.92,93.12,84.96,76.79,54.64,32.5
96.53,88.14,79.75,81.38,83.0,68.22,53.44
37.7,34.08,30.47,30.85,31.23,31.86,32.5
85.96,85.43,84.91,82.84,80.77,81.44,82.11
40.69,36.8,32.92,34.52,36.13,41.64,47.14
81.31,82.6,83.89,82.33,80.77,82.46,84.15
78.86,66.65,54.44,32.73,11.02,28.09,45.16
46.29,43.65,41.01,40.31,39.61,44.38,49.14
50.97,45.48,39.99,37.17,34.35,30.43,26.51
50.75,60.28,69.82,73.76,77.71,71.54,65.37
43.94,42.26,40.59,40.1,39.61,45.42,51.24
96.47,96.69,96.91,97.4,97.9,98.76,99.62
96.4,93.88,91.37,86.61,81.85,84.75,87.65
52.02,50.86,49.7,49.35,49.0,63.57,78.13
88.38,88.52,88.67,59.14,29.61,52.5,75.4
35.21,43.92,52.63,48.9,45.18,38.84,32.5
73.73,74.05,74.37,70.69,67.02,71.21,75.4
86.76,86.12,85.48,85.05,84.62,83.91,83.2
71.54,60.64,49.73,51.92,54.12,64.76,75.4
96.56,96.37,96.18,95.48,94.78,95.3,95.83
71.0,72.13,73.26,69.28,65.3,60.32,55.35
98.95,95.59,92.23,90.7,89.18,79.67,70.15
92.2,77.2,62.21,55.6,49.0,67.21,85.42
85.77,83.44,81.12,76.55,71.98,74.34,76.7
70.01,65.98,61.95,56.24,50.53,55.8,61.08
95.8,93.36,90.93,90.06,89.18,92.28,95.39
42.5,32.92,23.34,27.9,32.47,34.53,36.6
23.81,20.71,17.61,17.34,17.06,23.78,30.49
89.24,84.12,78.99,73.01,67.02,78.4,89.78
90.48,87.36,84.24,82.51,80.77,83.76,86.76
76.95,80.61,84.27,80.53,76.79,84.59,92.39
70.77,74.35,77.94,80.89,83.83,86.04,88.26
70.39,66.66,62.94,50.43,37.92,44.58,51.24
11.72,34.44,57.15,48.38,39.61,46.52,53.44
68.67,55.58,42.5,38.42,34.35,63.9,93.44
33.68,34.78,35.88,35.12,34.35,51.48,68.62
97.39,96.48,95.57,96.26,96.94,87.54,78.13
70.96,68.51,66.06,71.89,77.71,55.1,32.5
82.65,80.18,77.71,75.44,73.16,64.26,55.35
98.89,98.92,98.95,99.0,99.04,93.92,88.8
90.83,86.93,83.03,77.5,71.98,39.28,6.59
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.48,0.82,1.15,1.24,1.34,2.28,3.21
