2014 SVI Unemployed Data and Encoding,2015 SVI Unemployed Data and Encoding,2016 SVI Unemployed Data and Encoding,2017 SVI Unemployed Data and Encoding,2018 SVI Unemployed Data and Encoding,2019 SVI Unemployed Data and Encoding,2020 SVI Unemployed Data and Encoding
51.74,42.36,32.98,30.22,27.45,20.71,13.97
52.88,47.64,42.41,36.81,31.21,29.91,28.61
93.19,94.22,95.26,93.71,92.17,86.44,80.71
76.5,65.38,54.25,66.6,78.95,81.9,84.85
60.74,49.33,37.92,32.02,26.11,40.98,55.86
97.87,96.93,95.99,95.99,95.99,58.02,20.05
84.97,84.16,83.35,76.52,69.68,73.28,76.89
91.05,91.82,92.58,90.54,88.5,86.16,83.83
87.17,73.32,59.47,50.57,41.66,32.71,23.77
64.02,50.4,36.77,44.24,51.72,42.47,33.23
65.46,65.06,64.66,69.73,74.81,73.16,71.51
90.61,93.49,96.37,95.76,95.16,86.02,76.89
99.08,98.92,98.76,98.54,98.31,98.04,97.77
76.5,61.33,46.16,55.8,65.45,62.58,59.71
52.88,54.2,55.52,67.24,78.95,48.72,18.49
37.76,39.35,40.94,48.82,56.69,59.06,61.43
68.04,63.76,59.47,58.08,56.69,43.67,30.65
99.78,99.65,99.52,97.94,96.37,92.18,88.0
99.08,97.0,94.91,74.86,54.81,33.01,11.2
72.78,80.66,88.54,88.28,88.03,87.42,86.82
74.91,66.52,58.13,56.47,54.81,42.73,30.65
57.59,48.61,39.64,44.85,50.06,50.89,51.72
75.68,81.33,86.98,87.74,88.5,90.72,92.93
98.28,98.01,97.74,97.23,96.72,96.58,96.44
63.01,52.71,42.41,37.7,32.99,37.34,41.69
52.88,56.18,59.47,60.77,62.07,47.65,33.23
96.47,97.2,97.93,97.9,97.87,96.92,95.96
74.91,73.27,71.63,69.3,66.97,65.69,64.42
79.82,77.18,74.53,74.0,73.47,81.04,88.61
63.01,72.8,82.59,71.46,60.32,53.87,47.42
74.91,80.62,86.34,86.82,87.29,56.36,25.43
99.75,99.42,99.08,99.06,99.04,98.84,98.63
90.61,92.2,93.79,95.34,96.88,95.05,93.22
78.13,68.8,59.47,64.58,69.68,65.55,61.43
47.06,57.1,67.14,70.3,73.47,68.13,62.79
71.89,72.4,72.91,64.8,56.69,56.28,55.86
67.34,67.74,68.13,72.69,77.26,75.72,74.19
65.46,73.28,81.09,82.25,83.41,68.63,53.85
44.57,52.68,60.78,53.84,46.91,46.26,45.61
80.58,74.97,69.37,61.4,53.44,40.33,27.21
50.72,45.18,39.64,46.54,53.44,49.52,45.61
50.72,57.69,64.66,68.49,72.32,63.08,53.85
97.13,95.68,94.24,95.3,96.37,96.48,96.59
98.76,98.26,97.77,97.44,97.1,97.12,97.14
64.02,60.5,56.99,55.9,54.81,48.25,41.69
77.3,87.1,96.91,94.89,92.87,86.79,80.71
80.58,70.68,60.78,56.25,51.72,62.32,72.92
63.01,59.26,55.52,49.28,43.03,34.23,25.43
78.13,75.91,73.7,67.88,62.07,62.43,62.79
98.76,99.22,99.68,99.57,99.46,99.22,98.98
56.45,63.4,70.36,75.04,79.71,77.6,75.49
75.68,75.65,75.61,60.26,44.9,46.16,47.42
98.28,95.43,92.58,94.95,97.32,97.48,97.64
97.13,95.68,94.24,94.7,95.16,93.06,90.96
67.34,74.96,82.59,83.0,83.41,66.48,49.55
80.58,73.29,66.0,53.83,41.66,37.44,33.23
85.9,82.98,80.07,80.78,81.5,72.14,62.79
63.01,53.34,43.68,45.3,46.91,51.39,55.86
25.76,23.16,20.57,22.56,24.55,25.88,27.21
97.13,97.58,98.03,97.56,97.1,92.86,88.61
94.62,94.08,93.54,91.02,88.5,85.52,82.53
70.77,77.06,83.35,89.06,94.78,96.02,97.26
48.2,50.38,52.56,58.16,63.76,66.96,70.15
89.37,89.8,90.23,89.36,88.5,86.16,83.83
99.04,98.72,98.41,92.58,86.75,83.34,79.92
99.55,99.54,99.52,99.17,98.82,98.8,98.79
69.02,71.36,73.7,76.7,79.71,69.71,59.71
2.55,4.06,5.57,11.9,18.22,21.0,23.77
4.27,2.68,1.08,2.98,4.87,17.76,30.65
33.43,35.68,37.92,44.82,51.72,53.79,55.86
97.74,98.57,99.4,99.52,99.65,99.68,99.71
19.33,26.78,34.22,59.21,84.2,55.71,27.21
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.27,2.77,1.27,6.86,12.45,18.94,25.43
96.82,93.84,90.86,93.87,96.88,97.32,97.77
48.2,59.92,71.63,72.55,73.47,78.0,82.53
25.76,19.37,12.99,16.76,20.54,56.74,92.93
92.23,89.15,86.06,90.84,95.61,96.32,97.04
20.25,21.97,23.69,39.25,54.81,46.96,39.12
61.99,67.84,73.7,77.6,81.5,85.06,88.61
51.74,56.26,60.78,64.54,68.31,65.55,62.79
17.77,14.52,11.27,28.09,44.9,58.91,72.92
0.0,0.0,0.0,0.0,0.0,0.0,0.0
83.25,87.92,92.58,95.78,98.98,99.38,99.78
69.91,76.98,84.05,88.11,92.17,93.78,95.39
98.06,98.44,98.82,99.09,99.36,99.56,99.75
70.77,77.76,84.75,87.12,89.49,92.34,95.19
99.71,99.71,99.71,99.71,99.71,99.6,99.49
21.11,28.21,35.31,32.28,29.24,33.44,37.65
90.61,93.49,96.37,96.74,97.1,96.08,95.07
13.31,16.43,19.55,25.38,31.21,45.46,59.71
19.33,33.78,48.23,59.58,70.92,83.28,95.64
50.72,65.4,80.07,87.09,94.11,95.35,96.59
23.78,39.65,55.52,53.62,51.72,60.94,70.15
48.2,51.22,54.25,57.28,60.32,75.24,90.17
99.33,99.24,99.14,99.44,99.75,99.54,99.33
99.27,98.76,98.25,97.6,96.94,95.71,94.49
60.74,66.82,72.91,74.37,75.83,77.88,79.92
65.46,66.8,68.13,73.54,78.95,84.13,89.31
84.37,89.08,93.79,93.95,94.11,84.15,74.19
89.88,93.58,97.29,94.52,91.75,86.23,80.71
54.09,64.85,75.61,73.96,72.32,42.6,12.89
84.97,86.48,88.0,85.7,83.41,87.74,92.08
56.45,53.01,49.57,49.82,50.06,51.96,53.85
93.47,93.02,92.58,90.76,88.95,87.7,86.44
99.08,99.14,99.2,98.8,98.41,97.84,97.26
75.68,77.1,78.51,79.11,79.71,79.82,79.92
81.76,80.92,80.07,80.78,81.5,82.01,82.53
82.87,82.73,82.59,84.0,85.41,87.79,90.17
76.5,74.06,71.63,70.66,69.68,67.92,66.17
90.61,92.6,94.59,94.03,93.47,92.36,91.25
42.73,60.13,77.52,70.64,63.76,55.59,47.42
83.92,84.34,84.75,78.54,72.32,57.0,41.69
58.8,49.87,40.94,35.09,29.24,44.47,59.71
15.31,12.62,9.93,9.71,9.49,10.34,11.2
60.74,65.55,70.36,50.78,31.21,36.45,41.69
37.76,64.0,90.23,86.82,83.41,73.91,64.42
40.08,44.82,49.57,54.94,60.32,74.46,88.61
38.81,38.36,37.92,37.13,36.34,39.02,41.69
83.92,86.55,89.18,91.02,92.87,94.96,97.04
71.89,68.27,64.66,37.07,9.49,16.63,23.77
79.05,65.81,52.56,47.11,41.66,53.92,66.17
83.92,77.77,71.63,53.99,36.34,45.1,53.85
70.77,73.19,75.61,62.83,50.06,33.16,16.26
63.01,71.16,79.31,86.71,94.11,85.5,76.89
54.09,54.81,55.52,56.1,56.69,70.26,83.83
48.2,45.3,42.41,48.61,54.81,60.49,66.17
51.74,52.99,54.25,48.64,43.03,45.22,47.42
86.66,82.09,77.52,84.64,91.75,92.88,94.02
58.8,59.14,59.47,56.46,53.44,67.55,81.67
35.5,44.88,54.25,47.03,39.81,60.74,81.67
94.94,95.1,95.26,95.32,95.38,73.55,51.72
93.7,94.58,95.45,75.13,54.81,33.85,12.89
32.22,33.76,35.31,35.83,36.34,30.06,23.77
79.82,77.18,74.53,43.49,12.45,36.08,59.71
54.09,55.54,56.99,62.65,68.31,61.08,53.85
68.04,72.78,77.52,76.16,74.81,74.5,74.19
63.01,64.5,66.0,70.4,74.81,46.65,18.49
64.02,66.07,68.13,70.8,73.47,79.67,85.87
67.34,68.36,69.37,59.72,50.06,57.24,64.42
44.57,47.07,49.57,64.26,78.95,70.87,62.79
61.99,60.06,58.13,61.79,65.45,71.74,78.04
43.52,45.88,48.23,44.02,39.81,38.73,37.65
72.78,77.26,81.73,86.47,91.21,94.03,96.85
49.38,55.72,62.05,65.18,68.31,82.53,96.75
87.17,84.88,82.59,88.14,93.69,92.47,91.25
32.22,33.22,34.22,30.16,26.11,27.36,28.61
94.43,92.51,90.58,72.69,54.81,66.95,79.09
50.72,59.42,68.13,71.98,75.83,81.71,87.59
98.54,98.54,98.54,98.62,98.69,98.88,99.08
96.82,94.52,92.23,55.22,18.22,11.18,4.14
40.08,57.3,74.53,84.99,95.45,91.72,88.0
51.74,59.44,67.14,77.82,88.5,80.0,71.51
35.5,34.24,32.98,30.22,27.45,36.53,45.61
49.38,38.29,27.19,46.32,65.45,76.13,86.82
64.02,74.39,84.75,83.54,82.32,76.24,70.15
60.74,66.82,72.91,78.55,84.2,86.76,89.31
90.29,90.08,89.88,90.55,91.21,91.85,92.49
87.17,87.85,88.54,79.73,70.92,71.92,72.92
13.59,16.57,19.55,36.49,53.44,69.66,85.87
83.25,69.39,55.52,53.62,51.72,57.26,62.79
7.48,16.68,25.88,15.38,4.87,31.4,57.92
78.13,71.4,64.66,70.24,75.83,80.85,85.87
28.84,43.48,58.13,64.53,70.92,65.32,59.71
98.69,98.77,98.85,96.86,94.87,97.06,99.24
40.08,36.53,32.98,32.98,32.99,30.1,27.21
80.58,65.07,49.57,53.13,56.69,51.15,45.61
45.62,59.66,73.7,81.6,89.49,93.04,96.59
41.39,47.82,54.25,58.16,62.07,63.24,64.42
19.33,33.78,48.23,56.84,65.45,67.8,70.15
45.62,44.65,43.68,44.29,44.9,48.31,51.72
22.86,19.3,15.73,21.59,27.45,32.55,37.65
87.68,88.96,90.23,86.82,83.41,76.78,70.15
24.86,23.27,21.68,22.51,23.34,25.98,28.61
61.99,77.62,93.25,93.8,94.36,80.26,66.17
32.22,24.5,16.78,14.62,12.45,18.94,25.43
32.22,31.2,30.18,34.99,39.81,44.68,49.55
81.76,65.66,49.57,47.24,44.9,47.22,49.55
71.89,68.27,64.66,53.16,41.66,48.76,55.86
24.86,46.0,67.14,66.29,65.45,77.64,89.82
71.89,74.3,76.7,76.98,77.26,52.94,28.61
92.23,92.74,93.25,84.54,75.83,79.18,82.53
35.5,31.34,27.19,29.2,31.21,35.16,39.12
35.5,38.96,42.41,48.61,54.81,52.18,49.55
86.66,90.45,94.24,91.6,88.95,77.56,66.17
47.06,48.32,49.57,50.64,51.72,37.74,23.77
64.02,59.14,54.25,48.64,43.03,44.32,45.61
23.78,58.36,92.93,96.22,99.52,97.58,95.64
96.15,94.19,92.23,89.76,87.29,75.04,62.79
89.37,88.96,88.54,88.28,88.03,86.44,84.85
79.82,80.77,81.73,71.03,60.32,58.09,55.86
85.9,79.8,73.7,58.36,43.03,39.21,35.39
66.35,64.2,62.05,61.18,60.32,60.87,61.43
86.66,86.82,86.98,86.2,85.41,80.45,75.49
79.82,80.77,81.73,71.9,62.07,53.84,45.61
93.47,93.36,93.25,92.5,91.75,92.12,92.49
91.05,87.55,84.05,77.48,70.92,67.67,64.42
79.82,80.46,81.09,82.25,83.41,88.17,92.93
98.38,98.57,98.76,98.72,98.69,98.85,99.01
44.57,43.49,42.41,43.66,44.9,36.76,28.61
89.88,91.57,93.25,93.8,94.36,93.79,93.22
93.19,92.88,92.58,89.34,86.11,88.35,90.58
96.98,96.72,96.47,94.78,93.09,94.84,96.59
90.61,85.34,80.07,70.19,60.32,65.91,71.51
77.3,76.46,75.61,73.26,70.92,73.9,76.89
63.01,65.57,68.13,76.77,85.41,90.16,94.91
36.55,31.22,25.88,23.88,21.88,31.78,41.69
89.88,86.62,83.35,85.69,88.03,89.86,91.69
85.42,87.82,90.23,90.38,90.54,90.9,91.25
97.96,98.06,98.15,97.84,97.52,97.18,96.85
85.42,67.49,49.57,66.88,84.2,87.39,90.58
83.25,74.63,66.0,39.85,13.69,11.44,9.2
64.02,57.59,51.16,49.96,48.76,51.3,53.85
50.72,48.44,46.16,43.91,41.66,41.68,41.69
74.91,74.72,74.53,69.99,65.45,48.05,30.65
55.21,52.39,49.57,46.3,43.03,47.38,51.72
60.74,56.65,52.56,46.18,39.81,37.6,35.39
97.13,95.03,92.93,79.19,65.45,69.82,74.19
93.47,92.36,91.24,89.26,87.29,85.56,83.83
89.37,87.72,86.06,81.98,77.9,76.7,75.49
92.71,90.94,89.18,83.54,77.9,81.89,85.87
92.23,91.23,90.23,89.36,88.5,86.16,83.83
64.02,63.82,63.61,64.53,65.45,69.18,72.92
41.39,41.16,40.94,38.64,36.34,40.98,45.61
94.75,94.0,93.25,90.64,88.03,85.64,83.26
45.62,38.6,31.58,33.22,34.87,38.28,41.69
38.81,35.89,32.98,29.54,26.11,28.38,30.65
56.45,55.98,55.52,57.92,60.32,62.37,64.42
55.21,50.68,46.16,42.27,38.38,36.88,35.39
