2014 Mortality Data and Encoding,2015 Mortality Data and Encoding,2016 Mortality Data and Encoding,2017 Mortality Data and Encoding,2018 Mortality Data and Encoding,2019 Mortality Data and Encoding,2020 Mortality Data and Encoding,2014 Dispensing Data and Encoding,2015 Dispensing Data and Encoding,2016 Dispensing Data and Encoding,2017 Dispensing Data and Encoding,2018 Dispensing Data and Encoding,2019 Dispensing Data and Encoding,2020 Dispensing Data and Encoding,2014 SVI Aged 17 or Younger Data and Encoding,2015 SVI Aged 17 or Younger Data and Encoding,2016 SVI Aged 17 or Younger Data and Encoding,2017 SVI Aged 17 or Younger Data and Encoding,2018 SVI Aged 17 or Younger Data and Encoding,2019 SVI Aged 17 or Younger Data and Encoding,2020 SVI Aged 17 or Younger Data and Encoding,2014 SVI Aged 65 or Older Data and Encoding,2015 SVI Aged 65 or Older Data and Encoding,2016 SVI Aged 65 or Older Data and Encoding,2017 SVI Aged 65 or Older Data and Encoding,2018 SVI Aged 65 or Older Data and Encoding,2019 SVI Aged 65 or Older Data and Encoding,2020 SVI Aged 65 or Older Data and Encoding,2014 SVI Below Poverty Data and Encoding,2015 SVI Below Poverty Data and Encoding,2016 SVI Below Poverty Data and Encoding,2017 SVI Below Poverty Data and Encoding,2018 SVI Below Poverty Data and Encoding,2019 SVI Below Poverty Data and Encoding,2020 SVI Below Poverty Data and Encoding,2014 SVI Crowding Data and Encoding,2015 SVI Crowding Data and Encoding,2016 SVI Crowding Data and Encoding,2017 SVI Crowding Data and Encoding,2018 SVI Crowding Data and Encoding,2019 SVI Crowding Data and Encoding,2020 SVI Crowding Data and Encoding,2014 SVI Disability Data and Encoding,2015 SVI Disability Data and Encoding,2016 SVI Disability Data and Encoding,2017 SVI Disability Data and Encoding,2018 SVI Disability Data and Encoding,2019 SVI Disability Data and Encoding,2020 SVI Disability Data and Encoding,2014 SVI Group Quarters Data and Encoding,2015 SVI Group Quarters Data and Encoding,2016 SVI Group Quarters Data and Encoding,2017 SVI Group Quarters Data and Encoding,2018 SVI Group Quarters Data and Encoding,2019 SVI Group Quarters Data and Encoding,2020 SVI Group Quarters Data and Encoding,2014 SVI Limited English Ability Data and Encoding,2015 SVI Limited English Ability Data and Encoding,2016 SVI Limited English Ability Data and Encoding,2017 SVI Limited English Ability Data and Encoding,2018 SVI Limited English Ability Data and Encoding,2019 SVI Limited English Ability Data and Encoding,2020 SVI Limited English Ability Data and Encoding,2014 SVI Minority Status Data and Encoding,2015 SVI Minority Status Data and Encoding,2016 SVI Minority Status Data and Encoding,2017 SVI Minority Status Data and Encoding,2018 SVI Minority Status Data and Encoding,2019 SVI Minority Status Data and Encoding,2020 SVI Minority Status Data and Encoding,2014 SVI Mobile Homes Data and Encoding,2015 SVI Mobile Homes Data and Encoding,2016 SVI Mobile Homes Data and Encoding,2017 SVI Mobile Homes Data and Encoding,2018 SVI Mobile Homes Data and Encoding,2019 SVI Mobile Homes Data and Encoding,2020 SVI Mobile Homes Data and Encoding,2014 SVI Multi-Unit Structures Data and Encoding,2015 SVI Multi-Unit Structures Data and Encoding,2016 SVI Multi-Unit Structures Data and Encoding,2017 SVI Multi-Unit Structures Data and Encoding,2018 SVI Multi-Unit Structures Data and Encoding,2019 SVI Multi-Unit Structures Data and Encoding,2020 SVI Multi-Unit Structures Data and Encoding,2014 SVI No High School Diploma Data and Encoding,2015 SVI No High School Diploma Data and Encoding,2016 SVI No High School Diploma Data and Encoding,2017 SVI No High School Diploma Data and Encoding,2018 SVI No High School Diploma Data and Encoding,2019 SVI No High School Diploma Data and Encoding,2020 SVI No High School Diploma Data and Encoding,2014 SVI No Vehicle Data and Encoding,2015 SVI No Vehicle Data and Encoding,2016 SVI No Vehicle Data and Encoding,2017 SVI No Vehicle Data and Encoding,2018 SVI No Vehicle Data and Encoding,2019 SVI No Vehicle Data and Encoding,2020 SVI No Vehicle Data and Encoding,2014 SVI Single-Parent Household Data and Encoding,2015 SVI Single-Parent Household Data and Encoding,2016 SVI Single-Parent Household Data and Encoding,2017 SVI Single-Parent Household Data and Encoding,2018 SVI Single-Parent Household Data and Encoding,2019 SVI Single-Parent Household Data and Encoding,2020 SVI Single-Parent Household Data and Encoding,2014 SVI Unemployed Data and Encoding,2015 SVI Unemployed Data and Encoding,2016 SVI Unemployed Data and Encoding,2017 SVI Unemployed Data and Encoding,2018 SVI Unemployed Data and Encoding,2019 SVI Unemployed Data and Encoding,2020 SVI Unemployed Data and Encoding
8.2,8.8,10.7,9.8,10.9,9.2,11.6,145.3,129.9,129.6,113.3,96.7,101.3,98.3,85.32,84.22,83.13,79.21,75.29,72.58,69.86,19.8,19.72,19.64,19.07,18.5,18.39,18.27,28.33,28.28,28.24,41.12,54.01,50.12,46.24,70.11,47.44,24.77,27.2,29.64,34.94,40.23,57.62,65.71,73.8,76.42,79.05,73.68,68.3,8.63,10.57,12.51,13.88,15.25,15.47,15.69,37.22,45.38,53.55,52.34,51.13,49.24,47.36,63.32,63.36,63.39,63.38,63.36,63.36,63.37,77.01,74.84,72.68,73.38,74.08,74.47,74.86,61.35,64.63,67.91,64.04,60.17,60.34,60.5,51.26,49.35,47.44,45.7,43.97,47.38,50.8,38.2,35.59,32.98,40.72,48.46,48.05,47.64,43.3,37.65,32.0,34.96,37.92,58.57,79.22,51.74,42.36,32.98,30.22,27.45,20.71,13.97
18.0,20.0,16.6,15.1,14.9,14.5,27.4,143.5,132.1,123.8,107.1,93.6,67.6,65.0,45.97,45.36,44.76,44.0,43.23,42.0,40.77,62.81,63.59,64.37,64.33,64.28,64.62,64.96,35.31,34.24,33.17,27.78,22.39,20.04,17.7,30.98,28.69,26.39,26.22,26.04,31.02,36.0,39.83,37.52,35.21,35.22,35.24,36.07,36.89,28.65,31.51,34.38,32.28,30.18,30.87,31.57,67.78,60.3,52.82,44.32,35.82,43.66,51.5,53.36,52.94,52.53,52.06,51.58,50.9,50.22,51.83,52.85,53.87,53.63,53.39,51.12,48.85,97.33,97.33,97.33,97.23,97.13,96.44,95.74,32.25,31.12,29.99,31.04,32.09,34.28,36.47,8.44,8.58,8.72,11.0,13.28,12.92,12.57,23.72,19.32,14.93,14.42,13.91,15.65,17.38,52.88,47.64,42.41,36.81,31.21,29.91,28.61
4.4,4.5,5.7,5.8,5.2,5.7,7.6,102.0,93.3,92.7,90.5,86.0,27.2,22.8,33.27,34.72,36.17,34.72,33.27,33.22,33.16,39.64,40.69,41.74,45.34,48.93,50.54,52.16,87.36,89.98,92.61,94.46,96.31,96.08,95.86,53.17,48.78,44.38,63.18,81.98,83.74,85.49,84.75,87.06,89.37,90.0,90.64,83.22,75.81,94.14,94.21,94.27,94.38,94.49,94.81,95.13,77.2,73.5,69.79,70.16,70.52,72.56,74.6,90.86,90.64,90.42,90.04,89.65,89.64,89.62,90.64,92.17,93.7,93.25,92.8,93.54,94.27,20.06,24.1,28.14,26.15,24.16,24.9,25.65,92.36,93.93,95.51,96.26,97.01,96.94,96.88,83.41,85.78,88.16,87.51,86.85,90.7,94.56,89.37,91.16,92.96,93.82,94.68,95.62,96.56,93.19,94.22,95.26,93.71,92.17,86.44,80.71
17.2,16.6,22.6,21.7,23.1,19.4,27.3,75.8,69.4,97.2,91.1,81.1,21.0,24.8,33.68,32.28,30.88,29.67,28.46,28.74,29.03,26.77,26.31,25.85,28.92,32.0,29.12,26.23,55.65,55.5,55.36,49.83,44.3,56.25,68.2,2.16,2.32,2.48,6.14,9.81,18.7,27.59,55.71,49.95,44.19,52.46,60.74,65.88,71.01,87.81,89.68,91.56,91.85,92.14,90.44,88.73,39.61,37.57,35.53,29.12,22.7,26.93,31.16,65.17,64.83,64.5,64.2,63.9,63.41,62.92,90.19,91.34,92.49,92.28,92.07,93.8,95.54,34.99,37.85,40.72,41.94,43.17,43.59,44.02,83.6,80.7,77.81,75.66,73.51,80.02,86.54,20.73,38.59,56.45,55.43,54.41,59.98,65.56,58.04,45.35,32.66,24.86,17.06,56.72,96.37,76.5,65.38,54.25,66.6,78.95,81.9,84.85
18.6,18.9,22.7,27.0,19.9,20.3,24.2,63.2,57.9,56.9,50.4,45.4,23.7,22.8,67.14,65.9,64.66,64.36,64.06,64.47,64.89,44.29,46.69,49.09,48.12,47.15,44.02,40.9,57.82,56.59,55.36,51.3,47.23,48.67,50.1,41.67,46.12,50.56,43.8,37.03,42.22,47.42,65.87,55.57,45.27,41.45,37.63,40.92,44.21,14.07,14.61,15.15,13.4,11.65,13.67,15.69,72.97,73.9,74.82,73.26,71.7,70.78,69.86,42.47,42.42,42.38,42.22,42.06,41.76,41.47,84.88,84.76,84.65,86.4,88.16,88.1,88.03,16.49,14.96,13.44,14.28,15.12,13.5,11.87,82.87,81.73,80.58,82.32,84.05,82.16,80.27,17.13,18.1,19.07,21.64,24.2,33.5,42.81,39.03,39.61,40.18,34.89,29.61,45.34,61.08,60.74,49.33,37.92,32.02,26.11,40.98,55.86
6.3,7.3,8.3,7.9,7.5,8.3,10.6,34.3,23.4,19.8,20.4,24.8,24.7,22.0,30.44,33.32,36.2,32.94,29.67,41.68,53.69,27.67,27.5,27.32,26.52,25.72,24.86,24.0,75.61,84.48,93.35,95.56,97.77,97.36,96.94,81.03,41.36,1.69,0.84,0.0,8.4,16.8,85.8,77.22,68.64,54.24,39.83,29.97,20.11,82.59,79.82,77.05,76.97,76.89,77.28,77.66,80.42,69.06,57.69,43.69,29.7,50.54,71.39,98.19,98.15,98.12,98.1,98.09,98.09,98.09,95.77,95.88,95.99,96.18,96.37,97.76,99.14,27.67,23.32,18.97,25.49,32.0,30.54,29.09,99.01,99.01,99.01,96.96,94.91,95.79,96.66,98.98,98.78,98.57,96.78,95.0,95.54,96.09,96.59,97.56,98.54,99.04,99.55,99.52,99.49,97.87,96.93,95.99,95.99,95.99,58.02,20.05
7.4,8.6,10.8,9.8,8.8,10.2,14.3,145.0,140.5,135.4,119.6,106.0,40.6,35.1,60.24,60.88,61.51,58.64,55.78,53.99,52.2,61.0,59.73,58.45,58.86,59.28,63.28,67.28,90.99,91.23,91.47,90.04,88.6,84.9,81.19,21.59,31.44,41.29,42.93,44.57,32.26,19.96,89.97,84.7,79.43,73.94,68.45,60.18,51.91,26.55,30.78,35.02,36.47,37.92,38.32,38.73,34.16,44.43,54.7,45.26,35.82,29.99,24.16,86.63,86.72,86.82,86.96,87.11,86.98,86.86,86.5,87.42,88.35,88.88,89.4,87.56,85.71,26.01,28.44,30.88,27.52,24.16,22.0,19.83,88.09,82.26,76.44,71.98,67.53,66.08,64.64,81.12,74.09,67.05,71.95,76.85,62.24,47.64,94.78,93.12,91.47,86.66,81.85,80.54,79.22,84.97,84.16,83.35,76.52,69.68,73.28,76.89
14.8,16.0,14.6,23.4,15.8,17.5,24.5,180.0,165.4,161.0,140.9,129.9,106.3,97.9,44.41,43.95,43.49,43.36,43.23,43.6,43.98,37.47,36.61,35.75,36.2,36.64,36.97,37.3,79.59,76.54,73.48,73.35,73.22,70.11,67.0,26.65,31.86,37.06,38.81,40.56,32.16,23.77,77.84,81.26,84.69,85.16,85.64,85.08,84.53,57.66,59.46,61.25,61.88,62.5,61.95,61.39,52.91,50.73,48.55,53.23,57.91,52.64,47.36,67.05,66.9,66.76,66.46,66.16,65.99,65.82,60.68,61.89,63.1,63.53,63.96,65.94,67.92,61.83,61.18,60.52,59.92,59.31,58.9,58.5,76.95,74.97,73.0,71.44,69.88,70.41,70.94,44.51,50.48,56.45,53.94,51.42,47.11,42.81,68.8,72.96,77.11,78.94,80.77,74.69,68.62,91.05,91.82,92.58,90.54,88.5,86.16,83.83
8.7,9.9,12.2,12.3,11.9,13.5,14.2,163.1,147.3,140.6,127.2,117.1,58.0,60.5,34.35,34.51,34.67,31.56,28.46,30.16,31.86,62.81,62.16,61.51,59.84,58.17,57.1,56.02,86.98,81.71,76.44,69.51,62.58,66.42,70.27,85.13,86.62,88.12,82.17,76.22,86.55,96.88,84.24,76.57,68.9,64.82,60.74,67.29,73.84,26.17,29.34,32.51,33.54,34.57,38.28,41.98,18.56,24.26,29.96,18.51,7.07,19.11,31.16,83.64,83.83,84.02,84.2,84.37,84.29,84.21,72.56,69.95,67.34,64.63,61.92,61.64,61.36,67.18,62.82,58.45,60.42,62.4,72.97,83.55,85.2,82.27,79.34,79.5,79.66,80.3,80.94,83.86,80.63,77.4,74.82,72.24,73.78,75.33,91.44,81.41,71.38,72.27,73.16,70.22,67.28,87.17,73.32,59.47,50.57,41.66,32.71,23.77
14.4,17.1,18.0,17.3,18.4,21.7,21.7,175.1,169.2,157.7,135.1,129.2,46.5,50.6,19.96,22.84,25.72,25.61,25.5,21.62,17.73,75.71,76.5,77.3,78.92,80.55,81.08,81.6,77.27,65.96,54.66,52.96,51.27,56.08,60.88,62.53,48.32,34.1,33.85,33.59,32.71,31.83,91.12,90.08,89.05,85.77,82.49,71.4,60.31,35.05,31.4,27.76,23.13,18.5,18.81,19.13,9.93,8.82,7.7,18.7,29.7,45.37,61.04,31.81,30.93,30.05,29.24,28.43,28.11,27.78,94.56,92.71,90.86,91.83,92.8,90.82,88.83,22.41,29.4,36.39,36.82,37.25,32.12,26.99,78.89,77.44,75.99,80.02,84.05,82.16,80.27,7.7,10.15,12.61,17.54,22.48,18.05,13.62,55.27,48.71,42.15,24.4,6.65,9.94,13.24,64.02,50.4,36.77,44.24,51.72,42.47,33.23
