2014 Mortality Decoding,2015 Mortality Decoding,2016 Mortality Decoding,2017 Mortality Decoding,2018 Mortality Decoding,2019 Mortality Decoding,2020 Mortality Decoding
8.047493,8.892977,10.042192,10.989805,10.285963,10.591763,14.13486
13.445434,14.654467,16.737234,18.028666,16.907877,17.074055,22.923517
4.299899,4.6752286,5.449399,5.9117165,5.624329,5.55795,7.605354
15.86209,17.26957,19.976006,21.392204,20.2066,20.667864,27.654226
15.759292,17.33836,19.82418,21.24757,20.073053,20.515785,27.223473
6.363965,7.0431247,7.844191,8.683103,8.117816,8.153905,10.91755
7.925402,8.718933,9.97261,10.591696,10.098354,10.280557,13.850682
14.053034,15.421562,17.811485,19.058664,17.978159,18.196896,24.351444
9.142539,10.016037,11.622563,12.365213,11.629313,11.9034815,15.968478
14.493377,15.9824095,18.104803,19.657244,18.441906,18.824892,25.10009
14.312648,15.771299,17.970984,19.304348,18.303453,18.557714,24.688856
5.770607,6.382325,7.238634,7.857332,7.3523245,7.517537,9.997345
6.8518634,7.516133,8.47632,9.215409,8.660753,8.827262,11.868826
8.287926,9.209394,10.49338,11.163749,10.589528,10.662978,14.412058
10.8152485,11.976239,13.450014,14.469103,13.715003,13.863146,18.682207
6.7454557,7.3844953,8.280824,9.013362,8.535786,8.60486,11.435914
7.465747,8.078446,9.157941,9.838809,9.356439,9.4796095,12.789264
12.726035,13.854723,15.814049,16.97587,16.014853,16.250877,21.814653
9.284408,10.047846,11.6032715,12.463568,11.8479395,12.062879,16.115168
9.034734,10.085003,11.582999,12.677324,11.824813,11.974145,15.828071
6.7031236,7.488409,8.52064,9.232652,8.769122,8.868264,11.701461
16.318869,17.75706,20.372208,22.017433,20.731823,21.128155,28.227934
8.42001,9.240816,10.544452,11.368839,10.743717,10.848398,14.584338
5.2026076,5.6351895,6.3550525,6.9047437,6.50114,6.610084,9.070734
17.195919,18.854885,21.48138,23.151758,21.90741,22.084827,29.350224
7.15146,7.8463664,8.812781,9.472816,8.903597,9.025261,12.134917
22.979847,25.357452,28.999546,31.412182,29.66517,30.112942,40.108173
15.493951,17.032335,19.307434,20.555374,19.623398,19.907763,26.533451
15.546204,17.059492,19.5921,21.085197,19.8987,20.179445,26.93534
13.35896,14.674347,16.839108,17.952988,16.994328,17.18483,23.118526
10.354882,11.293951,13.039204,14.07316,13.103595,13.388614,17.756859
4.786792,5.1485386,5.9540024,6.519736,6.1360874,6.236016,8.187259
5.5028315,6.0872617,6.908227,7.549034,7.059217,7.118546,9.605947
6.2332997,6.8641343,7.7493315,8.2837715,7.797828,7.923389,10.696707
9.729812,10.666615,12.129846,12.952728,12.374179,12.554313,16.599094
8.607465,9.511152,10.795403,11.64975,11.048902,11.138782,14.93879
23.446926,25.647173,29.35394,31.714113,29.806616,30.24093,40.01404
7.6976366,8.440132,9.488118,10.142195,9.761603,9.76485,12.951291
9.634962,10.447534,11.979677,12.821556,12.184832,12.226352,16.521399
11.484182,12.520516,14.252793,15.304318,14.507456,14.783625,19.722485
6.2703347,7.045514,7.853912,8.535003,8.141786,8.157075,10.943063
6.875297,7.5291195,8.683448,9.197687,8.740652,8.961512,11.899527
5.004918,5.609,6.3330994,6.9368587,6.344928,6.511678,8.842058
5.7399726,6.2193427,7.0990167,7.7423854,7.2036986,7.465192,9.818961
12.737357,13.974837,16.091269,17.211447,16.436327,16.69538,21.936008
4.755109,5.3259234,5.96087,6.2840524,6.0053177,6.0780063,8.20792
5.76449,6.3061595,7.3740745,7.756524,7.3964972,7.534502,9.980809
13.680885,14.872828,16.986467,18.353256,17.441978,17.67184,23.553019
13.284462,14.502229,16.449038,17.820076,16.903135,17.14545,22.749748
8.559245,9.480259,10.778371,11.797208,10.902289,11.158519,15.119898
6.407262,7.0022573,7.9631023,8.455768,7.8964157,8.077058,10.89086
13.303236,14.626586,16.733154,18.005795,16.878616,17.108276,22.99704
5.3204327,5.9393806,6.787258,7.367385,6.86576,6.9064784,9.096272
11.949917,13.078052,14.935354,16.294416,15.269418,15.622692,20.764904
5.626501,6.1141443,7.180217,7.889518,7.3162017,7.4671774,9.940852
9.49656,10.366559,12.02463,12.978076,11.961983,12.344019,16.4132
12.221865,13.394361,15.285101,16.589935,15.75211,15.9345875,21.388538
20.410892,22.414062,25.6321,27.47965,25.84465,26.219584,35.074253
13.808544,15.2107935,17.462751,18.839888,17.79161,17.977137,23.897709
3.8601153,4.23331,4.9633827,5.279045,4.965639,5.063217,6.620386
9.306696,10.192417,11.728642,12.589551,11.761535,11.932225,16.098114
9.719315,10.664346,12.15095,13.088454,12.431075,12.626529,16.70131
12.285263,13.473154,15.37515,16.42542,15.537801,15.694144,21.094275
23.68331,25.814995,29.438717,31.893925,30.172508,30.424957,40.745926
6.907029,7.6816936,8.752683,9.497683,8.825779,8.997143,12.107999
4.89043,5.3925304,5.9651885,6.4526343,6.077668,6.215062,8.414682
10.624859,11.707052,13.399406,14.4713,13.776381,13.941352,18.48715
11.321,12.521084,14.221057,15.3860855,14.611392,14.727965,19.66232
9.4584055,10.280896,11.717488,12.640244,11.796693,12.103589,16.071981
16.439507,17.876734,20.479858,21.959455,20.673409,21.076178,28.17752
9.653827,10.41153,11.765379,12.672814,12.000013,12.129945,16.211899
14.730501,16.138807,18.249075,19.611658,18.738651,18.806767,25.077173
0.06426715,0.116425864,0.05099737,-0.0009876546,-0.03765071,-0.0011060294,-0.07995189
-0.085238196,-0.090644576,-0.04715321,-0.07328031,-0.13648793,-0.14851591,-0.012217258
11.351274,12.430466,14.008144,15.215837,14.264759,14.604656,19.51148
13.594876,14.981516,16.944853,18.304647,17.258205,17.441023,23.361216
11.389463,12.418066,14.177357,15.320243,14.3996105,14.596133,19.641682
9.456963,10.36264,11.802372,12.756073,12.043637,12.182566,16.412405
0.028735423,0.015332574,0.0025123004,0.08297812,0.017030085,0.13398719,0.08256041
15.362186,16.955975,19.553284,20.734863,19.561518,19.781706,26.424774
18.195047,19.961782,22.896559,24.445421,23.252352,23.650677,31.324793
13.11224,14.289916,16.321077,17.725626,16.703136,16.874636,22.615906
11.978327,13.209756,15.02598,16.174496,15.327614,15.562311,20.850115
8.825691,9.445386,10.871471,11.72115,11.131754,11.162222,15.131802
12.863849,14.107995,16.196484,17.450457,16.671377,16.839373,22.407598
14.850564,16.349705,18.570278,19.785345,18.766665,18.950827,25.263224
9.174851,10.142928,11.445674,12.282177,11.634786,11.810618,15.932809
10.038579,10.9780855,12.537774,13.41438,12.657865,12.735363,16.903154
5.5012574,5.908352,6.936157,7.3551097,6.9478354,6.96203,9.455455
-0.026422407,0.14258835,-0.04352441,0.043990944,-0.008990194,-0.19182506,-0.16594735
-0.027467018,-0.052553423,0.026956791,0.21158099,-0.17320466,-0.018027788,-0.041198857
12.638169,13.871661,15.793387,17.130117,16.183233,16.316568,21.84294
0.12987462,0.06358108,0.036765423,0.107467264,0.020721225,0.022049693,-0.052598927
9.732551,10.655067,12.216143,13.195112,12.351089,12.533442,16.685146
0.12860052,0.0797557,0.03933803,0.06564037,0.1564105,0.11539403,0.22134106
11.190876,12.29956,14.028999,15.126564,14.393642,14.537511,19.294218
12.103682,13.250892,15.013804,16.153841,15.3832445,15.573194,20.580969
10.74589,11.81291,13.395468,14.459415,13.55867,13.862609,18.498632
16.764307,18.340187,21.106144,22.734291,21.55797,21.835136,29.216015
16.02495,17.581347,19.948423,21.550566,20.403856,20.736269,27.696089
24.441864,26.74149,30.433918,32.772842,30.948906,31.501558,42.10837
17.390821,19.182646,21.912546,23.771997,22.410568,22.782396,30.371893
16.06692,17.664976,20.227629,21.942307,20.60226,20.905523,27.727484
22.528479,24.937626,28.287073,30.634024,28.892561,29.416422,39.314857
19.21616,21.035126,24.064558,25.871662,24.566883,24.827826,33.286015
18.897585,20.648125,23.628344,25.615194,24.085735,24.598846,32.651123
19.76861,21.730299,24.870787,26.704247,25.337362,25.655617,34.123043
