10:46:08 Fold 1/6: --------------------------------

10:46:08 Training model --------------------------------

10:46:10 Epoch 1/500, Training Loss: 18.2464
10:46:11 Epoch 2/500, Training Loss: 13.8737
10:46:12 Epoch 3/500, Training Loss: 8.1539
10:46:13 Epoch 4/500, Training Loss: 4.997
10:46:14 Epoch 5/500, Training Loss: 3.9909
10:46:15 Epoch 6/500, Training Loss: 3.3605
10:46:16 Epoch 7/500, Training Loss: 3.1883
10:46:17 Epoch 8/500, Training Loss: 2.7243
10:46:18 Epoch 9/500, Training Loss: 2.6194
10:46:19 Epoch 10/500, Training Loss: 2.5441
10:46:20 Epoch 11/500, Training Loss: 2.5204
10:46:21 Epoch 12/500, Training Loss: 2.3943
10:46:22 Epoch 13/500, Training Loss: 2.3546
10:46:23 Epoch 14/500, Training Loss: 2.3508
10:46:24 Epoch 15/500, Training Loss: 2.3369
10:46:25 Epoch 16/500, Training Loss: 2.2947
10:46:26 Epoch 17/500, Training Loss: 2.2731
10:46:27 Epoch 18/500, Training Loss: 2.2754
10:46:28 Epoch 19/500, Training Loss: 2.2717
10:46:30 Epoch 20/500, Training Loss: 2.2495
10:46:31 Epoch 21/500, Training Loss: 2.2427
10:46:32 Epoch 22/500, Training Loss: 2.2384
10:46:33 Epoch 23/500, Training Loss: 2.2424
10:46:34 Epoch 24/500, Training Loss: 2.2243
10:46:35 Epoch 25/500, Training Loss: 2.2257
10:46:36 Epoch 26/500, Training Loss: 2.2165
10:46:37 Epoch 27/500, Training Loss: 2.2238
10:46:38 Epoch 28/500, Training Loss: 2.2091
10:46:39 Epoch 29/500, Training Loss: 2.2122
10:46:40 Epoch 30/500, Training Loss: 2.2022
10:46:41 Epoch 31/500, Training Loss: 2.21
10:46:42 Epoch 32/500, Training Loss: 2.1964
10:46:43 Epoch 33/500, Training Loss: 2.2039
10:46:44 Epoch 34/500, Training Loss: 2.1916
10:46:45 Epoch 35/500, Training Loss: 2.2
10:46:46 Epoch 36/500, Training Loss: 2.1868
10:46:47 Epoch 37/500, Training Loss: 2.1947
10:46:48 Epoch 38/500, Training Loss: 2.1836
10:46:50 Epoch 39/500, Training Loss: 2.1897
10:46:51 Epoch 40/500, Training Loss: 2.1794
10:46:52 Epoch 41/500, Training Loss: 2.1864
10:46:53 Epoch 42/500, Training Loss: 2.176
10:46:54 Epoch 43/500, Training Loss: 2.1821
10:46:55 Epoch 44/500, Training Loss: 2.1734
10:46:56 Epoch 45/500, Training Loss: 2.1784
10:46:57 Epoch 46/500, Training Loss: 2.1708
10:46:58 Epoch 47/500, Training Loss: 2.1761
10:46:59 Epoch 48/500, Training Loss: 2.1668
10:47:00 Epoch 49/500, Training Loss: 2.1752
10:47:01 Epoch 50/500, Training Loss: 2.1639
10:47:03 Epoch 51/500, Training Loss: 2.1712
10:47:04 Epoch 52/500, Training Loss: 2.1594
10:47:05 Epoch 53/500, Training Loss: 2.1678
10:47:06 Epoch 54/500, Training Loss: 2.1573
10:47:07 Epoch 55/500, Training Loss: 2.1633
10:47:08 Epoch 56/500, Training Loss: 2.1559
10:47:09 Epoch 57/500, Training Loss: 2.1578
10:47:10 Epoch 58/500, Training Loss: 2.1557
10:47:11 Epoch 59/500, Training Loss: 2.1515
10:47:12 Epoch 60/500, Training Loss: 2.1523
10:47:13 Epoch 61/500, Training Loss: 2.1504
10:47:14 Epoch 62/500, Training Loss: 2.1485
10:47:15 Epoch 63/500, Training Loss: 2.147
10:47:16 Epoch 64/500, Training Loss: 2.1465
10:47:17 Epoch 65/500, Training Loss: 2.143
10:47:18 Epoch 66/500, Training Loss: 2.1432
10:47:20 Epoch 67/500, Training Loss: 2.1436
10:47:21 Epoch 68/500, Training Loss: 2.1386
10:47:22 Epoch 69/500, Training Loss: 2.1423
10:47:23 Epoch 70/500, Training Loss: 2.1371
10:47:24 Epoch 71/500, Training Loss: 2.1374
10:47:25 Epoch 72/500, Training Loss: 2.1333
10:47:26 Epoch 73/500, Training Loss: 2.1344
10:47:27 Epoch 74/500, Training Loss: 2.1339
10:47:28 Epoch 75/500, Training Loss: 2.1295
10:47:29 Epoch 76/500, Training Loss: 2.1305
10:47:30 Epoch 77/500, Training Loss: 2.1259
10:47:31 Epoch 78/500, Training Loss: 2.1281
10:47:32 Epoch 79/500, Training Loss: 2.1227
10:47:33 Epoch 80/500, Training Loss: 2.1263
10:47:34 Epoch 81/500, Training Loss: 2.1193
10:47:35 Epoch 82/500, Training Loss: 2.1217
10:47:36 Epoch 83/500, Training Loss: 2.118
10:47:37 Epoch 84/500, Training Loss: 2.1167
10:47:39 Epoch 85/500, Training Loss: 2.1173
10:47:40 Epoch 86/500, Training Loss: 2.1132
10:47:41 Epoch 87/500, Training Loss: 2.1155
10:47:42 Epoch 88/500, Training Loss: 2.1095
10:47:43 Epoch 89/500, Training Loss: 2.1114
10:47:44 Epoch 90/500, Training Loss: 2.1084
10:47:45 Epoch 91/500, Training Loss: 2.107
10:47:46 Epoch 92/500, Training Loss: 2.1048
10:47:47 Epoch 93/500, Training Loss: 2.1061
10:47:48 Epoch 94/500, Training Loss: 2.103
10:47:50 Epoch 95/500, Training Loss: 2.0998
10:47:51 Epoch 96/500, Training Loss: 2.1015
10:47:52 Epoch 97/500, Training Loss: 2.0968
10:47:53 Epoch 98/500, Training Loss: 2.0998
10:47:54 Epoch 99/500, Training Loss: 2.0937
10:47:55 Epoch 100/500, Training Loss: 2.0967
10:47:56 Epoch 101/500, Training Loss: 2.0933
10:47:57 Epoch 102/500, Training Loss: 2.0922
10:47:58 Epoch 103/500, Training Loss: 2.0909
10:47:59 Epoch 104/500, Training Loss: 2.0869
10:48:00 Epoch 105/500, Training Loss: 2.0882
10:48:01 Epoch 106/500, Training Loss: 2.0865
10:48:02 Epoch 107/500, Training Loss: 2.085
10:48:03 Epoch 108/500, Training Loss: 2.0842
10:48:04 Epoch 109/500, Training Loss: 2.0813
10:48:05 Epoch 110/500, Training Loss: 2.0798
10:48:06 Epoch 111/500, Training Loss: 2.0797
10:48:07 Epoch 112/500, Training Loss: 2.077
10:48:08 Epoch 113/500, Training Loss: 2.0761
10:48:09 Epoch 114/500, Training Loss: 2.0738
10:48:11 Epoch 115/500, Training Loss: 2.0733
10:48:12 Epoch 116/500, Training Loss: 2.0706
10:48:13 Epoch 117/500, Training Loss: 2.0703
10:48:14 Epoch 118/500, Training Loss: 2.0688
10:48:15 Epoch 119/500, Training Loss: 2.0671
10:48:16 Epoch 120/500, Training Loss: 2.0656
10:48:17 Epoch 121/500, Training Loss: 2.0654
10:48:18 Epoch 122/500, Training Loss: 2.0622
10:48:19 Epoch 123/500, Training Loss: 2.0598
10:48:20 Epoch 124/500, Training Loss: 2.0613
10:48:21 Epoch 125/500, Training Loss: 2.0561
10:48:22 Epoch 126/500, Training Loss: 2.057
10:48:24 Epoch 127/500, Training Loss: 2.0558
10:48:25 Epoch 128/500, Training Loss: 2.0515
10:48:26 Epoch 129/500, Training Loss: 2.0541
