12:40:07 Fold 1/6: --------------------------------

12:40:07 Training model --------------------------------
12:40:09 Epoch 1/200, Training Loss: 14.9696
12:40:09 Epoch 2/200, Training Loss: 6.1512
12:40:09 Epoch 3/200, Training Loss: 3.9534
12:40:09 Epoch 4/200, Training Loss: 3.0393
12:40:09 Epoch 5/200, Training Loss: 2.8055
12:40:09 Epoch 6/200, Training Loss: 2.2159
12:40:09 Epoch 7/200, Training Loss: 2.0879
12:40:09 Epoch 8/200, Training Loss: 1.8789
12:40:09 Epoch 9/200, Training Loss: 1.7619
12:40:09 Epoch 10/200, Training Loss: 1.6947
12:40:10 Epoch 11/200, Training Loss: 1.6405
12:40:10 Epoch 12/200, Training Loss: 1.6108
12:40:10 Epoch 13/200, Training Loss: 1.5876
12:40:10 Epoch 14/200, Training Loss: 1.5738
12:40:10 Epoch 15/200, Training Loss: 1.5616
12:40:10 Epoch 16/200, Training Loss: 1.5553
12:40:10 Epoch 17/200, Training Loss: 1.5469
12:40:10 Epoch 18/200, Training Loss: 1.5433
12:40:10 Epoch 19/200, Training Loss: 1.5373
12:40:10 Epoch 20/200, Training Loss: 1.5339
12:40:10 Epoch 21/200, Training Loss: 1.53
12:40:10 Epoch 22/200, Training Loss: 1.5273
12:40:10 Epoch 23/200, Training Loss: 1.5252
12:40:11 Epoch 24/200, Training Loss: 1.523
12:40:11 Epoch 25/200, Training Loss: 1.5211
12:40:11 Epoch 26/200, Training Loss: 1.52
12:40:11 Epoch 27/200, Training Loss: 1.5169
12:40:11 Epoch 28/200, Training Loss: 1.5151
12:40:11 Epoch 29/200, Training Loss: 1.5142
12:40:11 Epoch 30/200, Training Loss: 1.5123
12:40:11 Epoch 31/200, Training Loss: 1.5107
12:40:11 Epoch 32/200, Training Loss: 1.5093
12:40:11 Epoch 33/200, Training Loss: 1.507
12:40:11 Epoch 34/200, Training Loss: 1.5054
12:40:11 Epoch 35/200, Training Loss: 1.5043
12:40:12 Epoch 36/200, Training Loss: 1.5029
12:40:12 Epoch 37/200, Training Loss: 1.5007
12:40:12 Epoch 38/200, Training Loss: 1.4997
12:40:12 Epoch 39/200, Training Loss: 1.4985
12:40:12 Epoch 40/200, Training Loss: 1.4965
12:40:12 Epoch 41/200, Training Loss: 1.4954
12:40:12 Epoch 42/200, Training Loss: 1.4938
12:40:12 Epoch 43/200, Training Loss: 1.4922
12:40:12 Epoch 44/200, Training Loss: 1.4917
12:40:12 Epoch 45/200, Training Loss: 1.4908
12:40:12 Epoch 46/200, Training Loss: 1.4885
12:40:12 Epoch 47/200, Training Loss: 1.4873
12:40:13 Epoch 48/200, Training Loss: 1.4858
12:40:13 Epoch 49/200, Training Loss: 1.484
12:40:13 Epoch 50/200, Training Loss: 1.4834
12:40:13 Epoch 51/200, Training Loss: 1.4826
12:40:13 Epoch 52/200, Training Loss: 1.4806
12:40:13 Epoch 53/200, Training Loss: 1.4799
12:40:13 Epoch 54/200, Training Loss: 1.4786
12:40:13 Epoch 55/200, Training Loss: 1.4766
12:40:13 Epoch 56/200, Training Loss: 1.476
12:40:13 Epoch 57/200, Training Loss: 1.4754
12:40:13 Epoch 58/200, Training Loss: 1.4736
12:40:14 Epoch 59/200, Training Loss: 1.4727
12:40:14 Epoch 60/200, Training Loss: 1.4709
12:40:14 Epoch 61/200, Training Loss: 1.4688
12:40:14 Epoch 62/200, Training Loss: 1.4686
12:40:14 Epoch 63/200, Training Loss: 1.4683
12:40:14 Epoch 64/200, Training Loss: 1.4665
12:40:14 Epoch 65/200, Training Loss: 1.466
12:40:14 Epoch 66/200, Training Loss: 1.4636
12:40:14 Epoch 67/200, Training Loss: 1.4616
12:40:14 Epoch 68/200, Training Loss: 1.461
12:40:14 Epoch 69/200, Training Loss: 1.4607
12:40:15 Epoch 70/200, Training Loss: 1.4596
12:40:15 Epoch 71/200, Training Loss: 1.4586
12:40:15 Epoch 72/200, Training Loss: 1.4561
12:40:15 Epoch 73/200, Training Loss: 1.4545
12:40:15 Epoch 74/200, Training Loss: 1.4538
12:40:15 Epoch 75/200, Training Loss: 1.4536
12:40:15 Epoch 76/200, Training Loss: 1.4528
12:40:15 Epoch 77/200, Training Loss: 1.4506
12:40:15 Epoch 78/200, Training Loss: 1.4493
12:40:15 Epoch 79/200, Training Loss: 1.4478
12:40:16 Epoch 80/200, Training Loss: 1.4465
12:40:16 Epoch 81/200, Training Loss: 1.4459
12:40:16 Epoch 82/200, Training Loss: 1.445
12:40:16 Epoch 83/200, Training Loss: 1.4432
12:40:16 Epoch 84/200, Training Loss: 1.4422
