FIPS,2014 OD,2015 OD,2016 OD,2017 OD,2018 OD,2019 OD,2020 OD
01001,13.72,8.8,17.19,9.8,10.9,9.2,23.4
01003,18.0,14.8,16.6,18.59,14.9,17.8,27.4
01005,4.4,4.5,17.19,18.59,5.2,17.8,23.4
01007,17.2,14.8,17.19,21.7,17.7,19.4,27.3
01009,18.6,14.8,22.7,18.59,17.7,17.8,23.4
01011,6.3,14.8,8.3,18.59,17.7,17.8,23.4
01013,7.4,8.6,10.8,9.8,17.7,17.8,14.3
01015,13.72,16.0,17.19,23.4,15.8,17.8,24.5
01017,13.72,14.8,12.2,18.59,17.7,17.8,23.4
01019,14.4,17.1,18.0,17.3,17.7,21.7,23.4
01021,14.2,14.8,17.19,17.4,17.7,17.8,23.4
01023,5.7,14.8,17.19,7.6,7.3,8.0,23.4
01025,13.72,14.8,17.19,9.6,9.2,10.6,23.4
01027,13.72,14.8,10.9,11.7,10.5,17.8,23.4
01029,13.72,14.8,17.19,18.59,17.7,17.8,23.4
01031,7.5,14.8,8.9,18.59,8.2,9.8,11.2
01033,7.8,8.4,17.19,8.9,17.7,11.7,12.8
01035,13.72,14.8,17.19,17.9,17.7,17.8,21.0
01037,13.72,10.7,12.1,13.8,17.7,12.0,15.3
01039,10.1,14.8,17.19,18.59,17.7,12.0,23.4
01041,13.72,14.8,8.0,18.59,8.7,9.5,23.4
01043,26.0,17.6,17.19,18.59,17.7,17.8,23.4
01045,13.72,10.0,17.19,9.2,10.3,17.8,23.4
01047,13.72,14.8,17.19,7.4,17.7,6.6,23.4
01049,12.1,22.8,23.6,30.6,21.7,17.8,27.2
01051,13.72,6.9,9.6,10.0,8.5,10.3,23.4
01053,27.9,25.2,26.3,18.59,31.5,17.8,23.4
01055,16.8,14.8,17.19,18.59,24.7,17.8,22.7
01057,14.6,14.8,19.7,21.0,17.2,17.8,26.9
01059,13.72,14.8,17.19,14.7,16.3,16.6,23.4
01061,13.72,14.8,10.8,15.0,17.7,12.0,18.1
01063,13.72,14.8,5.9,18.59,6.1,6.3,8.1
01065,13.72,6.1,17.19,7.8,17.7,17.8,9.2
01067,6.1,14.8,17.19,18.59,7.7,7.9,23.4
01069,11.3,14.8,17.19,18.59,15.3,11.8,23.4
01071,10.4,14.8,10.1,13.5,13.1,17.8,23.4
01073,25.6,14.8,17.19,18.59,17.7,28.8,23.4
01075,7.5,14.8,17.19,11.2,9.5,9.8,23.4
01077,9.5,14.8,12.2,18.59,13.8,12.6,23.4
01079,13.7,13.3,17.19,18.59,17.7,17.8,23.4
01081,7.1,14.8,7.2,9.1,7.7,7.8,11.8
01083,7.4,14.8,8.6,18.59,10.2,8.3,9.0
01085,5.0,6.5,17.19,7.0,17.7,17.8,8.4
01087,13.72,6.2,17.19,8.0,7.2,17.8,8.9
01089,13.72,14.8,16.0,18.59,17.7,17.8,23.4
01091,13.72,14.8,5.4,6.2,6.3,17.8,23.4
01093,5.6,14.8,6.9,8.7,7.1,17.8,10.1
01095,17.6,14.8,17.19,18.59,17.7,19.1,23.4
01097,13.72,16.3,15.7,13.1,14.8,13.2,23.4
01099,13.72,9.4,17.19,18.59,10.9,11.2,14.0
01101,7.2,14.8,17.19,18.59,17.7,6.4,12.2
01103,13.72,14.8,14.0,18.3,18.9,17.8,23.2
01105,13.72,5.8,17.19,18.59,6.8,17.8,23.4
01107,12.6,11.5,17.19,18.59,17.7,17.8,23.4
01109,5.5,14.8,7.9,8.9,17.7,7.5,23.4
01111,9.7,9.9,12.4,16.3,15.7,12.3,15.2
01113,13.72,12.3,12.4,18.59,15.6,17.8,23.4
01115,13.72,14.8,17.19,18.59,17.7,17.8,31.8
01117,18.0,18.7,17.19,18.59,17.7,16.8,23.4
01119,13.72,14.8,17.19,18.59,17.7,17.8,6.5
01121,9.3,11.2,11.7,14.9,17.7,10.8,13.2
01123,9.7,8.0,14.7,11.1,12.4,14.6,13.3
01125,12.5,13.8,17.19,18.59,14.4,14.1,23.4
01127,13.72,14.8,26.0,26.3,24.9,17.8,43.8
01129,7.0,7.6,9.1,18.59,10.0,8.6,10.9
01131,13.72,14.8,6.0,18.59,6.5,6.3,8.6
01133,10.3,14.8,13.1,11.9,14.2,17.8,23.4
02013,13.72,12.4,14.1,18.59,17.7,15.9,23.4
02016,9.9,10.8,11.5,18.59,17.7,12.2,15.6
02020,13.72,14.8,18.6,24.2,17.7,19.3,23.4
02050,13.72,9.2,12.4,18.59,11.9,13.7,16.2
02060,13.72,14.8,17.19,19.6,18.7,19.3,23.4
02063,13.72,14.8,17.19,18.59,17.7,17.8,23.4
02066,13.72,14.8,17.19,18.59,17.7,17.8,23.4
02068,11.8,12.1,17.19,18.59,17.7,17.8,20.1
02070,13.72,14.2,17.1,18.59,16.5,18.1,23.2
02090,14.9,14.8,15.0,18.59,13.9,17.8,23.4
02100,9.4,10.3,17.19,12.6,17.7,17.8,16.0
02105,13.72,14.8,17.19,18.59,17.7,17.8,23.4
02110,13.72,18.8,17.19,26.0,17.7,17.8,23.7
02122,18.1,23.7,24.4,18.59,25.6,21.9,23.4
02130,13.72,14.8,16.0,18.59,18.3,16.8,21.0
02150,11.9,14.8,16.3,15.5,14.1,17.8,19.3
02158,13.72,14.8,17.19,12.5,12.0,17.8,23.4
02164,12.8,13.9,15.9,18.2,16.3,16.8,23.4
02170,18.5,16.3,22.0,18.59,17.7,17.8,24.1
02180,13.72,10.1,17.19,18.59,11.7,17.8,23.4
02185,13.72,14.8,10.9,12.4,17.7,13.7,23.4
02188,13.72,6.0,6.9,7.9,17.7,17.8,9.3
