FIPS,2014 OD,2015 OD,2016 OD,2017 OD,2018 OD,2019 OD,2020 OD
01001,9.27,8.8,9.23,9.8,10.9,9.2,10.91
01003,18.0,17.14,16.6,15.05,14.9,17.21,27.4
01005,4.4,4.5,9.33,9.11,5.2,8.81,12.12
01007,17.2,10.88,11.31,21.7,11.48,19.4,27.3
01009,18.6,16.85,22.7,21.15,20.47,20.28,31.07
01011,6.3,7.14,8.3,8.71,8.61,8.24,11.08
01013,7.4,8.6,10.8,9.8,12.88,9.25,14.3
01015,14.22,16.0,15.01,23.4,15.8,16.52,24.5
01017,9.76,11.07,12.2,11.71,12.11,11.98,15.96
01019,14.4,17.1,18.0,17.3,20.85,21.7,25.48
01021,14.2,10.16,10.44,17.4,11.38,12.75,18.06
01023,5.7,9.91,9.3,7.6,7.3,8.0,14.1
01025,11.48,9.1,8.47,9.6,9.2,10.6,13.02
01027,9.54,10.05,10.9,11.7,10.5,12.27,14.16
01029,12.74,14.18,16.52,18.82,15.66,18.93,22.42
01031,7.5,8.75,8.9,11.16,8.2,9.8,11.2
01033,7.8,8.4,16.61,8.9,17.25,11.7,12.8
01035,16.36,14.84,19.34,17.9,21.35,13.06,21.0
01037,11.6,10.7,12.1,13.8,12.39,12.0,15.3
01039,10.1,14.06,13.53,15.19,16.76,12.0,19.67
01041,7.05,7.71,8.0,10.05,8.7,9.5,11.89
01043,26.0,17.6,18.79,18.46,18.27,16.62,29.42
01045,7.1,10.0,9.25,9.2,10.3,9.81,13.32
01047,8.93,6.92,6.94,7.4,8.15,6.6,10.62
01049,12.1,22.8,23.6,30.6,21.7,21.02,27.2
01051,9.77,6.9,9.6,10.0,8.5,10.3,12.59
01053,27.9,25.2,26.3,17.31,31.5,18.69,27.43
01055,16.8,18.26,18.81,23.39,24.7,19.39,22.7
01057,14.6,11.36,19.7,21.0,17.2,11.49,26.9
01059,8.78,13.81,14.7,14.7,16.3,16.6,16.19
01061,10.97,12.23,10.8,15.0,13.15,12.0,18.1
01063,12.56,9.54,5.9,7.29,6.1,6.3,8.1
01065,13.83,6.1,5.72,7.8,7.84,11.92,9.2
01067,6.1,8.45,8.94,9.81,7.7,7.9,12.86
01069,11.3,9.47,9.71,13.61,15.3,11.8,15.38
01071,10.4,21.91,10.1,13.5,13.1,20.78,26.81
01073,25.6,15.26,19.34,21.31,17.83,28.8,32.27
01075,7.5,9.69,11.71,11.2,9.5,9.8,15.92
01077,9.5,16.38,12.2,19.42,13.8,12.6,25.08
01079,13.7,13.3,13.79,15.12,15.1,12.7,19.86
01081,7.1,9.59,7.2,9.1,7.7,7.8,11.8
01083,7.4,17.79,8.6,19.27,10.2,8.3,9.0
01085,5.0,6.5,8.46,7.0,9.51,7.61,8.4
01087,7.54,6.2,10.04,8.0,7.2,9.61,8.9
01089,12.78,18.9,16.0,18.9,16.78,17.27,19.81
01091,10.31,7.22,5.4,6.2,6.3,8.3,9.41
01093,5.6,12.37,6.9,8.7,7.1,12.49,10.1
01095,17.6,18.85,17.87,20.85,19.35,19.1,25.43
01097,16.78,16.3,15.7,13.1,14.8,13.2,26.71
01099,17.86,9.4,14.53,11.77,10.9,11.2,14.0
01101,7.2,7.06,8.81,8.71,8.75,6.4,12.2
01103,16.48,16.32,14.0,18.3,18.9,14.53,23.2
01105,12.97,5.8,6.93,11.88,6.8,11.89,14.74
01107,12.6,11.5,11.08,10.83,10.25,8.87,12.72
01109,5.5,7.19,7.9,8.9,8.34,7.5,11.75
01111,9.7,9.9,12.4,16.3,15.7,12.3,15.2
01113,6.11,12.3,12.4,9.66,15.6,9.57,12.59
01115,17.12,15.64,16.66,19.95,19.21,17.88,31.8
01117,18.0,18.7,13.31,16.93,17.7,16.8,24.19
01119,9.6,8.3,7.32,7.25,7.55,7.14,6.5
01121,9.3,11.2,11.7,14.9,15.34,10.8,13.2
01123,9.7,8.0,14.7,11.1,12.4,14.6,13.3
01125,12.5,13.8,14.62,17.77,14.4,14.1,21.49
01127,16.25,14.58,26.0,26.3,24.9,17.07,43.8
01129,7.0,7.6,9.1,12.24,10.0,8.6,10.9
01131,10.49,7.87,6.0,7.9,6.5,6.3,8.6
01133,10.3,15.33,13.1,11.9,14.2,14.71,25.04
02013,11.71,12.4,14.1,18.2,16.3,15.9,15.6
02016,9.9,10.8,11.5,18.2,16.3,12.2,15.6
02020,18.32,19.57,18.6,24.2,25.6,19.3,24.1
02050,13.46,9.2,12.4,16.25,11.9,13.7,16.2
02060,12.8,13.9,15.9,19.6,18.7,19.3,20.01
02063,18.32,19.65,21.08,18.69,25.6,20.24,21.86
02066,17.3,18.4,19.02,14.15,21.58,17.65,19.36
02068,11.8,12.1,17.24,15.87,14.59,14.78,20.1
02070,12.8,14.2,17.1,18.2,16.5,18.1,23.2
02090,14.9,12.1,15.0,14.15,13.9,14.32,17.97
02100,9.4,10.3,17.14,12.6,18.3,16.97,16.0
02105,10.29,14.74,17.14,18.25,19.03,17.12,19.89
02110,9.4,18.8,17.14,26.0,18.3,16.8,23.7
02122,18.1,23.7,24.4,19.82,25.6,21.9,21.99
02130,9.4,16.98,16.0,22.53,18.3,16.8,21.0
02150,11.9,17.47,16.3,15.5,14.1,18.66,19.3
02158,11.3,9.58,13.26,12.5,12.0,14.45,16.2
02164,12.8,13.9,15.9,18.2,16.3,16.8,20.01
02170,18.5,16.3,22.0,18.81,20.3,17.55,24.1
02180,11.3,10.1,11.28,11.21,11.7,15.23,12.75
02185,11.3,6.0,10.9,12.4,15.3,13.7,9.3
02188,11.3,6.0,6.9,7.9,13.91,15.18,9.3
02195,9.4,16.98,16.47,22.53,18.3,16.8,22.0
02198,9.4,16.98,16.0,22.53,18.3,16.8,21.46
02220,10.29,14.8,15.7,15.9,19.03,16.6,19.89
02230,9.4,10.3,17.14,12.6,18.3,16.97,16.0
02240,14.33,14.68,12.6,13.5,14.4,12.5,16.0
02275,9.4,16.98,16.0,22.53,18.3,16.8,21.48
02282,18.32,17.6,21.08,15.0,25.6,20.24,19.1
02290,11.3,11.09,15.8,15.0,15.3,16.7,16.53
04001,10.8,17.29,25.2,12.6,22.45,21.65,25.37
04003,16.7,23.27,20.9,22.6,22.62,21.78,28.75
04005,12.6,17.6,26.99,21.82,22.5,17.7,28.3
04007,16.1,20.09,22.03,22.1,24.25,21.86,30.18
04009,17.3,19.8,22.4,22.3,24.3,24.6,28.6
04011,16.4,21.1,24.77,26.14,18.3,25.94,28.0
04012,19.67,16.68,29.4,29.5,18.54,21.7,31.68
04013,17.0,19.38,21.12,23.51,21.9,20.74,35.3
04015,27.1,15.86,27.4,21.59,23.08,24.4,28.1
04017,13.02,16.4,27.5,14.69,21.51,23.0,26.91
04019,14.86,19.41,23.8,24.4,22.15,20.09,27.87
04021,9.7,19.66,14.5,23.52,23.46,22.29,23.9
04023,16.7,21.32,11.9,23.51,22.62,14.2,26.1
04025,26.6,25.7,25.7,25.56,25.5,21.19,38.5
04027,17.72,14.8,18.4,14.4,16.0,19.3,32.16
05001,10.57,8.03,11.61,14.3,12.3,13.4,13.16
05003,10.6,11.69,12.33,12.3,16.5,14.4,19.9
05005,20.2,16.49,16.7,19.01,19.9,17.78,19.28
05007,15.37,16.01,13.51,12.9,15.9,11.7,17.09
05009,14.82,16.81,15.8,18.87,17.78,19.17,18.8
05011,6.6,9.8,12.49,12.97,9.0,9.2,16.61
05013,8.21,10.5,12.7,12.8,12.2,12.6,15.05
05015,15.9,19.7,14.54,15.95,16.02,22.5,20.7
05017,8.05,10.6,10.11,12.15,9.7,10.0,14.4
05019,6.7,7.7,8.7,14.05,7.5,7.7,9.7
05021,18.98,22.5,17.2,19.24,16.7,15.02,22.6
05023,10.4,11.63,13.3,14.9,14.57,14.0,17.29
05025,8.1,8.8,11.32,10.1,11.61,10.6,12.8
