FIPS,2014 OD,2015 OD,2016 OD,2017 OD,2018 OD,2019 OD,2020 OD
01001,11.73,8.8,12.76,9.8,10.9,9.2,16.9
01003,18.0,11.6,16.6,13.4,14.9,11.87,27.4
01005,4.4,4.5,12.76,13.4,5.2,11.87,16.9
01007,17.2,11.6,12.76,21.7,12.69,19.4,27.3
01009,18.6,11.6,22.7,13.4,12.69,11.87,16.9
01011,6.3,11.6,8.3,13.4,12.69,11.87,16.9
01013,7.4,8.6,10.8,9.8,12.69,11.87,14.3
01015,11.73,16.0,12.76,23.4,15.8,11.87,24.5
01017,11.73,11.6,12.2,13.4,12.69,11.87,16.9
01019,14.4,17.1,18.0,17.3,12.69,21.7,16.9
01021,14.2,11.6,12.76,17.4,12.69,11.87,16.9
01023,5.7,11.6,12.76,7.6,7.3,8.0,16.9
01025,11.73,11.6,12.76,9.6,9.2,10.6,16.9
01027,11.73,11.6,10.9,11.7,10.5,11.87,16.9
01029,11.73,11.6,12.76,13.4,12.69,11.87,16.9
01031,7.5,11.6,8.9,13.4,8.2,9.8,11.2
01033,7.8,8.4,12.76,8.9,12.69,11.7,12.8
01035,11.73,11.6,12.76,17.9,12.69,11.87,21.0
01037,11.73,10.7,12.1,13.8,12.69,12.0,15.3
01039,10.1,11.6,12.76,13.4,12.69,12.0,16.9
01041,11.73,11.6,8.0,13.4,8.7,9.5,16.9
01043,26.0,17.6,12.76,13.4,12.69,11.87,16.9
01045,11.73,10.0,12.76,9.2,10.3,11.87,16.9
01047,11.73,11.6,12.76,7.4,12.69,6.6,16.9
01049,12.1,22.8,23.6,30.6,21.7,11.87,27.2
01051,11.73,6.9,9.6,10.0,8.5,10.3,16.9
01053,27.9,25.2,26.3,13.4,31.5,11.87,16.9
01055,16.8,11.6,12.76,13.4,24.7,11.87,22.7
01057,14.6,11.6,19.7,21.0,17.2,11.87,26.9
01059,11.73,11.6,12.76,14.7,16.3,16.6,16.9
01061,11.73,11.6,10.8,15.0,12.69,12.0,18.1
01063,11.73,11.6,5.9,13.4,6.1,6.3,8.1
01065,11.73,6.1,12.76,7.8,12.69,11.87,9.2
01067,6.1,11.6,12.76,13.4,7.7,7.9,16.9
01069,11.3,11.6,12.76,13.4,15.3,11.8,16.9
01071,10.4,11.6,10.1,13.5,13.1,11.87,16.9
01073,25.6,11.6,12.76,13.4,12.69,28.8,16.9
01075,7.5,11.6,12.76,11.2,9.5,9.8,16.9
01077,9.5,11.6,12.2,13.4,13.8,12.6,16.9
01079,13.7,13.3,12.76,13.4,12.69,11.87,16.9
01081,7.1,11.6,7.2,9.1,7.7,7.8,11.8
01083,7.4,11.6,8.6,13.4,10.2,8.3,9.0
01085,5.0,6.5,12.76,7.0,12.69,11.87,8.4
01087,11.73,6.2,12.76,8.0,7.2,11.87,8.9
01089,11.73,11.6,16.0,13.4,12.69,11.87,16.9
01091,11.73,11.6,5.4,6.2,6.3,11.87,16.9
01093,5.6,11.6,6.9,8.7,7.1,11.87,10.1
01095,17.6,11.6,12.76,13.4,12.69,19.1,16.9
01097,11.73,16.3,15.7,13.1,14.8,13.2,16.9
01099,11.73,9.4,12.76,13.4,10.9,11.2,14.0
01101,7.2,11.6,12.76,13.4,12.69,6.4,12.2
01103,11.73,11.6,14.0,18.3,18.9,11.87,23.2
01105,11.73,5.8,12.76,13.4,6.8,11.87,16.9
01107,12.6,11.5,12.76,13.4,12.69,11.87,16.9
01109,5.5,11.6,7.9,8.9,12.69,7.5,16.9
01111,9.7,9.9,12.4,16.3,15.7,12.3,15.2
01113,11.73,12.3,12.4,13.4,15.6,11.87,16.9
01115,11.73,11.6,12.76,13.4,12.69,11.87,31.8
01117,18.0,18.7,12.76,13.4,17.7,16.8,16.9
01119,11.73,11.6,12.76,13.4,12.69,11.87,6.5
01121,9.3,11.2,11.7,14.9,12.69,10.8,13.2
01123,9.7,8.0,14.7,11.1,12.4,14.6,13.3
01125,12.5,13.8,12.76,13.4,14.4,14.1,16.9
01127,11.73,11.6,26.0,26.3,24.9,11.87,43.8
01129,7.0,7.6,9.1,13.4,10.0,8.6,10.9
01131,11.73,11.6,6.0,13.4,6.5,6.3,8.6
01133,10.3,11.6,13.1,11.9,14.2,11.87,16.9
