FIPS,2014 OD,2015 OD,2016 OD,2017 OD,2018 OD,2019 OD,2020 OD
01001,-9.0,8.8,-9.0,9.8,10.9,9.2,-9.0
01003,18.0,-9.0,16.6,-9.0,14.9,-9.0,27.4
01005,4.4,4.5,-9.0,-9.0,5.2,-9.0,-9.0
01007,17.2,-9.0,-9.0,21.7,-9.0,19.4,27.3
01009,18.6,-9.0,22.7,-9.0,-9.0,-9.0,-9.0
01011,6.3,-9.0,8.3,-9.0,-9.0,-9.0,-9.0
01013,7.4,8.6,10.8,9.8,-9.0,-9.0,14.3
01015,-9.0,16.0,-9.0,23.4,15.8,-9.0,24.5
01017,-9.0,-9.0,12.2,-9.0,-9.0,-9.0,-9.0
01019,14.4,17.1,18.0,17.3,-9.0,21.7,-9.0
01021,14.2,-9.0,-9.0,17.4,-9.0,-9.0,-9.0
01023,5.7,-9.0,-9.0,7.6,7.3,8.0,-9.0
01025,-9.0,-9.0,-9.0,9.6,9.2,10.6,-9.0
01027,-9.0,-9.0,10.9,11.7,10.5,-9.0,-9.0
01029,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
01031,7.5,-9.0,8.9,-9.0,8.2,9.8,11.2
01033,7.8,8.4,-9.0,8.9,-9.0,11.7,12.8
01035,-9.0,-9.0,-9.0,17.9,-9.0,-9.0,21.0
01037,-9.0,10.7,12.1,13.8,-9.0,12.0,15.3
01039,10.1,-9.0,-9.0,-9.0,-9.0,12.0,-9.0
01041,-9.0,-9.0,8.0,-9.0,8.7,9.5,-9.0
01043,26.0,17.6,-9.0,-9.0,-9.0,-9.0,-9.0
01045,-9.0,10.0,-9.0,9.2,10.3,-9.0,-9.0
01047,-9.0,-9.0,-9.0,7.4,-9.0,6.6,-9.0
01049,12.1,22.8,23.6,30.6,21.7,-9.0,27.2
01051,-9.0,6.9,9.6,10.0,8.5,10.3,-9.0
01053,27.9,25.2,26.3,-9.0,31.5,-9.0,-9.0
01055,16.8,-9.0,-9.0,-9.0,24.7,-9.0,22.7
01057,14.6,-9.0,19.7,21.0,17.2,-9.0,26.9
01059,-9.0,-9.0,-9.0,14.7,16.3,16.6,-9.0
01061,-9.0,-9.0,10.8,15.0,-9.0,12.0,18.1
01063,-9.0,-9.0,5.9,-9.0,6.1,6.3,8.1
01065,-9.0,6.1,-9.0,7.8,-9.0,-9.0,9.2
01067,6.1,-9.0,-9.0,-9.0,7.7,7.9,-9.0
01069,11.3,-9.0,-9.0,-9.0,15.3,11.8,-9.0
01071,10.4,-9.0,10.1,13.5,13.1,-9.0,-9.0
01073,25.6,-9.0,-9.0,-9.0,-9.0,28.8,-9.0
01075,7.5,-9.0,-9.0,11.2,9.5,9.8,-9.0
01077,9.5,-9.0,12.2,-9.0,13.8,12.6,-9.0
01079,13.7,13.3,-9.0,-9.0,-9.0,-9.0,-9.0
01081,7.1,-9.0,7.2,9.1,7.7,7.8,11.8
01083,7.4,-9.0,8.6,-9.0,10.2,8.3,9.0
01085,5.0,6.5,-9.0,7.0,-9.0,-9.0,8.4
01087,-9.0,6.2,-9.0,8.0,7.2,-9.0,8.9
01089,-9.0,-9.0,16.0,-9.0,-9.0,-9.0,-9.0
01091,-9.0,-9.0,5.4,6.2,6.3,-9.0,-9.0
01093,5.6,-9.0,6.9,8.7,7.1,-9.0,10.1
01095,17.6,-9.0,-9.0,-9.0,-9.0,19.1,-9.0
01097,-9.0,16.3,15.7,13.1,14.8,13.2,-9.0
01099,-9.0,9.4,-9.0,-9.0,10.9,11.2,14.0
01101,7.2,-9.0,-9.0,-9.0,-9.0,6.4,12.2
01103,-9.0,-9.0,14.0,18.3,18.9,-9.0,23.2
01105,-9.0,5.8,-9.0,-9.0,6.8,-9.0,-9.0
01107,12.6,11.5,-9.0,-9.0,-9.0,-9.0,-9.0
01109,5.5,-9.0,7.9,8.9,-9.0,7.5,-9.0
01111,9.7,9.9,12.4,16.3,15.7,12.3,15.2
01113,-9.0,12.3,12.4,-9.0,15.6,-9.0,-9.0
01115,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,31.8
01117,18.0,18.7,-9.0,-9.0,17.7,16.8,-9.0
01119,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,6.5
01121,9.3,11.2,11.7,14.9,-9.0,10.8,13.2
01123,9.7,8.0,14.7,11.1,12.4,14.6,13.3
01125,12.5,13.8,-9.0,-9.0,14.4,14.1,-9.0
01127,-9.0,-9.0,26.0,26.3,24.9,-9.0,43.8
01129,7.0,7.6,9.1,-9.0,10.0,8.6,10.9
01131,-9.0,-9.0,6.0,-9.0,6.5,6.3,8.6
01133,10.3,-9.0,13.1,11.9,14.2,-9.0,-9.0
02013,-9.0,12.4,14.1,-9.0,-9.0,15.9,-9.0
02016,9.9,10.8,11.5,-9.0,-9.0,12.2,15.6
02020,-9.0,-9.0,18.6,24.2,-9.0,19.3,-9.0
