FIPS,2014 OD,2015 OD,2016 OD,2017 OD,2018 OD,2019 OD,2020 OD
01001,8.8,8.8,9.22,9.8,10.9,9.2,11.01
01003,18.0,15.92,16.6,13.77,14.9,14.24,27.4
01005,4.4,4.5,9.33,9.03,5.2,8.75,11.97
01007,17.2,11.1,11.78,21.7,11.82,19.4,27.3
01009,18.6,16.67,22.7,21.89,20.79,20.51,31.92
01011,6.3,7.67,8.3,8.8,9.33,8.1,11.29
01013,7.4,8.6,10.8,9.8,13.01,9.32,14.3
01015,14.11,16.0,14.85,23.4,15.8,16.25,24.5
01017,9.72,10.9,12.2,11.85,12.3,12.08,16.02
01019,14.4,17.1,18.0,17.3,20.73,21.7,25.25
01021,14.2,9.86,10.24,17.4,11.14,12.38,17.95
01023,5.7,9.79,9.64,7.6,7.3,8.0,13.66
01025,11.95,9.65,9.28,9.6,9.2,10.6,13.96
01027,9.57,9.95,10.9,11.7,10.5,12.42,14.25
01029,12.41,13.81,15.99,18.03,15.69,18.1,21.31
01031,7.5,8.67,8.9,11.03,8.2,9.8,11.2
01033,7.8,8.4,17.8,8.9,18.0,11.7,12.8
01035,15.13,14.4,18.55,17.9,21.2,12.67,21.0
01037,11.79,10.7,12.1,13.8,12.66,12.0,15.3
01039,10.1,14.47,13.89,15.46,17.74,12.0,20.43
01041,7.12,7.67,8.0,10.15,8.7,9.5,11.52
01043,26.0,17.6,18.95,18.83,18.31,16.49,30.26
01045,6.96,10.0,9.2,9.2,10.3,9.8,13.23
01047,9.33,7.03,6.87,7.4,8.33,6.6,11.03
01049,12.1,22.8,23.6,30.6,21.7,20.92,27.2
01051,9.98,6.9,9.6,10.0,8.5,10.3,12.42
01053,27.9,25.2,26.3,17.28,31.5,18.17,28.08
01055,16.8,18.63,19.11,23.77,24.7,19.49,22.7
01057,14.6,11.72,19.7,21.0,17.2,11.95,26.9
01059,9.35,14.77,15.32,14.7,16.3,16.6,17.44
01061,10.51,11.88,10.8,15.0,14.13,12.0,18.1
01063,12.55,10.47,5.9,7.0,6.1,6.3,8.1
01065,14.08,6.1,5.65,7.8,8.4,13.27,9.2
01067,6.1,8.13,8.9,9.98,7.7,7.9,12.73
01069,11.3,9.38,9.78,13.64,15.3,11.8,15.37
01071,10.4,22.17,10.1,13.5,13.1,20.73,26.57
01073,25.6,14.53,19.63,21.65,17.21,28.8,31.06
01075,7.5,9.87,11.18,11.2,9.5,9.8,15.2
01077,9.5,17.92,12.2,21.72,13.8,12.6,26.87
01079,13.7,13.3,14.28,15.73,15.23,12.87,20.48
01081,7.1,9.42,7.2,9.1,7.7,7.8,11.8
01083,7.4,17.95,8.6,19.9,10.2,8.3,9.0
01085,5.0,6.5,8.29,7.0,9.39,7.6,8.4
01087,7.72,6.2,10.44,8.0,7.2,9.78,8.9
01089,12.89,19.41,16.0,19.02,17.04,18.02,20.03
01091,10.72,7.46,5.4,6.2,6.3,8.51,9.21
01093,5.6,12.63,6.9,8.7,7.1,12.11,10.1
01095,17.6,18.83,17.78,20.67,19.22,19.1,25.89
01097,15.83,16.3,15.7,13.1,14.8,13.2,24.72
01099,17.11,9.4,14.59,11.32,10.9,11.2,14.0
01101,7.2,7.21,8.85,8.74,8.93,6.4,12.2
